formula,BG,fidelity,fidelity_name,fidelity_id
Cu4K4F12,2.198346,0,pbe,0
NaAs2Pd2Sm,0.0,0,pbe,0
CaAg2Tm,0.0,0,pbe,0
N4Pu3,0.0,0,pbe,0
Y3Te2,0.0,0,pbe,0
MnNi2La2,0.0,0,pbe,0
ErTaO3,0.0,0,pbe,0
FePu,0.0,0,pbe,0
TmInCo4,0.0,0,pbe,0
Si2Ni2Ho,0.0,0,pbe,0
Rb2BiAuBr6,0.4108,0,pbe,0
UCuO6,0.0,0,pbe,0
B2O6K2Ba,0.4621,0,pbe,0
Mg17Al11Pd,0.0,0,pbe,0
V1Li6Cl8,3.336394,0,pbe,0
Na8Ti3ZnSi5SO24,2.0555,0,pbe,0
Mg3Cu2Dy,0.0,0,pbe,0
O2MnSr,0.0,0,pbe,0
Na5La3HfSi3(SO8)3,3.5504,0,pbe,0
Sm4(SiS4)3,2.1071,0,pbe,0
Eu3(AsS4)2,0.2486,0,pbe,0
Be4ZrIr,0.0,0,pbe,0
Br2Sm,0.0,0,pbe,0
H8Mg2CrCe,0.0034,0,pbe,0
N2GdTb,0.0,0,pbe,0
YAlAu,0.0,0,pbe,0
Ni2Y2Pt,0.0,0,pbe,0
OZr3Pd,0.0,0,pbe,0
KGa(SeO3)4,0.0,0,pbe,0
Dy2Fe17N3,0.0,0,pbe,0
CsSO2F,4.4107,0,pbe,0
Zn2Ag2Cd,0.0,0,pbe,0
S2CuTl,0.0,0,pbe,0
NaPb2Ac,0.0,0,pbe,0
Na14Ca4Ga4Si5S7O48,2.6795,0,pbe,0
SnLuPt2,0.0,0,pbe,0
F6RbCs2Tm,6.4255,0,pbe,0
Fe2Ga1V1,0.0,0,pbe,0
TeMo2S3,0.0,0,pbe,0
Au4Pb,0.0,0,pbe,0
CCo2Ge2Er2,0.0,0,pbe,0
La2MgZnBiO6,0.3883,0,pbe,0
LaCuSi2Ni,0.0,0,pbe,0
Si8HgC18,0.0,0,pbe,0
Cs3Sn4Au,0.714399999999999,0,pbe,0
KAlAs2O7,3.042799999999999,0,pbe,0
CsAgSb4S7,1.456,0,pbe,0
SiRePa,0.0,0,pbe,0
Ti5Si3C,0.0,0,pbe,0
NaLiZr(Si2O5)3,5.2494,0,pbe,0
Ho2Ga3Fe,0.0,0,pbe,0
AlTiFeIr,0.1881,0,pbe,0
Mg3(GaN2)2,1.5431,0,pbe,0
In2Tm3,0.0,0,pbe,0
Ba3AlO4,0.0,0,pbe,0
SCr2Se3Hg,0.0,0,pbe,0
CuIn5Er,0.0,0,pbe,0
InHg,0.0,0,pbe,0
NaZn2Bi2,0.0,0,pbe,0
Cs2KBiBr6,3.4246,0,pbe,0
FeS4N4Cl5,0.4905,0,pbe,0
Ca3Ge4,0.331199999999999,0,pbe,0
H6NiRb2,3.1177,0,pbe,0
SCl2Ag2Cd,1.0173,0,pbe,0
Mg5La4,0.0,0,pbe,0
Li2SiSe,0.0,0,pbe,0
O4TiHf,3.0009,0,pbe,0
Si4La3Os4,0.0,0,pbe,0
Mg6SbC,0.0,0,pbe,0
LiF4Dy,7.92,0,pbe,0
AlFeCoNb,0.0,0,pbe,0
O2F2Mg,1.337,0,pbe,0
CSi2Tm2W2,0.0,0,pbe,0
BrAgLa2,0.0,0,pbe,0
LiLaIn2,0.0,0,pbe,0
Mn2Cr13S20,0.0,0,pbe,0
Si2RuRe,0.0,0,pbe,0
NiIn2Pr,0.0,0,pbe,0
Ca4Fe8O16,1.320355999999999,0,pbe,0
CoRhIr,0.0,0,pbe,0
GeYRh2,0.0,0,pbe,0
NbAsPCl13,2.4397,0,pbe,0
Hf2Sb3,0.191699999999999,0,pbe,0
RhAg7,0.0,0,pbe,0
AlNi4La,0.0,0,pbe,0
K2RbAsCl6,3.4807,0,pbe,0
CoIn2La,0.0,0,pbe,0
CsMgH12(ClO2)3,5.2829,0,pbe,0
Y2BePd,0.0,0,pbe,0
Mg2C3ClO15,0.1184,0,pbe,0
BaSb4O7,1.2671,0,pbe,0
Li2NiSn2,0.0,0,pbe,0
BaCaHf4O12,0.0,0,pbe,0
LiSrAu2,0.0,0,pbe,0
B2Co3Zr,0.0,0,pbe,0
Li2F6Ge,5.9821,0,pbe,0
RhAgAc2,0.0,0,pbe,0
S3(NO7)2,1.405,0,pbe,0
P2Rh2La,0.0,0,pbe,0
CaSn2Lu,0.0,0,pbe,0
Ni2W3N,0.0,0,pbe,0
NiSn5Ce,0.0,0,pbe,0
CdPtTh,0.0,0,pbe,0
Li5OF5Co,0.0,0,pbe,0
TaSCl7O,2.8827,0,pbe,0
Na3Mg2Al2PS5O24,4.909899999999999,0,pbe,0
Li3Ti6O13,0.0,0,pbe,0
H2CTm2,0.0,0,pbe,0
Cd4Al6O12Te1,2.606044,0,pbe,0
Na10Y2Nb6Si11SO48,2.283,0,pbe,0
Al4Sr12Sb12,0.533118,0,pbe,0
In2Sn2Bi,0.0,0,pbe,0
O8AgBaW2,0.0,0,pbe,0
RhEr6Bi2,0.0,0,pbe,0
O4NaV2,0.0117,0,pbe,0
ZnY2Hg,0.0,0,pbe,0
Sm2Fe17CN,0.0,0,pbe,0
SrHfMg14,0.0,0,pbe,0
S3NiNbTl,0.0,0,pbe,0
Hg6Zr2Se4Br12,1.863097,0,pbe,0
InSm3,0.0,0,pbe,0
O6TeTm2,2.6594,0,pbe,0
CaPt2Au3,0.0,0,pbe,0
Ba10Sm5(Cu5O11)3,0.0,0,pbe,0
LuSn2,0.0,0,pbe,0
LiPS4Zn,2.6132,0,pbe,0
MnNiAs,0.0,0,pbe,0
SiMn2Os,0.0,0,pbe,0
PrH20S4N5O16,5.2903,0,pbe,0
LiGa4U,0.0,0,pbe,0
SBr2Th2,0.0,0,pbe,0
NbW,0.0,0,pbe,0
DyTiFe11,0.0,0,pbe,0
Li8O6Hf,5.4328,0,pbe,0
CrFeAs4,0.0,0,pbe,0
GeBr3Y3,0.0,0,pbe,0
Si2Ru2Pd,0.0,0,pbe,0
K3Pb,0.0,0,pbe,0
O6Ca2AsBi,3.1931,0,pbe,0
VRe11B4,0.0,0,pbe,0
Zn2YLa2,0.0,0,pbe,0
CeCuO3,0.0,0,pbe,0
Sn3BiTe4,0.0,0,pbe,0
Na3Sc2Ti2P5SO24,2.3798999999999992,0,pbe,0
CdEuPb,0.0,0,pbe,0
Dy2Tl,0.0,0,pbe,0
Na2S4CdSn,1.8906,0,pbe,0
KRbMg6,0.0,0,pbe,0
ReRu2(NCl)10,0.0,0,pbe,0
RbLaMg6,0.0,0,pbe,0
La2BrClO2,3.865100000000001,0,pbe,0
PmSmRu2,0.0,0,pbe,0
Fe2Gd,0.0,0,pbe,0
BaAs2,0.414499999999999,0,pbe,0
MgCuF5,0.106199999999999,0,pbe,0
LiScP2O7,4.7646,0,pbe,0
MgAlPr2,0.0,0,pbe,0
Sr2Cu(PO4)2,0.2216,0,pbe,0
YbEuHg2,0.0,0,pbe,0
Ta2OsPt,0.0,0,pbe,0
Si2Co3Dy,0.0,0,pbe,0
CaTl2Pu,0.0,0,pbe,0
NdGd2,0.0,0,pbe,0
ClRb,4.8164,0,pbe,0
BaMgTi(BO3)2,0.0,0,pbe,0
ZrSbTh,0.0,0,pbe,0
Be2AlTi2,0.0,0,pbe,0
O6CdBa2Ta,0.0,0,pbe,0
AgRu2N3,0.0,0,pbe,0
F4KCe,0.0,0,pbe,0
B5Fe3Pr2,0.0,0,pbe,0
F2CaBa,0.0,0,pbe,0
Pd2PrPb2,0.0,0,pbe,0
MgSO9,0.5181,0,pbe,0
Mg2CdLa2,0.0,0,pbe,0
Ba4S12Cu16,0.8477640000000001,0,pbe,0
CaPtPb2,0.0,0,pbe,0
LuH3,0.022199999999999,0,pbe,0
LiCl6Rb2Sb,2.8591,0,pbe,0
Ce(Mo3Se4)2,0.2967,0,pbe,0
CeSn2Rh,0.0,0,pbe,0
CsRb2AsF6,3.8491,0,pbe,0
Pr6OsBr10,0.1947,0,pbe,0
B2Mg2MnIr5,0.0,0,pbe,0
Cu2CdDy3,0.0,0,pbe,0
Sr4Te4O16,2.248129,0,pbe,0
P4Rh6Dy,0.0,0,pbe,0
Eu(GeAu)2,0.0,0,pbe,0
Ge2HoIr2,0.0,0,pbe,0
HfHgO3,0.0,0,pbe,0
Li2SrAg2,0.0,0,pbe,0
Eu3B2Pt7,0.0,0,pbe,0
AlCuHfAu,0.0,0,pbe,0
NaCl2Tl,3.6165,0,pbe,0
O6Br3Dy,1.4749,0,pbe,0
LuRu,0.0,0,pbe,0
ZrZn2Au,0.2501,0,pbe,0
P2H4RhO9,0.0,0,pbe,0
HClPu,0.0,0,pbe,0
CaCd2Tm,0.0,0,pbe,0
Na18Mg8Ta4Si9(SO8)9,1.0701,0,pbe,0
CSTm2,0.0,0,pbe,0
Sr3(GaAs2)2,0.6766999999999991,0,pbe,0
Nd3BeCrS7,0.0,0,pbe,0
Rb2HPd(CN)4,2.9488000000000003,0,pbe,0
CSeN,2.1986,0,pbe,0
ZnRh2Ir,0.0,0,pbe,0
CrBrTh,0.0,0,pbe,0
F2Y2Ru,0.0,0,pbe,0
K2SnHgSe4,1.4785,0,pbe,0
ScIn2Pr,0.0,0,pbe,0
SbDyEr,0.0,0,pbe,0
Sc2Ge2Cd,0.0,0,pbe,0
BAlW,0.0,0,pbe,0
OAsRuTb,0.0,0,pbe,0
NaB(H4N)2,5.144,0,pbe,0
O3NaNb,1.52,0,pbe,0
O6MoDy2,3.5552,0,pbe,0
NaMnPCO7,1.3064,0,pbe,0
CsSbF6,5.0381,0,pbe,0
Ce3Cu3Sb4,0.0,0,pbe,0
BaSnF6,4.9883,0,pbe,0
Se12Cs12Sb4,2.228237,0,pbe,0
CaAu2Th,0.0,0,pbe,0
Zr4FeNi,0.0,0,pbe,0
Ca3Sn13Pt4,0.0,0,pbe,0
H6BeN2F2,6.0842,0,pbe,0
Tm(CrSi)2,0.0,0,pbe,0
O6Sr2PdPt,0.2312,0,pbe,0
BGa2Ru2Pr,0.0,0,pbe,0
ZnSeBr2Ag2,0.9873,0,pbe,0
NaTi3ZnP3(SO8)3,2.19,0,pbe,0
BeZr2Rh,0.0,0,pbe,0
NaInGeP2SO12,1.6619000000000002,0,pbe,0
Cs4Ni2O4,2.726549,0,pbe,0
KCu2P2H3(O4F)2,0.352399999999999,0,pbe,0
MnTePd,0.0,0,pbe,0
SmGa3Pd,0.0,0,pbe,0
Se4La2Pb,1.8335,0,pbe,0
B4O12Al3Tb,5.4935,0,pbe,0
Al3Os2Pt,0.0,0,pbe,0
Li4Be3As3ClO12,4.4494,0,pbe,0
S6Zr3Ru,0.0,0,pbe,0
Pt1Cs2Br6,1.405936,0,pbe,0
Li2ScLa,0.0,0,pbe,0
LiO12NaSi4Ga2,4.4325,0,pbe,0
SmGa2Ni3,0.0,0,pbe,0
PSeNd,0.0,0,pbe,0
B2Sr3Pt7,0.0,0,pbe,0
Al2Cr,0.0,0,pbe,0
Co2Er2Tl,0.0,0,pbe,0
Zn2NdEu,0.0,0,pbe,0
Sm3PO7,4.4032,0,pbe,0
Mg2Cu5O7,0.0,0,pbe,0
BaAlSi,0.0,0,pbe,0
SiCo3Tm2,0.0,0,pbe,0
Na5Si3Ge4(PO8)3,3.149,0,pbe,0
As2HgPb,0.0,0,pbe,0
Hg6P4PbCl6,2.1079,0,pbe,0
Ta4Pt6S16,0.597839,0,pbe,0
Ca2Cd3,0.0,0,pbe,0
CsZr6BI14,0.8390999999999991,0,pbe,0
InTeCe,0.0,0,pbe,0
Cu2GaPm,0.0,0,pbe,0
OSeTh,0.585,0,pbe,0
Bi3Se4,0.0,0,pbe,0
DyHg2Pb,0.0,0,pbe,0
Pb4Fe4B4O16,2.404852,0,pbe,0
Na4In4I16,2.36111,0,pbe,0
Be4CoIr,0.0,0,pbe,0
Mg2CaLa,0.0,0,pbe,0
Mn12Rh4N,0.0,0,pbe,0
In5SnBa5,0.0,0,pbe,0
Ca2AsClO4,3.808899999999999,0,pbe,0
AsHf2Bi,0.0,0,pbe,0
La2ScSi2,0.0,0,pbe,0
TlCu2H(SeO5)2,0.527799999999999,0,pbe,0
Ti2Rh2La,0.0,0,pbe,0
Dy5Sn4,0.0,0,pbe,0
Eu3W,0.0,0,pbe,0
Rb2NdBr5,4.0291,0,pbe,0
Mg2Ga2Hg,0.0,0,pbe,0
Cr2NbRe,0.0,0,pbe,0
FeZnIr2,0.0,0,pbe,0
CeB2Ir2C,0.0,0,pbe,0
O8K2V2RbEu,0.0,0,pbe,0
Er5Ni2Sb,0.0,0,pbe,0
CuH12C3S3BrN6,2.7521,0,pbe,0
CsNa2Si17,0.0,0,pbe,0
SrSnTm,0.0,0,pbe,0
Pm3Zn,0.0,0,pbe,0
Al3Ge2Pr2,0.0,0,pbe,0
Ce4P8O28,2.063683,0,pbe,0
S2Se2CdIn2,0.5346,0,pbe,0
HLiO5SCu,0.5497,0,pbe,0
YGdIr2,0.0,0,pbe,0
K2TlAgF6,0.4485,0,pbe,0
CrNiRh2,0.0,0,pbe,0
O3SnBa,2.7442,0,pbe,0
H11B5,4.4135,0,pbe,0
Sr3Nd4O9,2.923599999999999,0,pbe,0
UAsSe,0.0,0,pbe,0
Er2AlCd,0.0,0,pbe,0
Cs2Sn2Se6,1.064286,0,pbe,0
Cs2InAuF6,0.6895,0,pbe,0
Er2Ni17,0.0,0,pbe,0
Ca2Al4Si8H14O31,3.0675,0,pbe,0
K2YAuCl6,2.2731,0,pbe,0
NBa3,0.0,0,pbe,0
Dy5Ge3B,0.0,0,pbe,0
GaCd2Pb,0.0,0,pbe,0
SmH9C5(NO4)2,4.6311,0,pbe,0
F5K2Cu,0.0,0,pbe,0
NdFeNi4,0.0,0,pbe,0
KNa2Tl,0.470799999999999,0,pbe,0
Co4Ge4Nd3,0.0,0,pbe,0
K6Bi2O8,1.135295,0,pbe,0
TeH12AuC4S3N,2.0941,0,pbe,0
Zn3Pd2Np,0.0,0,pbe,0
U2Si3Os,0.0,0,pbe,0
Ti6RhTe2,0.0,0,pbe,0
O4Cu2As2Se2Tm,0.0,0,pbe,0
BH2CO,4.0087,0,pbe,0
TlNCl4,0.0,0,pbe,0
K4Sn21Hg2,0.194199999999999,0,pbe,0
Gd2InGe2,0.0,0,pbe,0
H6C3N4O3,4.3758,0,pbe,0
ReNiN2,0.0,0,pbe,0
H2ZnY2,0.0,0,pbe,0
KDyO3,0.0,0,pbe,0
KCu2Sb2Ce,0.0,0,pbe,0
O9B6,6.275606,0,pbe,0
Tl(CuSe)2,0.0,0,pbe,0
Se2HfTl,0.0,0,pbe,0
O8CoLa4,0.0,0,pbe,0
N6Y3Nb2,0.0,0,pbe,0
Ni6NbMo,0.0,0,pbe,0
Al6RhPr,0.0,0,pbe,0
GaTe2Er,0.0,0,pbe,0
O6ScAsSr2,3.3179,0,pbe,0
Sn2NdIr2,0.0,0,pbe,0
S8FeCuRh4,0.0,0,pbe,0
Si2PtPa,0.0,0,pbe,0
Er5(CoTe)2,0.0,0,pbe,0
SrCaZnSi2O7,4.0192,0,pbe,0
Tl2PO4,0.0,0,pbe,0
Si2Pd2Ho,0.0,0,pbe,0
Al2Zn2Dy,0.0,0,pbe,0
Li(FeS2)2,0.0,0,pbe,0
HPd2Pb,0.0,0,pbe,0
As8K8,0.664029,0,pbe,0
Au2Y2O4,2.678867,0,pbe,0
Ca3Hg5,0.0,0,pbe,0
AlScRuIr,0.0,0,pbe,0
Mg149Pd,0.0141,0,pbe,0
Cr(SnN)3,0.0,0,pbe,0
Sc4AsSe3,0.0,0,pbe,0
NaCa2Al4H8C4ClO20,5.1823,0,pbe,0
LiP2Pt2,0.0,0,pbe,0
CoSe3RbDy,0.0,0,pbe,0
Na2LaScSi(SO6)2,3.7167,0,pbe,0
CsFeI4,0.6642,0,pbe,0
H5O2Br,4.4753,0,pbe,0
Ni3N,0.0,0,pbe,0
Pt1Bi12Cl12,0.7704209999999999,0,pbe,0
P2KCu2Tb,0.0,0,pbe,0
Al3Si2FeLu3,0.0,0,pbe,0
AlTbPt2,0.0,0,pbe,0
Al5Ge2Tb2,0.0,0,pbe,0
La10Cl18C4,1.641525,0,pbe,0
