formula,BG,fidelity
Ag(AuS)2,0.0,5
Ag(W3Br7)2,0.0,5
Ag0.5Ge1Pb1.75S4,1.83,5
Ag0.5Ge1Pb1.75Se4,1.51,5
Ag2BBr,0.0,5
Ag2BiO3,0.0,5
Ag2GeS3,1.98,5
Ag2GeSe3,0.9,5
Ag2HgI4,2.47,5
Ag2Mo(I2O7)2,3.06,5
Ag2P2PbO7,0.0,5
Ag2PdO2,0.18,5
Ag3AsO4,0.0,5
Ag3Pd,0.0,5
Ag3RuO4,0.0,5
Ag5IO6,1.4,5
Ag7(SI)2,0.0,5
Ag7AsS6,1.0,5
Ag7AsSe6,1.0,5
Ag7NO11,0.0,5
Ag8GeS6,1.18,5
Ag8SnSe6,0.71,5
Ag9(PbO3)4,0.0,5
Ag9Ge2IO8,0.0,5
AgAsSe2,1.4,5
AgAu3,0.0,5
AgBi(PS3)2,1.7,5
AgBi(PSe3)2,1.4,5
AgBiPbS3,1.2,5
AgBiPbSe3,0.13,5
AgBiS2,0.9,5
AgBiSe2,0.34,5
AgBr,2.52,5
AgCNO,0.0,5
AgCl,5.13,5
AgF,2.8,5
AgGeO3,0.0,5
AgO,1.57,5
AgP15,1.47,5
AgPd(IO3)3,1.5,5
AgPdO2,0.0,5
AgPt3,0.0,5
AgSO4,0.18,5
AgTe2As,0.8,5
Al(Ni10B7)2,0.0,5
Al(NiS2)2,0.0,5
Al0.01Cd0.99Sb0.01Te0.99,1.6,5
Al0.01Ga0.99P1,2.27,5
Al0.01In0.99P1,1.3,5
Al0.05Cd0.95Sb0.05Te0.95,1.37,5
Al0.15Ga0.85As1,1.6,5
Al0.1Cd0.9Sb0.1Te0.9,1.36,5
Al0.1In0.9P1,1.5,5
Al0.2Ga0.8P1,2.3,5
Al0.2In0.8P1,1.7,5
Al0.35Ga0.65As1,2.0,5
Al0.3Ga0.7As1,1.81,5
Al0.3In0.7P1,1.9,5
Al0.45Cd0.55Sb0.45Te0.55,1.93,5
Al0.4Cd0.6Sb0.4Te0.6,1.8,5
Al0.4Ga0.6P1,2.35,5
Al0.4In0.6P1,2.12,5
Al0.5Ga0.5As1,2.12,5
Al0.6Ga0.4As1,2.3,5
Al0.6Ga0.4P1,2.4,5
Al0.6In0.4P1,2.3,5
Al0.75Ga0.25As1,2.42,5
Al0.7In0.3P1,2.3,5
Al0.8Ga0.2P1,2.43,5
Al0.99Cd0.01Sb0.99Te0.01,2.21,5
Al0.99Ga0.01P1,2.49,5
Al0.99In0.01P1,2.4,5
Al10V,0.0,5
Al13Ru4,0.0,5
Al2(CuSe2)3,0.0,5
Al21Pt8,0.0,5
Al2CoIr,0.0,5
Al2Cr2O7,0.0,5
Al2CrS4,0.0,5
Al2Cu,0.0,5
Al2FeNi,0.0,5
Al2Ru,0.0,5
Al2S3,4.1,5
Al2Se3,3.1,5
Al3Tc,0.0,5
Al4Cu2O7,0.0,5
Al4Cu9,0.0,5
Al5Rh2,0.0,5
Al6Fe,0.0,5
Al6Ru,0.0,5
Al6Tc,0.0,5
Al7(CN)3,0.0,5
Al9Co2,0.0,5
Al9Ir2,0.0,5
Al9Rh2,0.0,5
AlAgO2,3.6,5
AlAgS2,3.13,5
AlAgSe2,2.55,5
AlAgTe2,1.8,5
AlAs,0.0,5
AlB2,0.0,5
AlBi,0.4,5
AlCoO3,0.0,5
AlCu3,0.0,5
AlCu7O12,0.0,5
AlCuS2,3.5,5
AlCuTe2,2.06,5
AlFe2Si,0.0,5
AlFe4(CuO4)3,0.0,5
AlIr,0.0,5
AlNi2,0.0,5
AlPd5I2,0.0,5
AlSn,0.0,5
AlV(TeO4)2,2.9,5
AlVCo2,0.0,5
As2Ir,1.0,5
As2O3,4.0,5
As2Os,0.9,5
As2Rh,1.15,5
As2Ru,0.8,5
As2S5,2.48,5
AsAu3,0.0,5
AsBr3,2.6,5
AsOsS,1.3,5
AsP,0.23,5
AsPPd,0.45,5
AsPPt,0.4,5
AsPRu,0.8,5
AsPd3Pb2,0.0,5
AsRuS,1.2,5
AsS,2.4,5
AsS3,2.35,5
AsSI,2.05,5
AsSeBr,0.0,5
AsSeI,1.76,5
Au3S,0.0,5
AuBrO2,0.0,5
B2Mo(PbO2)6,2.9,5
B2O3,4.89,5
B2Se2O7,4.64,5
B3H2Pb2O7.5,4.42,5
B3Pb10Br3O13,3.25,5
B3Pb3NO10,3.64,5
B4C,1.64,5
B4H2Pb6O13,3.24,5
B4W,0.0,5
B5Mo2,0.0,5
B6As,1.51,5
B6P,3.3,5
BAs,1.45,5
BH(PbO2)2,3.76,5
BMo,0.0,5
BP,4.2,5
BPb2ClO3,3.99,5
BPb6BrO7,2.84,5
BPb7Br3O7,2.62,5
BRh2,0.0,5
BSb,2.6,5
BSbPbS4,1.8,5
BSe2Cl,0.0,5
BTe2As,0.0,5
Ba(AsPd)2,0.0,5
Ba(AsRh)2,0.0,5
Ba(BRh)2,0.0,5
Ba(FeS2)2,0.0,5
Ba(GaS2)2,4.13,5
Ba(GaSe2)2,3.16,5
Ba(InS2)2,3.06,5
Ba(InSe2)2,2.63,5
Ba(NiP2)2,0.0,5
Ba(PdO2)2,0.0,5
Ba(SnO2)4,0.0,5
Ba(ZnAs)2,0.23,5
Ba1.88Ta15O32,0.13,5
Ba12In4S19,2.56,5
Ba14Ir8(PdO11)3,0.0,5
Ba14Na8CaN6,0.0,5
Ba23Ga8(SbS19)2,2.84,5
Ba2B4H2O9,5.12,5
Ba2B6H4O13,6.53,5
Ba2B6O11,5.17,5
Ba2BiSbO6,0.0,5
Ba2CaOsO6,0.0,5
Ba2CaReO6,0.0,5
Ba2Cd(BO2)6,4.59,5
Ba2Ce2O5,0.0,5
Ba2CeInTe5,1.35,5
Ba2CoWO6,0.0,5
Ba2Cu5F14,0.0,5
Ba2CuWO6,0.0,5
Ba2DyCu3O7,0.0,5
Ba2DyGaSe5,2.35,5
Ba2DyGaTe5,1.13,5
Ba2DyInSe5,2.27,5
Ba2DyInTe5,1.35,5
Ba2ErGaSe5,1.95,5
Ba2ErGaTe5,1.15,5
Ba2ErInSe5,2.29,5
Ba2ErInTe5,1.35,5
Ba2FeMoO6,0.0,5
Ba2FeReO6,0.0,5
Ba2Ga8GeS16,3.0,5
Ba2Ga8SiS16,3.4,5
Ba2GaAsSe5,1.39,5
Ba2GaBiS5,2.38,5
Ba2GaBiSe5,2.21,5
Ba2GaBiTe5,1.43,5
Ba2GaS4,2.55,5
Ba2GaSbSe5,2.51,5
Ba2GaSbTe5,1.66,5
Ba2GaSe4,1.63,5
Ba2GdGaSe5,1.87,5
Ba2GdGaTe5,1.12,5
Ba2GdInSe5,2.24,5
Ba2GdInTe5,1.36,5
Ba2HgS5,2.4,5
Ba2In2S5,2.47,5
Ba2In2Se5,2.12,5
Ba2InAgS4,2.32,5
Ba2InBiS5,1.55,5
Ba2InSbSe5,1.92,5
Ba2LaIrO6,0.0,5
Ba2LiFe2N3,0.0,5
Ba2NaCu3S5,0.45,5
Ba2NdGaS5,2.12,5
Ba2NdGaSe5,2.18,5
Ba2NdInSe5,2.2,5
Ba2NdInTe5,1.37,5
Ba2ReNiO6,0.0,5
Ba2Sb7HO14,2.7,5
Ba2ScIrO6,0.0,5
Ba2ScTaO6,4.19,5
Ba2SmCu3O7,0.0,5
Ba2SmGaSe5,2.27,5
Ba2SmGaTe5,1.04,5
Ba2SmInSe5,2.22,5
Ba2SmInTe5,1.36,5
Ba2SmTaO6,3.02,5
Ba2SnSe4,1.9,5
Ba2SnSe5,1.8,5
Ba2TaInO6,4.17,5
Ba2TbIrO6,0.0,5
Ba2ThCu2Se5,1.75,5
Ba2UCuO6,0.0,5
Ba2V2Te2O11,3.16,5
Ba2V2ZnO8,3.48,5
Ba2V4(TeO6)3,2.64,5
Ba2YGaSe5,2.31,5
Ba2YGaTe5,1.08,5
Ba2YInSe5,2.31,5
Ba2YInTe5,1.36,5
Ba2YReO6,0.0,5
Ba2Yb(CuO2)4,0.0,5
Ba2Zn0.2B2S5.2,3.54,5
Ba2ZnSe3,2.75,5
Ba2ZnTe3,2.1,5
Ba3(AlGe)2,0.0,5
Ba3(LiSn2)4,0.0,5
Ba3Ag2(SnS4)2,2.37,5
Ba3B1.5Sb0.5S6,3.01,5
Ba3BSbS6,2.62,5
Ba3BSbSe6,1.89,5
Ba3Bi0.5B1.5S6,2.43,5
Ba3Bi2TeO9,2.3,5
Ba3CaIr2O9,0.0,5
Ba3CaRu2O9,0.0,5
Ba3Cd(SnS4)2,2.75,5
Ba3Co10O17,0.0,5
Ba3CrS5,0.0,5
Ba3Dy2(PS4)4,3.28,5
Ba3Er2(PS4)4,3.3,5
Ba3ErRu2O9,0.0,5
Ba3Eu(PO4)3,4.09,5
Ba3FeS4Br,1.65,5
Ba3Gd2(PS4)4,3.41,5
Ba3GeS5,3.0,5
Ba3Ho2(PS4)4,3.3,5
Ba3In2(PO4)4,3.87,5
Ba3InS4Cl,3.42,5
Ba3La3(Cu3O7)2,1.8,5
Ba3MgTa2O9,4.28,5
Ba3N2,0.0,5
Ba3NaIr2O9,0.0,5
Ba3NaIrO6,0.0,5
Ba3Nb2CoO9,0.0,5
Ba3Nb2Se9,1.3,5
Ba3P3ClO10,6.89,5
Ba3PN,0.0,5
Ba3Sb2S7,2.4,5
Ba3Sn(SbSe4)2,0.97,5
Ba3Sn0.87Bi2.13Se8,0.79,5
Ba3Ta2Se9,1.6,5
Ba3Ta2ZnO9,4.32,5
Ba3Ta5NO14,2.8,5
Ba3Tb2(PS4)4,3.37,5
Ba3Te,0.0,5
Ba3ThSe7,1.96,5
Ba3V2(SeO4)4,2.87,5
Ba3YIr2O9,0.0,5
Ba3Yb4O9,0.0,5
Ba3ZrRu2O9,0.0,5
Ba4B11O20F,7.1,5
Ba4Ga4GeSe12,2.18,5
Ba4Ga4SnSe12,2.16,5
Ba4Ga5AgS12,2.52,5
Ba4Ga5CuS12,2.82,5
Ba4Ga5CuSe12,1.45,5
Ba4Ga5Si18,0.31,5
Ba4Ge3S9Cl2,2.91,5
Ba4Ge3Se9Cl2,1.89,5
Ba4InAgSe6,2.41,5
Ba4InCuSe6,2.23,5
Ba4LiGa5Se12,2.65,5
Ba4Nb14O23,0.0,5
Ba4Sb3S8Cl,2.09,5
Ba4Si20Au3,0.0,5
Ba4Si3Se9Cl2,1.76,5
Ba4Sm2Cu2O9,0.0,5
Ba4Yb(CuO3)3,0.0,5
Ba5(Ga2Se5)2,2.2,5
