formula,BG,fidelity
Ag20F16C4,3.294992,4
Cs4Ag4Al4F24,2.143879,4
Ag2Al2O4,2.884742,4
Ag4Al4O8,2.390096,4
Al1Ag1S2,2.835937,4
Ag2Al2S4,3.055806,4
Ag2Al2Se4,2.166235999999999,4
Ag2Al2Te4,1.838293,4
Ba2Ag2As2,0.5201560000000001,4
Ca3Ag3As3,0.1618669999999999,4
Cs4As2Ag2S8,2.587537,4
As2Xe4Ag2F20,3.551059,4
Ag2Se6As2F12,2.687754,4
Ag2Hg2As2S6,1.97659,4
Hg8O16Ag4As4,1.692346,4
K4Ag2As2,1.734808,4
Na4Ag2As2,1.229253,4
As4Pb4Ag4S12,1.935167,4
Ag4As4S4,0.476823,4
Ag6As6S12,2.332249,4
Ag4As4Se4,0.077651,4
Ag1As1Se2,0.324715999999999,4
Sr2Ag2As2,0.350938,4
Ag2Cu8As6O24,3.04123,4
Ag2As6O18H4,2.250247,4
Au2Ag2Ba8O12,2.980427,4
Ag2Au2Cl8,2.014716,4
Au1Ag1Cs2Cl6,1.507505,4
Ag2Au2F8,2.520362,4
Au2Ag2Te8,0.021204,4
Ag2Au4F16,2.060208,4
Au6Ag2Rb4I16,1.360323,4
B12O20Ag4,3.945052,4
Ba2F2Se2Ag2,2.234553,4
Ag2Ba2F2Te2,2.348404,4
Ba2Ag2La2Se6,2.326826,4
Ba2Ag2P2,0.710516,4
Ba4Ag4Sb4S12,2.064838,4
Ba2Ag2Sb2,0.519553,4
Ag2Ba2Y2Se6,2.136067,4
Y2Ba2Ag2Te6,1.429816,4
Ba8In4Ag4S16,2.643217,4
Cs2Bi1Ag1Br6,2.162012,4
Ca2Ag2Bi2,0.236947,4
Bi2Ag2Cl4S2,1.995081,4
Cs2Bi1Ag1Cl6,2.849919,4
Ag1Bi1Cr2O8,2.357544,4
Ag1Bi1Cr4O14,3.013278,4
K4Ag2Bi2,1.203609,4
Bi4W8Ag4O32,3.797539,4
Bi2Ag2P4S12,1.97762,4
Bi2Se12P4Ag2,2.077407,4
Ag3Bi3S6,1.090961,4
Ag1Bi1Se2,0.427797,4
Bi4Ag2Cl2S6,1.484521,4
Bi4Ag2Cl2Se6,1.103107,4
Ag1Bi2F12,2.450174,4
Bi6Ag2S10,1.012792,4
Mo12Br26Ag2,3.111447999999999,4
Ag2Br2N2H6,3.95534,4
Hg4Ag4Br4S4,2.331397,4
Ag2Pb2O2Br2,1.068393,4
Ag1Br1,2.013035,4
Cs2Ag2Br4,3.329071999999999,4
Cs2Ag2Br4,3.096206,4
Cs8Ag4Br12,4.042447,4
Rb8Ag4Br12,3.950965,4
Pb4Br10Ag2,3.050442,4
Ag2S2O6F6C2,4.554208,4
Ag4C4N8H12,3.381309,4
K4C4O12Ag4,3.740377,4
Ag2C2N2O2,3.649499,4
Ag6C6N6O6,4.259021,4
Ag2N2C2O2,2.543806,4
Ag4S4N4C4,3.82678,4
Ag4S4C4N4,3.680051,4
Ag1C1N1,4.286318,4
C4O8N12Ag4,3.704054,4
Ag2N4C4Cl4Sb2F12,4.484769,4
Ag2Cs2C4,3.472215,4
Pb4Ag4S4C8N8O4H4,2.160618999999999,4
Ag1K1C2,3.371901,4
Ag1Li1C2,2.280355,4
Ag2Na2C4N4,3.766462,4
Ag8O16C16,2.428664999999999,4
Ag4Co4C16O16,3.537611,4
Ag2C8N6,4.67318,4
Ag2Cs4Zn2S10C10N10,4.333575,4
P3Ca3Ag3,0.191869999999999,4
Ag4Ca4Sb4,0.367644,4
Ag4V4Cd4O16,3.433337,4
Ag2Cd4Ga2S8,2.092385,4
Ag2Cl2O4,2.202747,4
Ag4Cl4O8,2.182708,4
Ag4Cl4O12,4.20993,4
Ag2Pb8O8Cl2,3.194673,4
Ag1Cl1O4,4.604647,4
Ag4Cl4O16,4.923812,4
Ag1Cl1O4,4.446148,4
Ag1Cl1,2.405207,4
Ag2Cl2,2.408414,4
Ag2Cl2,1.824397,4
Cs2Ag2Cl4,3.729877,4
Cs2Ag2Cl4,3.657946,4
Cs2Ag2Cl6,0.021304,4
Ag4Rb8Cl12,4.404322,4
Ag2Co2O4,1.440709,4
Ag8Co8P8O32,3.413494,4
Ag1Cr1O2,2.899923,4
S12P4Cr2Ag2,1.938362,4
Ag1Cr1S2,1.482975,4
Cr2Ag2Te4,0.193408999999999,4
Ag1Sc1Cr2O10H4,2.302291,4
Ag2Cr6O16,1.94489,4
Cs4Ag4O4,2.74904,4
Ag2Cs2N4O12,4.439147,4
Ag4Cs4O4,2.732304999999999,4
Ag4Cs4O4,2.745141,4
Cs4Ag4Se12P4,2.313418,4
Cs4Ag4Se16,2.052412,4
Ag2Cs4F8,2.345506,4
Cs2K1Ag1F6,2.764934,4
Cs8Ag4I12,3.746489,4
Cs4Ag2Nb2S8,3.142943,4
Cs4Ag2Nb2Se8,2.645324,4
Cs4Sb2Ag2S8,2.491449,4
Cs4Ag2Ta2S8,3.511571,4
Cs4Ag2V2S8,2.204025,4
Cs10Ag2Si6O18,4.322567,4
Ag8Cu8F24,3.753581999999999,4
Ag4Cu4P4O16,2.157499,4
Ag4Cu4V4O16,2.666034,4
Ag2Cu2S2,1.282232999999999,4
Ag2Cu2S2,1.251828,4
Ag4Cu4S4,1.399464,4
Ag2Cu4S8P2,2.390277,4
