Material,PBEsol,HSE
HfPS,0.0,0.2854
HfP2S6,2.3232,5.2744143846
HfP2S8,1.6835,3.7138262854
HfP2S8,1.6223,3.5719673598
HfP2S7,1.6823000000000001,3.7110322458000002
HfP4S12,1.7621,3.8979241171
Hf2P3S,0.0,0.2854
TiPS,0.0,0.2854
TiP2S6,1.4232,3.1194540246
TiP2S8,1.04,2.2872336
TiP2S8,1.2122,2.6549075837
TiP2S7,0.8673000000000001,1.9288264318000001  
TiP4S12,1.3319,2.9165480053
Ti2P3S,0.0,0.2854
ZrPS,0.0,0.2854
ZrP2S6,2.0791,4.6621629965
ZrP2S8,1.4579,3.1973302231
ZrP2S8,1.5819,3.4790340803
ZrP2S7,1.5676,3.4462750934
ZrP4S12,1.7231,3.8063099113
Zr2P3S,0.0,0.2854
Ag2PS3,0.0,0.2854
Ag2PS3,0.0,0.2854
Ag2PS3,1.5148000000000001,3.3259335234
Ag2PS3,1.3903,3.0460033846
Ag3PS4,1.0416,2.2906024922
Ag3PS4,1.1363,2.4915810492
Ag3PS4,0.9879,2.1780194621
Ag3PS4,0.7692,1.729846989
Ag3PS4,0.9434,2.0854825777
Ag4P2S7,1.6671,3.6756843281
Ag7P3S11,1.2395,2.7141423034
Ag7PS6,0.9355,2.0691265034
Ag7PS6,0.7404000000000001,1.6720650998000002
AgPS3,1.1995,2.6274396434
AgPS3,0.6149,1.4236322587
AgPS3,1.5381,3.3789195443
AlPS4,2.3862,5.4357876813
Al2P4S13,2.3064,5.2316141066
AlPS3,0.0,0.2854
AlP2S7,0.0,0.2854
Al2P3S9,2.1558,4.8523141965
AlPS,0.6453,1.4833088176
AlPS4,2.3577,5.3626148818
AlPS4,2.362,5.373636934
Al5P3S3,1.4678,3.2196251117
AlPS,0.0,0.2854
AlPS,1.3721,3.0055324741
AlPS,1.1727,2.5696594678
AlPS4,2.1294,4.7866341065
AlPS4,2.0838,4.6737563133
AlPS4,2.61,6.02018335
Al2PS,0.0,0.2854
AuPS4,0.5501,1.2974972767000001
Au2P4S13,0.9247000000000001,2.0468013406
AuPS3,0.0,0.2854
AuP2S7,0.0,0.2854
Au2P3S9,0.012400000000000001,0.3070572374
AuPS,0.3136,0.8495066906000001
AuPS4,0.7443000000000001,1.6798728820000002
AuPS4,0.9532,2.1058024866
Au5P3S3,0.0,0.2854
AuPS,0.0,0.2854
AuPS,0.0,0.2854
AuPS,0.2374,0.7092988049000001
AuPS4,0.0,0.2854
AuPS4,0.0,0.2854
AuPS4,0.1432,0.5387559126
Au2PS,0.0,0.2854
BPS4,2.1459,4.8276558215000005
B2P4S13,1.8967,4.2181646794
BPS3,1.3728,3.0070869222
BP2S7,0.21,0.65937535
B2P3S9,1.3627,2.9846749288
BPS,1.0884,2.3895355862
BPS4,2.4761,5.6684496949
BPS4,1.6233,3.5742748714
B5P3S3,0.39490000000000003,1.0013201927
BPS,0.0,0.2854
BPS,0.0635,0.39686899540000004
BPS,0.9085000000000001,2.0133894854
BPS4,2.2156000000000002,5.001983903
BPS4,1.576,3.465509536
BPS4,1.7752,3.9288155094
B2PS,0.0,0.2854
BaPS3,2.5148,5.7694691234
BaPS3,3.0574,7.2405536009
BaPS3,2.3181,5.2614110903
BaPS3,3.0544000000000002,7.232139209
BaPS3,1.8932,4.2097578626
Ba2P3S9,1.4488,3.1768669398
Ba2P2S7,2.6359,6.0889365485
Ba3P2S8,1.734,3.8318617660000003
Ba3P2S8,2.0182,4.5126363501
