formula,bg,formation_energy,mp-id
BaGdCrFeO6,0.0,-5.153567591,mp-1518724
Na3U6VF30,0.0,-3.827232110958292,mp-1195908
NaHf2VF11,3.1712,-3.8249189550919542,mp-554121
BaCaVF7,2.6214,-3.7959010862500002,mp-1047952
Ba2Mg2MnF10,4.4494,-3.7776360565287352,mp-1214672
Lu6WO12,3.4519,-3.776021891578945,mp-756479
BaCaCrF7,3.7209,-3.77080516575,mp-560577
SrCaCrF7,4.2453,-3.7707881975,mp-1208686
HfMnF6,4.9479,-3.7625554997413793,mp-1205992
Tm6WO12,3.3673,-3.757400671578949,mp-756123
Na3U6CrF30,0.197,-3.748511319978447,mp-1195887
Ba2YMn2F11,3.7169,-3.729533731720546,mp-1049236
NaZr2VF11,2.163,-3.727254019091953,mp-558441
Ba2YV2F11,2.467999999999999,-3.7222729453125,mp-1044893
NaZr2MnF11,4.2265,-3.720106141620689,mp-561353
Zr15VO32,1.7356,-3.714882552083333,mp-765485
BaMnAlF7,4.6514,-3.714422612043102,mp-1214444
HfVF6,3.2213,-3.7037399425,mp-557938
BaMgVF7,2.529,-3.696001451249999,mp-1047850
Sr5Cr3F19,3.3272,-3.6955015525925923,mp-1173208
Ba5Cr3F18,1.433099999999999,-3.691702171778845,mp-1204444
Zr11VO24,1.7607000000000002,-3.68198832,mp-861249
Ba2YCr2F11,3.2403,-3.678893805312499,mp-1049234
SrVF5,2.3771,-3.6758770978571422,mp-30297
Ba2CrF6,2.4321,-3.674939850555555,mp-1214706
YVF5,2.691,-3.673272302142858,mp-1392327
YMnF5,4.044,-3.6662396547044342,mp-1402653
Er10W2O21,3.078999999999999,-3.664397379166666,mp-554807
ZrMnF6,4.4442,-3.661806588491378,mp-1206098
Na3U6FeF30,0.2176,-3.6577409691034473,mp-1194946
CaVF5,0.0,-3.657193422142856,mp-1401720
Ho6WO12,3.4002,-3.6564756473684192,mp-19065
Y6WO12,3.4343,-3.6557847515789472,mp-19005
Lu6MgWO12,0.0,-3.65408088425,mp-2229986
NaSr2CrF8,4.0664,-3.651948126781608,mp-561198
ZrVF6,2.407299999999999,-3.646671824375,mp-557686
Ba2CaMnV2F14,1.2483,-3.638905167146551,mp-1214724
BaMgCrF7,4.165,-3.6385434610000003,mp-1047859
NaZr2FeF11,3.4179,-3.6377325630919533,mp-22242
Ba2AlV2F11,2.4649,-3.634177167187501,mp-1044800
Tm6MgWO12,0.0,-3.6315465082500022,mp-2230452
Ba2Mn2AlF11,0.068799999999999,-3.627614539220546,mp-1044811
La6WO12,3.4959,-3.6233294852631572,mp-755135
Zr9VO20,1.714,-3.620520510000001,mp-759463
Zr7VO16,1.762,-3.619999341875,mp-861179
YCrF5,1.6172,-3.618027963571428,mp-1395840
Gd6WO12,2.7937,-3.617686128421053,mp-753421
BaCaMnF7,0.0359,-3.614458342043103,mp-1047948
Ba2AlCr2F11,0.0,-3.601217216979167,mp-1044788
BaCaMoF7,4.6469000000000005,-3.59872223775,mp-1047929
Y10W2O21,3.142,-3.594930444393939,mp-556220
ZrCrF6,2.6153,-3.5933790012499998,mp-2459069
Ba2YFe2F11,3.9453,-3.588503543020833,mp-1049241
Ho6MgWO12,0.0,-3.587082607249996,mp-2229997
La5Ti4FeO17,0.0,-3.58698732771605,mp-641117
Ba2CaV2FeF14,1.021399999999999,-3.58314929575,mp-1214736
NaZr2CoF11,3.482599999999999,-3.58211852175862,mp-22091
NaZr2NiF11,1.8738,-3.577501869758632,mp-554702
BaCrF5,3.5561000000000003,-3.576210748928577,mp-541031
Ba2MnAl2CoF14,2.972299999999999,-3.574526734396551,mp-1214777
BaCaFeF7,3.9013,-3.5729431895,mp-1047946
SrLiVF6,2.6226000000000003,-3.57263433537037,mp-1208625
Na3Np6FeF30,0.003499999999999,-3.572231408790948,mp-1211073
RbZrMnF7,2.3454,-3.570381424043103,mp-555669
KZrVF7,2.4489,-3.569601635475,mp-554835
BaLa8Co(Si3O13)2,2.6382000000000003,-3.56873703047619,mp-1228420
LiCaVF6,2.6309,-3.566594360925926,mp-1211094
CaCrF5,3.2323,-3.561919715000005,mp-556748
CaMnF4,0.9425999999999992,-3.561836437155172,mp-1398106
BaMnF4,2.3195,-3.558479204655171,mp-556850
CaVF4,1.9332999999999991,-3.553353985833332,mp-1387359
Nd5Ti4FeO17,1.7847,-3.552762297716049,mp-557307
La3Ti3CrO12,0.3308,-3.552151340921053,mp-755384
