formula,bg,formation_energy,mp-id
YbF3,0.0,-4.524319791875001,mp-22072
LaF3,6.042899999999999,-4.508268510833333,mp-905
TbF3,7.7552,-4.50274268625,mp-11347
DyF3,7.7755,-4.499622082499998,mp-1212843
ErF3,7.6163,-4.498629927083332,mp-9371
HoF3,7.7482,-4.4940336612500005,mp-561877
YF3,7.545699999999999,-4.469034024375,mp-2416
SmF3,7.7298,-4.468310304375,mp-7384
AcF3,6.0693,-4.467987469375,mp-985278
BaYb2F8,0.0,-4.452467351363636,mp-1206981
NdF3,7.6164,-4.452365858958333,mp-254
LuF3,7.689900000000001,-4.449161288749998,mp-1210818
SrLa5F17,6.0367,-4.44630321130435,mp-675492
PrF3,7.5968,-4.436969277916666,mp-2651
BaTm2F8,7.2347,-4.428986136363634,mp-7693
BaLu2F8,7.3128,-4.426521470757575,mp-1214962
ThF4,6.529,-4.425086677666665,mp-31034
YbGd3F12,0.0,-4.4229015834375,mp-1215594
BaEr2F8,7.215,-4.418706838181815,mp-12803
KTh6F25,6.4565,-4.413282832570312,mp-27185
Lu3O2F5,5.602399999999999,-4.402869626500001,mp-17673
Sr4Lu3F17,6.6819,-4.392000015208334,mp-35769
Er3O2F5,5.6188,-4.383207447000001,mp-560114
BaY2F8,7.1307,-4.375317280909102,mp-768240
BaCaLu2F10,6.809,-4.374406041666667,mp-1228137
LaCeF6,0.144099999999999,-4.370659118124999,mp-1223016
ThO2,4.4187,-4.36779017333333,mp-643
RbTh3F13,6.4486,-4.349201232205882,mp-555463
KYb3F10,0.0,-4.349048140625001,mp-640562
BaY3F11,7.1448,-4.344770196666666,mp-752674
LuOF,5.0135,-4.342925019722225,mp-1210775
Ba4Er3F17,6.4907,-4.338340205208333,mp-675681
BaYF5,7.2652,-4.33565048357143,mp-752675
TmOF,4.8429,-4.330688134166668,mp-1207669
CeTh9O20,2.0082,-4.321498688333333,mp-760080
RbLu3F10,6.909699999999999,-4.321325706607143,mp-558186
Ba4Y3F17,6.6616,-4.317373688541667,mp-34578
Ba4Nd3F17,6.3996,-4.316492313854167,mp-35986
CsTh3F13,6.4017,-4.316008765588231,mp-1198377
Sr7Y6OF30,5.0529,-4.315672524659092,mp-1218554
CsLu4F13,5.959,-4.315537935185186,mp-1226963
KLu3F10,7.123200000000001,-4.312424401946429,mp-1211423
CsLu3F10,6.7414,-4.310711813571428,mp-1213386
KEr3F10,7.0218,-4.3033513065,mp-683945
RbEr3F10,7.2806,-4.300691814107142,mp-555932
Ca20Er10F69,0.609799999999999,-4.298855355056117,mp-532089
Na3Th10BeF45,6.2138,-4.296476693671829,mp-1197527
KHo3F10,7.085,-4.295575641232142,mp-1211478
KTh2F9,6.4422,-4.294207528729155,mp-1211350
KDy3F10,6.988300000000001,-4.293645817303569,mp-1211612
KTb3F10,6.9502,-4.291982605160713,mp-17838
RbTb3F10,7.0894,-4.291934229464286,mp-1209091
RbTh2F9,6.3567,-4.2887562091666664,mp-1196714
ErOF,5.1794,-4.288221441666665,mp-1072193
Ba3Y2F12,7.1869,-4.288024061470588,mp-752420
Nd6F17,0.697499999999999,-4.286477665386473,mp-531687
PmF3,4.774199999999999,-4.2860255518749995,mp-862901
BaThF6,5.077199999999999,-4.28468884375,mp-1227374
Th5OF19,0.7837000000000001,-4.284045014399998,mp-1208339
Ba2YF7,7.167499999999999,-4.283659783000002,mp-777744
Ba2Y5F19,6.262600000000001,-4.282181089230769,mp-778072
TmHfF7,6.8844,-4.281529448888891,mp-1207968
CeTh4O10,1.433499999999999,-4.279213001333335,mp-1226577
LuHfF7,6.9578,-4.27695964962963,mp-1210837
HoOF,5.089399999999999,-4.275245123333333,mp-1072114
Th6OF24,1.372199999999999,-4.274158312096774,mp-727776
ErHfF7,6.858599999999999,-4.272220548148147,mp-1213061
TbHfF7,6.855499999999999,-4.270755038333334,mp-1208332
DyHfF7,6.8513,-4.270699748888887,mp-1212842
HoHfF7,6.8874,-4.269731335555556,mp-1212129
DyOF,5.020200000000001,-4.268987023888888,mp-1072208
SrThF6,5.1442,-4.26680758854167,mp-1173137
