formula,bg,formation_energy,mp-id
LaF3,10.0293,-4.508268510833333,mp-905
YF3,9.836409999999999,-4.469034024375,mp-2416
LaOF,6.0695500000000004,-4.256614436666667,mp-7100
CaF2,9.21541,-4.22225448,mp-2741
ScF3,8.90225,-4.21761559875,mp-10694
YOF,6.33786,-4.214092868333336,mp-3637
SrF2,9.00925,-4.20881278,mp-981
BaF2,8.86969,-4.162401843333335,mp-1029
ScOF,6.071359999999999,-4.125764553333335,mp-4661
HfF4,7.8729,-4.101514556333337,mp-31033
BaZr2F10,7.89842,-4.093492791923077,mp-505400
LiYF4,9.805040000000002,-4.055315924444444,mp-3700
La2Hf2O7,5.62816,-4.042177013636373,mp-12533
SrAlF5,9.490680000000001,-4.042098668035715,mp-16557
HfO2,5.443350000000001,-4.019811040833332,mp-352
CaAlF5,9.40619,-4.010018601428571,mp-8836
BaTiF6,6.05023,-3.974811880416666,mp-8291
Rb2Hf3OF12,8.11797,-3.9629965722222202,mp-17256
Ca2Hf7O16,5.49607,-3.938458758399999,mp-27221
BaTiOF4,4.57579,-3.9288870872619053,mp-16915
SrBeF4,9.86374,-3.9188805175,mp-9726
Li2CaHfF8,9.19316,-3.876617209444445,mp-16577
LiCaAlF6,9.76314,-3.870292022592592,mp-6134
AlF3,9.80678,-3.86576940625,mp-468
K2Zr3OF12,7.396229999999999,-3.860545978861111,mp-17888
Rb2Zr3OF12,7.273899999999999,-3.858001951666667,mp-17085
BaSiF6,9.605459999999999,-3.8392450499999993,mp-5588
NaCaAlF6,9.481639999999999,-3.830305885338441,mp-17944
ZrO2,4.96391,-3.813617754999999,mp-2858
SrHfO3,5.7403900000000005,-3.8123649239999993,mp-3378
Cs2HfF6,9.30291,-3.7293915677777782,mp-13948
K2HfF6,8.69608,-3.727239514388886,mp-14128
LaAlO3,5.311649999999999,-3.722193366,mp-2920
RbCaF3,8.74853,-3.717050224499998,mp-3654
CsCaF3,8.914950000000001,-3.715830655999998,mp-7104
YTaO4,5.21207,-3.707996333722221,mp-5377
Li2ZrF6,8.648909999999999,-3.689010635370369,mp-4002
Cs2ZrF6,8.73484,-3.6710611049999993,mp-7903
SrZrO3,5.15144,-3.661658828500002,mp-4387
Y2Si2O7,6.17751,-3.658035678636363,mp-5652
Y6WO12,3.5477800000000004,-3.6557847515789472,mp-19005
K2ZrF6,7.853800000000001,-3.655629739388885,mp-5450
HfSiO4,6.90352,-3.655536861666667,mp-4609
Cs2NaAl3F12,9.23135,-3.653021051149425,mp-12309
KAlF4,9.37212,-3.644089839958327,mp-2910
BaZrO3,4.61913,-3.639168969000001,mp-3834
NaZr2ZnF11,7.90424,-3.63565080175862,mp-15141
Zr3Tl2OF12,5.704770000000001,-3.610966127870371,mp-17315
Sc2Si2O7,6.19837,-3.607447267727273,mp-5594
LaClO,5.65586,-3.6045768816666692,mp-23025
BaClF,7.004569999999999,-3.6019593516666673,mp-23432
Ba3In2F12,6.324649999999999,-3.569621799313725,mp-28274
Ba2YTaO6,4.813899999999999,-3.567441034733332,mp-12385
ZrSiO4,6.18609,-3.55875977333333,mp-4820
La2SO2,3.9925900000000003,-3.5583565615,mp-4511
LaNbO4,5.02707,-3.557872843333335,mp-5295
SrTiO3,3.0676900000000002,-3.551662291666667,mp-4651
BeF2,10.4454,-3.550678696111111,mp-15951
YNbO4,4.58858,-3.543508845,mp-5387
LaPO4,7.555350000000001,-3.538097613829351,mp-3962
KMgF3,9.30419,-3.536225051449999,mp-3448
Y2SO2,4.15548,-3.5334685075,mp-12894
Li2TiF6,6.118270000000001,-3.530037228333332,mp-7603
ZrPbF6,6.1911000000000005,-3.510055982500001,mp-7310
K2AlF5,9.40236,-3.50936397743751,mp-9486
Sr4Ti3O10,3.2321999999999997,-3.508666600588235,mp-31213
TiO2,3.36291,-3.5080554519444442,mp-390
Ba2LaTaO6,4.77076,-3.506661578233334,mp-13055
Sr2Ta2O7,3.85005,-3.499442949515151,mp-12286
BaTiO3,3.6518699999999997,-3.492236987666666,mp-5020
La2SeO2,3.24871,-3.491444638468752,mp-7233
SrTa2O6,4.41922,-3.487587180518501,mp-17715
BaLa2BeO5,5.23231,-3.4875613502777782,mp-18414
CaTaAlO5,5.11766,-3.484082552166667,mp-15733
Ca2Ta2O7,3.45727,-3.482593376333331,mp-14026
YPO4,7.17816,-3.477044902440459,mp-5132
Cs2CaF4,8.342469999999999,-3.4682948657142862,mp-15157
Sr2YNbO6,4.41975,-3.46656378,mp-6019
CaAl4O7,5.429810000000001,-3.463972205833334,mp-4867
LiCaGaF6,8.21715,-3.462266970092592,mp-12829
LaSF,2.1167,-3.452929627604165,mp-5394
Ba2YNbO6,4.10426,-3.444694518,mp-7251
K2NaAlF6,9.40393,-3.44334859958793,mp-6586
ScBO3,6.1047,-3.436941156833332,mp-8697
Rb2SiF6,9.69388,-3.432261107222219,mp-10492
Al2O3,6.86703,-3.426551008,mp-1143
K2SiF6,9.86332,-3.425675350499996,mp-3042
BaBrF,6.1674,-3.422976659999997,mp-23070
MgTi2O5,3.9132,-3.422544152083334,mp-28232
Sr2SiO4,5.90064,-3.422024718214281,mp-18510
KNbF6,6.6538699999999995,-3.414340102781249,mp-7571
LaBrO,5.25014,-3.411858679999999,mp-23023
Sc2SO2,3.06527,-3.4087673845,mp-7288
Cs2NaAlF6,7.98524,-3.407736822568965,mp-6528
BaGeF6,7.30757,-3.401715624375,mp-14006
CaSnF6,7.29353,-3.401542958125,mp-8224
TaAlO4,5.17878,-3.400570372055554,mp-14333
Sr2MgSi2O7,6.07719,-3.398849896666666,mp-6564
BaSnF6,6.6376599999999994,-3.396749804374999,mp-8290
SrBrF,6.1172200000000005,-3.392943195,mp-23024
BaZnF4,6.1052100000000005,-3.392223955833333,mp-3881
Cs2SiF6,9.67896,-3.389468809444444,mp-4047
La2TeO2,2.5671399999999998,-3.386965779333334,mp-4547
BaSiO3,6.01029,-3.3819813555000002,mp-7339
Ca4LaB3O10,5.7185,-3.379169608472222,mp-6076
K2MgF4,9.0369,-3.367804555642856,mp-31212
SrZnF4,6.6014,-3.366921715,mp-5078
Ba2MgSi2O7,6.11344,-3.363647231666667,mp-9338
Ba2SiO4,6.08002,-3.361976853214285,mp-17612
ScPO4,6.44768,-3.354315457440459,mp-4200
BaHf(PO4)2,6.613569999999999,-3.350602843273808,mp-545548
LaSeF,2.51193,-3.349131063020832,mp-7738
Ta2O5,4.20079,-3.346563131380951,mp-10390
Ca4Al6TeO12,4.26441,-3.344974588550724,mp-15312
LiScO2,5.54009,-3.344621143333333,mp-5840
Rb2MgF4,8.78801,-3.33899116,mp-8861
YSF,2.11752,-3.332084884270834,mp-10086
Sr3Sc(BO3)3,6.263979999999999,-3.329377847031251,mp-17562
Na2LiBe2F7,9.7226,-3.329258121757663,mp-12240
BaBeSiO4,6.12012,-3.3246150149999982,mp-550751
Sr3(PO4)2,6.87063,-3.3192211222527472,mp-4632
Na3TaF8,6.56325,-3.317658471027778,mp-17245
KBe3ZnF9,8.0755,-3.311582430160715,mp-18509
SiF4,10.0707,-3.306972093,mp-1818
BaBe2Si2O7,6.78375,-3.30665925,mp-12797
CaO,5.3836,-3.306019392499999,mp-2605
Sr10P6SO24,5.1668400000000005,-3.299625168179442,mp-17447
Rb3NaBe2F8,9.19031,-3.299471241705665,mp-13630
Zr2P2O9,5.81388,-3.299050528021978,mp-27132
Ba3(PO4)2,6.87648,-3.294371403021977,mp-3857
CsNbF6,6.67166,-3.2849833050000012,mp-11980
SiO2,6.9974300000000005,-3.267460600833333,mp-6945
Y2Be2GeO7,5.78335,-3.264689292916665,mp-541040
SrAl2B2O7,6.32745,-3.263411640277777,mp-15939
K4Zr5O12,4.43614,-3.262750822809523,mp-27377
Ba10P6SO24,4.97678,-3.260354025740417,mp-16990
Ba3Nb2O8,5.70634,-3.259985623076924,mp-542201
La4Se3O4,1.94905,-3.256037440639207,mp-4412
La2MgGeO6,5.43222,-3.25551475,mp-11585
AlTlF4,5.21178,-3.254028930000002,mp-3751
BaAl2B2O7,6.15215,-3.252279562777777,mp-9844
LiTa3O8,4.54187,-3.251229771277778,mp-7638
LiYO2,5.18812,-3.247456247708332,mp-7020
YAl3(BO3)4,7.199520000000001,-3.244045756333333,mp-6062
Mg4Ta2O9,5.36825,-3.240302830644448,mp-17481
CaNb2O6,4.64928,-3.237535069722227,mp-17101
K2Be2PbF8,6.72412,-3.235091948807692,mp-7385
LaVO4,3.6379099999999998,-3.224557474166666,mp-19162
BaTi(BO3)2,3.71218,-3.223730964166665,mp-11659
BaNb2O6,3.71441,-3.216098964999999,mp-28150
Mg2BO3F,6.04601,-3.212177184880952,mp-7995
LiAlSiO4,6.294020000000001,-3.210481965714286,mp-18220
La2SO6,6.60597,-3.198148707500002,mp-4078
ScBrO,4.65049,-3.195286243333331,mp-546279
NaScO2,5.37019,-3.190776871594827,mp-7914
LiF,10.657200000000001,-3.188945303333333,mp-1138
KAlSiO4,6.04933,-3.184236963892856,mp-9480
KBe2BO3F2,7.96057,-3.171410340157407,mp-6870
CsBe2BO3F2,7.733029999999999,-3.165793868202426,mp-553342
