formula,bg,formation_energy,mp-id
Ag20F16C4,3.294992,,
Cs4Ag4Al4F24,2.143879,,
Ag2Al2O4,2.884742,,
Ag4Al4O8,2.390096,,
Al1Ag1S2,2.835937,,
Ag2Al2S4,3.055806,,
Ag2Al2Se4,2.166235999999999,,
Ag2Al2Te4,1.838293,,
Ba2Ag2As2,0.5201560000000001,,
Ca3Ag3As3,0.1618669999999999,,
Cs4As2Ag2S8,2.587537,,
As2Xe4Ag2F20,3.551059,,
Ag2Se6As2F12,2.687754,,
Ag2Hg2As2S6,1.97659,,
Hg8O16Ag4As4,1.692346,,
K4Ag2As2,1.734808,,
Na4Ag2As2,1.229253,,
As4Pb4Ag4S12,1.935167,,
Ag4As4S4,0.476823,,
Ag6As6S12,2.332249,,
Ag4As4Se4,0.077651,,
Ag1As1Se2,0.324715999999999,,
Sr2Ag2As2,0.350938,,
Ag2Cu8As6O24,3.04123,,
Ag2As6O18H4,2.250247,,
Au2Ag2Ba8O12,2.980427,,
Ag2Au2Cl8,2.014716,,
Au1Ag1Cs2Cl6,1.507505,,
Ag2Au2F8,2.520362,,
Au2Ag2Te8,0.021204,,
Ag2Au4F16,2.060208,,
Au6Ag2Rb4I16,1.360323,,
B12O20Ag4,3.945052,,
Ba2F2Se2Ag2,2.234553,,
Ag2Ba2F2Te2,2.348404,,
Ba2Ag2La2Se6,2.326826,,
Ba2Ag2P2,0.710516,,
Ba4Ag4Sb4S12,2.064838,,
Ba2Ag2Sb2,0.519553,,
Ag2Ba2Y2Se6,2.136067,,
Y2Ba2Ag2Te6,1.429816,,
Ba8In4Ag4S16,2.643217,,
Cs2Bi1Ag1Br6,2.162012,,
Ca2Ag2Bi2,0.236947,,
Bi2Ag2Cl4S2,1.995081,,
Cs2Bi1Ag1Cl6,2.849919,,
Ag1Bi1Cr2O8,2.357544,,
Ag1Bi1Cr4O14,3.013278,,
K4Ag2Bi2,1.203609,,
Bi4W8Ag4O32,3.797539,,
Bi2Ag2P4S12,1.97762,,
Bi2Se12P4Ag2,2.077407,,
Ag3Bi3S6,1.090961,,
Ag1Bi1Se2,0.427797,,
Bi4Ag2Cl2S6,1.484521,,
Bi4Ag2Cl2Se6,1.103107,,
Ag1Bi2F12,2.450174,,
Bi6Ag2S10,1.012792,,
Mo12Br26Ag2,3.111447999999999,,
Ag2Br2N2H6,3.95534,,
Hg4Ag4Br4S4,2.331397,,
Ag2Pb2O2Br2,1.068393,,
Ag1Br1,2.013035,,
Cs2Ag2Br4,3.329071999999999,,
Cs2Ag2Br4,3.096206,,
Cs8Ag4Br12,4.042447,,
Rb8Ag4Br12,3.950965,,
Pb4Br10Ag2,3.050442,,
Ag2S2O6F6C2,4.554208,,
Ag4C4N8H12,3.381309,,
K4C4O12Ag4,3.740377,,
Ag2C2N2O2,3.649499,,
Ag6C6N6O6,4.259021,,
Ag2N2C2O2,2.543806,,
Ag4S4N4C4,3.82678,,
Ag4S4C4N4,3.680051,,
Ag1C1N1,4.286318,,
C4O8N12Ag4,3.704054,,
Ag2N4C4Cl4Sb2F12,4.484769,,
Ag2Cs2C4,3.472215,,
Pb4Ag4S4C8N8O4H4,2.160618999999999,,
Ag1K1C2,3.371901,,
Ag1Li1C2,2.280355,,
Ag2Na2C4N4,3.766462,,
Ag8O16C16,2.428664999999999,,
Ag4Co4C16O16,3.537611,,
Ag2C8N6,4.67318,,
Ag2Cs4Zn2S10C10N10,4.333575,,
P3Ca3Ag3,0.191869999999999,,
Ag4Ca4Sb4,0.367644,,
Ag4V4Cd4O16,3.433337,,
Ag2Cd4Ga2S8,2.092385,,
Ag2Cl2O4,2.202747,,
Ag4Cl4O8,2.182708,,
Ag4Cl4O12,4.20993,,
Ag2Pb8O8Cl2,3.194673,,
Ag1Cl1O4,4.604647,,
Ag4Cl4O16,4.923812,,
Ag1Cl1O4,4.446148,,
Ag1Cl1,2.405207,,
Ag2Cl2,2.408414,,
Ag2Cl2,1.824397,,
Cs2Ag2Cl4,3.729877,,
Cs2Ag2Cl4,3.657946,,
Cs2Ag2Cl6,0.021304,,
Ag4Rb8Cl12,4.404322,,
Ag2Co2O4,1.440709,,
Ag8Co8P8O32,3.413494,,
Ag1Cr1O2,2.899923,,
S12P4Cr2Ag2,1.938362,,
Ag1Cr1S2,1.482975,,
Cr2Ag2Te4,0.193408999999999,,
Ag1Sc1Cr2O10H4,2.302291,,
Ag2Cr6O16,1.94489,,
Cs4Ag4O4,2.74904,,
Ag2Cs2N4O12,4.439147,,
Ag4Cs4O4,2.732304999999999,,
Ag4Cs4O4,2.745141,,
Cs4Ag4Se12P4,2.313418,,
Cs4Ag4Se16,2.052412,,
Ag2Cs4F8,2.345506,,
Cs2K1Ag1F6,2.764934,,
Cs8Ag4I12,3.746489,,
Cs4Ag2Nb2S8,3.142943,,
Cs4Ag2Nb2Se8,2.645324,,
Cs4Sb2Ag2S8,2.491449,,
Cs4Ag2Ta2S8,3.511571,,
Cs4Ag2V2S8,2.204025,,
Cs10Ag2Si6O18,4.322567,,
Ag8Cu8F24,3.753581999999999,,
Ag4Cu4P4O16,2.157499,,
Ag4Cu4V4O16,2.666034,,
Ag2Cu2S2,1.282232999999999,,
Ag2Cu2S2,1.251828,,
Ag4Cu4S4,1.399464,,
Ag2Cu4S8P2,2.390277,,
Xe4Ag2P2F20,2.044617,,
Na1Ag1Zr2F11,2.957515,,
Ag1Pd1Zr2F11,2.780484,,
Ag1Sb2F12,2.81117,,
Ag1Ta2F12,3.190341,,
Sr2F2S2Ag2,2.312078,,
Sr2F2Se2Ag2,2.039965,,
Sr2F2Te2Ag2,2.138427,,
Ag1F1,1.25455,,
Ag1Zn1F3,3.579519,,
Ag2Mn2F8O8H16,1.751207,,
K2Ag2F8,3.719233,,
K4Ag2F8,2.897303,,
Na2Ag2F8,3.337537,,
Ag4Na8F16,2.949394,,
Ag2Pd2F12,2.197446,,
Ag4Sb4F24,3.538918,,
Ag1Sn1F6,2.664888,,
Ag1Ti1F6,2.322284,,
Ag4Ir4F28,1.480644,,
Xe2F18Ag2,3.132798,,
Ag2Fe2O4,2.241361,,
Ag4Fe4O8,2.342042,,
Ag4Fe4O8,2.479446,,
Ag2Fe2O4,2.255681999999999,,
Ag4Fe4Se8O24,2.936438,,
Ag2V4Fe2O14,2.427155,,
Ag1Fe2Ga1Te4,1.991083,,
Ag4Fe8S12,0.6428459999999999,,
Ag4Fe8S12,2.184133,,
Ag4Ga4O8,1.653232,,
Ag2Ga2Se12P4,1.390136,,
Ag2Ga2S4,1.9857969999999991,,
Ag2Ga2S4,2.036564,,
Ag2Ga2Se4,1.236867999999999,,
Ag2Ga2Te4,0.904909,,
La6Ag2Ge2S14,2.888123,,
Ge4Ag2S14Na10,2.80012,,
Ag2Ge4P6O24,4.168306999999999,,
Ag4S8O16Na4H8,3.243006,,
Ag4V4O16H8,3.103427,,
Mo1Ag1S4N1H4,1.972149,,
W1Ag1S4N1H4,2.431259,,
Rb2Ag2Hf2Te6,0.744525,,
Hg4Ag4I4S4,2.157059,,
Hg4Ag4I4S4,2.291369,,
Hg4Ag4V4O16,2.638469,,
Ag4Hg8N4O20,1.844451,,
Hg8Ag4P4O16,2.229886,,
Ag2Hg6Sb2O12,1.863856,,
Ag8I8O24,3.691648,,
Ag8I8O24,3.214058,,
Ag2I2O8,1.011294,,
Se12I4Ag4,2.249577999999999,,
Te12I4Ag4,1.621149999999999,,
Ag1I1,2.488344,,
Ag4I4,2.510047,,
Ag2I2,2.456006,,
Ag1I1,0.98908,,
Ag2I2,1.808148,,
Ag1I1,1.81418,,
I2Ag2,2.524868,,
Tl2Ag2I4,2.249163,,
K8Ag4I12,3.666546,,
Ag2Pd2I6O18,2.804656,,
Rb8Ag4I12,3.666182,,
Ag3I9Tl6,3.189507,,
Tl12Ag4I20,1.798261,,
Ag3In3O6,1.407334,,
Ag2In2W4O16,2.118964,,
Ag2In2P4S12,2.088778,,
Ag2In2P4Se12,1.387156,,
Ag2In2S4,1.2639,,
In1Ag1S2,0.877934999999999,,
Ag4In4S8,1.433709,,
Ag2In2Se4,0.73799,,
Ag2In2Te4,0.7147069999999991,,
Ag1In5Se8,1.059729999999999,,
Ag1In5Te8,0.912684,,
Ag4K4N8O24,4.197526,,
K4Ag4O4,2.805628,,
K4Ag4O4,2.803897,,
K4Ag4O4,2.809626,,
Ag4K4P8O24,4.693617,,
Ag2K2Se2,1.368491,,
K4Ag2Nb2S8,3.03595,,
K4Ag2P2,1.845227,,
K8Ag4Sb4S16,2.074138,,
K4Ag2Ta2S8,3.379195,,
Ag2V2S8K4,2.279966,,
K4Ag2Sb2,1.732412999999999,,
K4Ag2V2Se8,1.874215,,
K6Se16Sn6Ag2,1.96219,,
La2O2S2Ag2,2.473914,,
Ag2La2Ti2O8,3.057938,,
La6Ag2S14Si2,2.875283,,
Ag1Li2Sb1,0.8709910000000001,,
La6Sn2Ag2S14,2.881473,,
La6Ag2Si2Se14,2.443941,,
La6Se14Ag2Si2,2.493373,,
La6Sn2Ag2Se14,2.04707,,
Ag1Lu1O2,3.50209,,
Ag4Lu4Se8,2.075283999999999,,
Ag4Mg4V4O16,3.551923,,
Mg8Ag8Sb8,0.360094999999999,,
Ag8Mn8P8O32,3.305978,,
Ag4Mn4V4O16,3.040452,,
Ag4Mn4O16,1.069216,,
Ag1N1O2,3.325447,,
Ag8N8O24,3.669108,,
Ag8N8O24,3.645899,,
Ag1O3N1,3.623656,,
Ag2O6N2,3.468997,,
Na2Ag2N4O8,4.027926,,
Ag4Rb4N8O24,4.247861,,
Ag2N6,2.713634,,
Ag2N6,2.775649,,
Ag4Na4O4,2.402114,,
Ag4Na4O4,2.354542,,
Ag4Na4S8O12,3.95316,,
Na4Ag2Sb2,1.108,,
Na6Ag2O4,2.306442,,
Na6Ag2S4,3.272071,,
Ag8Nb8O24,2.936949,,
Nb8Ag8O24,2.9403289999999997,,
Nb4Ag4O12,2.052807,,
Nb1Ag1O3,2.606289,,
Rb4Ag2Nb2S8,3.090945,,
Nb2Rb4Se8Ag2,2.57987,,
Ag2Nb6O16,2.848962,,
Ag4Rb4O4,2.71851,,
Ag4Rb4O4,2.715988,,
Ag8O8,0.856,,
Ag4O4,0.818282,,
Ag1Rh1O2,2.109262,,
Ag1Sc1O2,3.533055,,
Ag8P8O24,3.788802,,
Ag2Sb2O6,1.585515,,
Ag4Sb4O12,1.672013,,
Ag2Ta2O6,3.15123,,
Ag2Ta2O6,3.163197,,
