formula,bg,formation_energy,mp-id
KDy2F7,6.878299999999999,-4.2294692156250004,mp-2209593
KErF4,6.6748,-4.031674046300925,mp-1201270
KHoF4,6.754300000000001,-4.024990974449073,mp-1202279
Rb7Th6F32,0.9456,-3.996548054277777,mp-1179390
Ca6Hf19O44,4.0197,-3.915013209347825,mp-558489
KU6F25,0.007499999999999,-3.910395033039062,mp-1211824
RbU2F9,0.033199999999999,-3.839032960208332,mp-1195761
Ho4Al2O9,3.965899999999999,-3.8353084804999993,mp-1212327
CsCeF5,2.2534,-3.82972951762931,mp-1202824
Dy4Al2O9,4.005599999999999,-3.82728168861111,mp-1212993
Tb4Al2O9,4.0883,-3.818433524444445,mp-1200490
CeU4O10,0.0,-3.813342349333332,mp-1226587
La5Ti5O17,0.0,-3.7628271885801823,mp-558371
RbUF5,0.170399999999999,-3.757139160714285,mp-1194637
Tm3Al5O12,4.7315000000000005,-3.7212614525,mp-1208102
Sr9U9O34,0.0142,-3.710222280961538,mp-676411
Nd5Ti5O17,0.0,-3.705216757469136,mp-1210776
CsTi8F33,4.5689,-3.693783736579091,mp-1197107
La13(B2O13)2,0.0,-3.674490959224807,mp-1196229
Ce4Al2O9,0.014199999999999,-3.660819044499999,mp-1096905
Nd4Ti9O24,2.7998,-3.629477681959459,mp-557587
KTaF6,6.373699999999999,-3.595572352447917,mp-1540904
Rb2UF7,0.472499999999999,-3.59086492575,mp-2752754
Nd13(B2O13)2,0.0,-3.58974048870155,mp-1203797
Pr5Si3O13,0.0,-3.580733482063492,mp-1209689
Sr4U2O9,0.1871,-3.571192290666665,mp-1218792
Ba6Ti17O40,2.5972,-3.518597357407408,mp-556729
LaB3F12,5.3268,-3.503184440677083,mp-1223430
Ca2Ta2O7,3.3532,-3.483381799774892,mp-680380
BaTi7O14,0.0,-3.480667132196969,mp-757266
BaTi10O20,0.0,-3.47725806139785,mp-766314
Rb2EuF5,0.076899999999999,-3.4399635346875,mp-2749603
BaTa2O6,2.1161,-3.439499560055555,mp-561103
Mg11Ti25O60,0.0,-3.423100213107639,mp-757825
CeTa7O19,0.076899999999999,-3.409393056530863,mp-1213884
CsTi8O16,0.0,-3.4063096354528732,mp-867522
Sr12Al14O33,1.589999999999999,-3.403017828220338,mp-1094063
BaTi6O11,0.0,-3.402755226944443,mp-1227853
Ca3Al2O6,4.0091,-3.39813622378788,mp-12147
MgTi14O25,0.0,-3.381994761166667,mp-774738
LiTi11O20,0.0,-3.3719351871875,mp-772108
Gd4Ga2O9,3.085299999999999,-3.371509364833332,mp-1178283
Ba5Si8O21,4.3763,-3.368877553970587,mp-669333
Eu5P3O13,0.0,-3.317399985663267,mp-1212818
Eu3TaO7,0.0,-3.311953702939395,mp-1213095
Tb2B4O9,5.514400000000001,-3.276189129466666,mp-1208709
Ca5Nb5O17,0.0,-3.273679417314815,mp-555924
NaTi3O6,0.0,-3.243977648637931,mp-1221025
Li7Ta24O64,0.0,-3.223656045466666,mp-1223302
CeNb3O9,0.0,-3.219917170384616,mp-1227785
Ta7BiO19,3.0217,-3.195453658753087,mp-1195166
Na13Ti24O54,0.0,-3.191359322394847,mp-757603
Ba13Nb14O42,0.0,-3.188069149275364,mp-757571
Gd(BO2)3,2.692999999999999,-3.175375804062499,mp-1204314
Gd8Sb3O8,0.0,-3.110110309473685,mp-1224996
Na7Ti13O26,0.0,-3.089229602673664,mp-757308
Cs3Ga2F9,5.7462,-3.05401067385468,mp-556103
K9Ta10O30,0.0,-3.051104414869047,mp-36002
Nb12O29,0.0,-3.039089709756097,mp-1470
Tm(PO3)3,5.6236999999999995,-3.025946719917582,mp-1200186
La19(RuO6)8,0.027499999999999,-3.019516707666666,mp-766364
Ho(PO3)3,5.6162,-3.017863604853479,mp-1202425
K5Cr10F31,0.0,-3.007877560353261,mp-1182535
