mpid,formula,BG,FE,e_hull
mp-31034,ThF4,6.5408,-4.522663942618666,0.0
mp-334,LaF3,6.0452,-4.509927055059166,0.0006256275000016
mp-9371,ErF3,7.6163,-4.492670135892499,0.0
mp-8354,LaF3,5.761,-4.4912046233925,0.0193480591666679
mp-11347,TbF3,7.7511,-4.490365587975833,0.0
mp-865934,YbF2,6.7345000000000015,-4.489659124126667,0.0
mp-561877,HoF3,7.7482,-4.4878043927675,0.0
mp-7384,SmF3,7.7298,-4.468397810267501,0.0
mp-675492,SrLa5F17,6.0367,-4.454280175444782,0.0226723051449297
mp-7693,BaTm2F8,7.2347,-4.451874308138182,0.0
mp-2416,YF3,7.533799999999999,-4.4504038371425,0.0
mp-12803,BaEr2F8,7.215,-4.440871290865456,0.0
mp-254,NdF3,7.6164,-4.440404155684167,0.0
mp-27185,KTh6F25,6.4663,-4.4387103588984385,0.0037329182142871
mp-977360,AcF3,7.3459,-4.435462459017501,0.0051941324999997
mp-2651,PrF3,7.5968,-4.4326943933925005,0.0
mp-862671,ThF4,6.1267,-4.425946093618666,0.0967178490000018
mp-560114,Er3O2F5,5.6188,-4.403850378095,0.0
mp-35769,Sr4Lu3F17,6.6819,-4.392195915009583,0.0
mp-643,ThO2,4.4187,-4.386847087499999,0.0
mp-752674,BaY3F11,7.0887,-4.376818185039333,0.0419418411666674
mp-555463,RbTh3F13,6.440099999999999,-4.37393686208647,0.0
mp-17171,LaF3,4.9435,-4.366560131725834,0.1439925508333344
mp-675681,Ba4Er3F17,6.4909,-4.359008006467916,0.0007746614583341
mp-778080,BaY3F11,5.8515,-4.350450879039332,0.0683091471666674
mp-558186,RbLu3F10,6.7502,-4.343349321564285,0.0
mp-760080,CeTh9O20,1.963999999999999,-4.3404049275,0.0022647923333298
mp-323,LaF3,4.810799999999999,-4.3387987621425,0.171753920416668
mp-35986,Ba4Nd3F17,6.347799999999999,-4.33770598011375,0.0
mp-557870,LaF3,4.9708,-4.3362352246425,0.1743174579166684
mp-753990,BaY2F8,6.276,-4.333287645865456,0.0739655400000014
mp-778102,BaYF5,6.661499999999999,-4.331773359778572,0.0321048835714323
mp-768222,BaY2F8,6.9301,-4.330171980410909,0.0770812054545464
mp-776825,BaY3F11,6.1381,-4.329170862872667,0.0895891633333336
mp-768355,BaYF5,6.895099999999999,-4.327255775254764,0.0366224680952411
mp-18451,KEr3F10,7.061,-4.327255655135714,0.0
mp-778079,BaYF5,6.4487,-4.324128651921429,0.0397495914285768
mp-555932,RbEr3F10,7.2819,-4.323362596564286,0.0
mp-510560,CeF3,0.19939999999999902,-4.321284442559167,0.0
mp-10694,ScF3,6.0729,-4.319137289642501,0.0
mp-17838,KTb3F10,6.9507,-4.317670012278571,0.0
mp-752420,Ba3Y2F12,7.0439,-4.314466351722352,0.0199663941176462
mp-778072,Ba2Y5F19,6.1194,-4.3135859448119245,0.1003058027884646
mp-777744,Ba2YF7,6.9627,-4.308993774583,0.0024822140000004
mp-755751,BaYF5,6.908099999999999,-4.30567965335,0.0581985900000043
mp-777233,BaYF5,6.6724,-4.304210491207143,0.059667752142861
mp-754920,BaYF5,6.618500000000001,-4.302501849778571,0.0613763935714324
mp-757176,BaYF5,6.4944,-4.301192411207143,0.0626858321428605
mp-766345,Y5O4F7,5.2002,-4.299549435989375,0.000336515781246
mp-757483,Y6O5F8,5.0221,-4.2917222378036834,0.00024172
mp-778071,BaYF5,6.5296,-4.290663559064287,0.0732146842857179
mp-2943,KY3F10,6.930300000000001,-4.287413274957143,0.0
mp-866684,RbTh3F13,5.810700000000001,-4.286126520027647,0.0878103420588232
mp-29063,ThZrF8,5.6773,-4.2848152694519985,0.0
mp-675564,La2Th8O19,2.9637000000000002,-4.278602919784482,0.0218502099999966
mp-675118,Y2Th8O19,2.8559,-4.276776128577584,0.0414094020689646
mp-14926,Sr2ScF7,6.364999999999999,-4.2726478808329995,0.0067777155000001
mp-7100,LaOF,4.574999999999999,-4.27237837248,0.0
