formula,bg,fidelity,bg_category
KH(CN2)3,0.0,6,0.0
CdCu2GeS4,2.05,6,3.0
Rb2Tb3AlF16,0.0,6,0.0
TlGaSe2,1.65,6,2.0
UHg4(AsCl3)2,1.9,6,3.0
Rb6O,0.0,6,0.0
ErBPd3,0.0,6,0.0
InPS4,3.12,6,5.0
ErSiPd,0.0,6,0.0
K3Ga3Ge7S20,3.25,6,5.0
NaY(Te2O5)2,3.9,6,6.0
CaEuO2,0.0,6,0.0
Zn0.9Hg0.1Se1,1.75,6,3.0
Pr2Au,0.0,6,0.0
Li12Fe5O16,0.0,6,0.0
CsSb(SO4)2,4.68,6,7.0
Sc6Te2Os,0.0,6,0.0
Li2Fe3CoO8,0.0,6,0.0
Pb3O4,2.12,6,3.0
Y2U3O11,0.0,6,0.0
Ce2Sb,0.0,6,0.0
Th(Al5Fe)2,0.0,6,0.0
Cd4Sb2I3,1.83,6,3.0
Ga2HgSe4,1.95,6,3.0
B5Mo2,0.0,6,0.0
Y2ReB6,0.0,6,0.0
La4Fe(SbSe5)2,0.85,6,1.0
Lu2TlCu3Se5,2.12,6,3.0
Cd0.99Hg0.01Se1,0.29,6,0.0
In1Sb0.4As0.6,0.1,6,0.0
LiPm2Al,0.0,6,0.0
CaTaNO2,2.4,6,4.0
In4As5(BrO4)3,4.22,6,7.0
RbNbSe2O7,4.1,6,7.0
Sm(BOs)2,0.0,6,0.0
ScAgO2,3.8,6,6.0
Nb4Co2PdSe12,0.0,6,0.0
RbNa2Sb,1.0,6,1.0
SrZnSO,3.1,6,5.0
BaGe3Pt,0.0,6,0.0
Sr2YReO6,0.0,6,0.0
CsCdInSe3,2.4,6,4.0
Li7(Mo3S4)4,0.0,6,0.0
Hg5AsS2I3,1.57,6,2.0
ZrAlW,0.0,6,0.0
YbSmRh2,0.0,6,0.0
Zn2InCuSe4,1.1,6,1.0
V2OsRu,0.0,6,0.0
Li6Mn5CoO12,0.0,6,0.0
Ir0.67Se2,0.45,6,0.0
Y3Tm,0.0,6,0.0
Ti2Cd,0.0,6,0.0
Y2AlZn,0.0,6,0.0
Lu2CrS4,1.75,6,3.0
Cs2Ga2Se5,1.95,6,3.0
SrCdSi,0.0,6,0.0
Tb5Ti5O17,0.0,6,0.0
Bi8Te7S5,0.4,6,0.0
RbCu4AsS4,2.15,6,3.0
DyAgGe,0.0,6,0.0
CdO,2.3,6,4.0
BiPd,0.0,6,0.0
Li3Co4TeO8,0.0,6,0.0
RbSc(SeO3)2,4.9,6,7.0
DyIr2,0.0,6,0.0
Ba2SmTaO6,3.02,6,5.0
Si2NiP3,0.0,6,0.0
Cu2GeS3,0.53,6,0.0
YbSi2Ni,0.0,6,0.0
Cs3Sn3Cl7F2,2.96,6,5.0
LuIr,0.0,6,0.0
AlNi2,0.0,6,0.0
AsPPt,0.4,6,0.0
PrLuIn2,0.0,6,0.0
CaPd3C,0.0,6,0.0
Ce2Fe(SeO)2,0.64,6,1.0
Cs2ZnGe3Se8,2.31,6,4.0
