formula,bg,formation_energy,mp-id,fidelity,bg_category
MnSe2O5,2.0513999999999992,-1.496655939389823,mp-17901,1,3.0
VPb2Se2ClO8,1.5448,-1.664115679977678,mp-1192566,1,2.0
Li4Ti3Nb2Cr3O16,0.0,-2.813976221547619,mp-774924,1,0.0
CsK2LaV2O8,3.7121,-2.716559512082512,mp-1213137,1,5.0
Ce2WO6,0.0,-3.246888230833332,mp-1214437,1,0.0
MnH11C5NO6,3.5620000000000003,-0.8996050744450431,mp-557509,1,5.0
CaSc4(FeO3)4,1.1752,-2.694929071428571,mp-1233251,1,1.0
Li4Ti3Cr2Co3O16,0.0,-2.372612505476191,mp-770505,1,0.0
Na3Mg2(MoO4)3,1.171599999999999,-2.264692165706896,mp-1210518,1,1.0
FeSClO10,0.0,-0.373425644038461,mp-1182041,1,0.0
ZnCrP2O7,3.019499999999999,-2.462701210844153,mp-1042062,1,4.0
Ca2DyMnO6,0.0,-2.73140718395977,mp-1521466,1,0.0
Li4Ti2Mn3Sn3O16,0.0,-2.39730615531404,mp-772989,1,0.0
Cr2NiH20(NO7)2,3.0033,-1.210733332435896,mp-1204049,1,4.0
Ba3NaMn4Si6O22F,0.6848000000000001,-2.7544768221109033,mp-1197574,1,1.0
Na5(NiO2)8,0.0,-1.1780978164447071,mp-765844,1,0.0
NiSbP2O9,0.0,-2.074567103021976,mp-1043461,1,0.0
Sr4FeMoO8,0.720599999999999,-2.705672723571429,mp-1218333,1,1.0
SrPrYMnO6,2.2802,-3.02671119195977,mp-1523331,1,3.0
Li3V2Cr2O8,0.8425,-2.404593808,mp-850135,1,1.0
Sm2Hf2(MoO4)7,3.2931,-2.584654069487179,mp-1209249,1,4.0
Ca2Nb2WO8,0.0,-2.8103893246153833,mp-1044156,1,0.0
SrMg30NiO32,4.0777,-2.946301543593749,mp-1036839,1,6.0
V4ZnO10,1.0536,-2.272829188,mp-1305834,1,1.0
Li2VGaO4,1.707399999999999,-2.393399038020831,mp-755369,1,2.0
KBaFeO3,0.5118,-2.163714324958333,mp-18038,1,0.0
Rb2FeHgF6,0.0,-2.50263420675,mp-1113778,1,0.0
Mn2Bi3O7,0.8317000000000001,-1.7252124209051711,mp-1278892,1,1.0
SrGd(CoO3)2,0.0,-1.578925825999999,mp-1218287,1,0.0
KLa(MoO4)2,3.3346,-2.5328364514375,mp-1211443,1,5.0
K2LiVPO6,2.4206,-2.510997295225108,mp-761139,1,3.0
Li3MnSi2O7,0.9207999999999992,-2.706941164840848,mp-780126,1,1.0
LiCo5O3F5,1.4753,-1.917171377380954,mp-760350,1,2.0
KLiCoO2,1.6575000000000002,-1.584380029116667,mp-753408,1,2.0
MgMn4NiO8,0.0,-1.963246004051724,mp-2228529,1,0.0
Ca2CoSi4NiO12,2.9093,-2.948898731,mp-1227451,1,4.0
Li2Mn3(BO3)3,0.0942,-2.462590013703516,mp-780102,1,0.0
MgTa2(FeO4)2,2.149299999999999,-2.6835100568974353,mp-2218623,1,3.0
La2Mo2O7,0.0,-2.766294947272727,mp-29581,1,0.0
BaTmCo4O7,0.1187,-2.083048736923077,mp-1192892,1,0.0
Mn3(P2O7)2,0.649,-2.490827219398311,mp-772322,1,0.0
Fe6Pb(SO7)4,0.0,-1.284302466923076,mp-1201833,1,0.0
KCaEuWO6,0.0,-2.617136997225001,mp-1517457,1,0.0
Y(FeO2)3,1.2114,-2.11771447425,mp-1045059,1,1.0
KLaTbNiO6,0.0,-2.295794629891666,mp-1522770,1,0.0
Ba2YV3O7,0.0,-2.718846659615384,mp-1048379,1,0.0
Ba2YMgNi3O8,0.0,-2.093602715,mp-2232202,1,0.0
Y2Mo2O7,1.6484,-2.937908144545456,mp-2674749,1,2.0
BaNdFeCoO6,0.0,-2.33368072575,mp-1227838,1,0.0
