formula,bg,formation_energy,mp-id,fidelity,bg_category
Fe4Cr4P4,0.220238,,,0,0.0
Cs2TaAgS4,2.5939,-1.326573578538793,mp-15218,0,4.0
CdS2(NO7)2,1.8397,-0.496550046052631,mp-1201297,0,2.0
YZnSn2,0.0,-0.450907054999999,mp-1080779,0,0.0
Bi2OF2,0.0,-1.156549983000001,mp-1207167,0,0.0
ZrNbCr4,0.0,0.150914324166665,mp-1215217,0,0.0
Pm2PdRu,0.0,-0.5072897900000011,mp-863741,0,0.0
TaAs,0.0,-0.6207010699166701,mp-1936,0,0.0
HfTaSi,0.0,-0.369043146188658,mp-1224367,0,0.0
La4Ga4S8O4,2.008808,,,0,3.0
K3Cu(NO3)5,0.873799999999999,-1.19835477934375,mp-559099,0,1.0
YbZrF7,1.1181,-4.229559595,mp-1207497,0,1.0
Cs2PtCl4,2.1483,-1.534510231428571,mp-1539446,0,3.0
V4P2C,0.0,-0.7722759172789101,mp-29634,0,0.0
Sr5Si3,0.0,-0.456398266875,mp-746,0,0.0
CuC9S2NF10,0.7425,-0.5680105006521731,mp-727093,0,1.0
MgAlCrS4,1.3865999999999992,-1.323263207142856,mp-1247113,0,2.0
AgAsRu2,0.0,0.493404966458335,mp-631567,0,0.0
PrGeIr,0.0,-0.792236423888885,mp-1103320,0,0.0
BaBr2O11,1.9657,-0.050763841428571,mp-1193601,0,3.0
MgGa3,0.0,-0.081108974375,mp-1094969,0,0.0
Na3Ti6O13,0.0,-3.183446090415361,mp-1190392,0,0.0
Ti5P3,0.0,-1.191179145907737,mp-680570,0,0.0
Sr2MgRu3O10,0.0,-2.0556491528125,mp-2233117,0,0.0
AlFe2Mo,0.0,-0.1760317375,mp-672259,0,0.0
ThIr2,0.0,-0.89023817333333,mp-1187,0,0.0
Sm2Mn2Al2Fe13,0.0,-0.034564265571687,mp-1219246,0,0.0
BiP3Pb4O13,3.3716,-2.269370257925171,mp-559583,0,5.0
