formula,bg,formation_energy,mp-id,fidelity,bg_category
RbHgSbSe3,1.7641600000000002,-0.7669543786718781,mp-6300,4,1.0
NaCaVO4,4.217899999999999,-2.7691338459113313,mp-19302,4,4.0
LiRhO2,1.95974,-1.555824928333332,mp-14115,4,1.0
Tl2B2Se7,1.67976,-0.28725675440341,mp-16183,4,1.0
KI,4.7858,-1.669989291124999,mp-22898,4,4.0
Ba2CuClO2,0.655531,-2.449774615,mp-551456,4,0.0
Zn(InSe2)2,1.33381,-0.86116859752976,mp-22607,4,1.0
SCl,3.3613299999999997,,mp-504824,4,3.0
Sr(InSe2)2,1.94766,-1.260986248065475,mp-21733,4,1.0
ZnSiAs2,1.18126,-0.1912955775,mp-3595,4,1.0
Y2MgSe4,2.19105,-1.95491398919643,mp-15803,4,2.0
K4BeAs2,1.81594,-0.393766191285711,mp-29584,4,1.0
Zn(ReO4)2,4.57667,-2.101178606818182,mp-10326,4,4.0
Cs2PdCl4,2.3265,-1.571850537857145,mp-30314,4,2.0
CaPS3,3.66434,-1.236962133282737,mp-9789,4,3.0
AsS,2.21553,-0.159580558906249,mp-542810,4,2.0
BaYAgSe3,2.0624,-1.773074978116318,mp-6647,4,1.0
Li3AuS2,2.94578,-1.206511225833334,mp-15999,4,2.0
Cs2Li2TiO4,5.38333,-2.526923392701148,mp-8294,4,5.0
Ba(MgAs)2,1.54535,-0.928578429000002,mp-8280,4,1.0
Cs3Sb,1.55503,-0.500301612499999,mp-10378,4,1.0
NaAlCl4,6.65768,-1.8538959725,mp-23363,4,6.0
NaLiSe,3.4769,-1.371980806076387,mp-28603,4,3.0
K2MgF4,9.0369,-3.367804555642856,mp-31212,4,7.0
SrLiP,1.97628,-1.134869963214286,mp-13276,4,1.0
Ca4Cl6O,6.509270000000001,-2.896422515454545,mp-23326,4,6.0
LiAs,0.732285,-0.588209097083334,mp-7943,4,0.0
RbAuBr3,1.01363,-1.185198881499999,mp-27300,4,0.0
CsNaS,3.90356,-1.274295310937501,mp-6973,4,3.0
LaZnAsO,0.778547,-2.060511224375001,mp-549589,4,0.0
Cs2CuF6,1.4401700000000002,-2.181234638888889,mp-28692,4,1.0
TaTl3Se4,2.76182,-0.714410679197918,mp-10644,4,2.0
Ba(AgTe)2,1.00924,-0.952725886833328,mp-18501,4,0.0
Li4NCl,0.924315,-1.018106857986112,mp-29149,4,0.0
Cd4OF6,2.9274,,mp-505174,4,2.0
TaI2O,1.29503,-1.681656821833334,mp-29027,4,1.0
CsAg3Se2,0.647418,-0.58239625405711,mp-16234,4,0.0
SbBr3,3.84367,-1.002810886249999,mp-27399,4,3.0
Ca2PbO4,2.0481,-2.551106224285708,mp-21137,4,1.0
Zn(AuF4)2,2.4104699999999997,-1.536380692272729,mp-17512,4,2.0
