formula,bg,formation_energy,mp-id,fidelity,bg_category
GePr2Hg,0.0,-0.0441724999999999,,2,3.0
Se3SrHoAu,1.0203,-0.0350927,,2,3.0
YRu2Ce,0.0,-0.0359139,,2,3.0
Cd4InHg,0.0,-0.0371099,,2,3.0
CuAs2Ho2,0.0,-0.0319919,,2,3.0
Ir3Pt,0.0,-0.0708255,,2,3.0
KSb2Hg2,0.0,-0.0440568999999999,,2,3.0
LiSr,0.0,-0.0123263,,2,3.0
F6RhSb,1.1687,-0.0135345999999999,,2,3.0
SeBrLa,2.2742,-0.0297848,,2,3.0
O7Si2TiNd,0.2155,-0.0144646,,2,3.0
SnLa3,0.0,-0.0418763999999999,,2,3.0
SrPd2Pb,0.0,-0.0414777,,2,3.0
RuLa2Pt,0.0,-0.0485593999999999,,2,3.0
AlGeZr,0.0,-0.0197686,,2,3.0
Li2OF4V,0.3723,-0.008398,,2,3.0
P2Cu4Np,0.0,-0.0271972999999999,,2,3.0
I3Sm2,0.2343,-0.0410591,,2,3.0
ZnIr5,0.0,-0.0615367,,2,3.0
Ga2Pd2Ag,0.0,-0.0263715,,2,3.0
LiNiLa2,0.0,-0.0262925,,2,3.0
O3MnHf,1.3712,-0.0229592,,2,3.0
ClCu2Se,0.0,-0.014923,,2,3.0
SrCd2Sm,0.0,-0.032271,,2,3.0
B2Ni7Th3,0.0,-0.0350510999999999,,2,3.0
OAsCdNd,1.0053,-0.0270236,,2,3.0
Sr2YAg,0.0,-0.0260461,,2,3.0
Te2PtHg,0.0,-0.0535683999999999,,2,3.0
SiRu3Eu2,0.0,-0.037264,,2,3.0
ZnTbAu2,0.0,-0.0504373,,2,3.0
P2AgPt,0.0,-0.0307451,,2,3.0
ZrNbTc,0.0,-0.033286,,2,3.0
Ti3Cr2Zn,0.0,-0.0165,,2,3.0
Co2ZnEu2,0.0,-0.0310141,,2,3.0
F7Na3Ho,0.1109,-0.0110184999999999,,2,3.0
O8Cr3Cu,0.0,-0.0118671,,2,3.0
ZrRu2Tm,0.0,-0.0387586,,2,3.0
Ga2PdHf2,0.0,-0.0388996,,2,3.0
HGeRh3,0.0,-0.025043,,2,3.0
Si3MnLa,0.0,-0.0186914,,2,3.0
CaRh2La2,0.0,-0.0333108,,2,3.0
SiNi2Pa2,0.0,-0.0488257,,2,3.0
Ga2Pd3Tm,0.0,-0.0312811999999999,,2,3.0
NiSn3Er,0.0,-0.0353014,,2,3.0
LiO12VTe2W,1.3803,-0.0157138,,2,3.0
Ni4CdCe,0.0,-0.0235844999999999,,2,3.0
B2O6SiFe,0.0,-0.010442,,2,3.0
Al2FeTa,0.0,-0.0253631,,2,3.0
O2NiRb2,0.811,-0.0153498,,2,3.0
Cu2Y2Tl,0.0,-0.0321483,,2,3.0
PYAg,0.0,-0.0240654,,2,3.0
N5Nb3,0.6386,-0.0191754999999999,,2,3.0
Sc3Pt2,0.0,-0.037931,,2,3.0
Si3YRh,0.0,-0.0191838,,2,3.0
SNiI,0.0,-0.0210848,,2,3.0
