formula,bg,formation_energy,mp-id,fidelity,bg_category
Nb3RuRh2,0.0,-0.0339819,,3,3.0
O2Rb2Hg,2.5611,-0.0255841,,3,3.0
O6TiEu2Ta,0.0,-0.0260368,,3,3.0
SRhSb,1.0846,-0.0275741,,3,3.0
As2Ce6Ir,0.0,-0.0429951,,3,3.0
Ge2Pt3Th,0.0,-0.0583297,,3,3.0
Fe4ZrTa,0.0,-0.028462,,3,3.0
O7Zr2La2,4.5258,-0.0210793,,3,3.0
AlNiY2,0.0,-0.0203044,,3,3.0
AlRh2Tb2,0.0,-0.0348053,,3,3.0
Mg3Ag2La,0.0,-0.0204231,,3,3.0
LiCoDy2,0.0,-0.0288695,,3,3.0
O5S2Er2Hf2,2.9831,-0.0285512,,3,3.0
Li2Pd2Ba,0.0,-0.0224116,,3,3.0
NiRh2Lu2,0.0,-0.0396952,,3,3.0
LiO2Y,4.8852,-0.0138886,,3,3.0
Rh2DyTl,0.0,-0.0475393,,3,3.0
F6Rb3Y,6.8711,-0.0146532,,3,3.0
InHf3,0.0,-0.0555897999999999,,3,3.0
OPZnEu,0.0,-0.0226483,,3,3.0
MgGeRu,0.0,-0.0200633,,3,3.0
Na2AuTl,0.0,-0.0377821,,3,3.0
MnAu4,0.0,-0.0592588,,3,3.0
B4ZrEr,0.0,-0.0193457,,3,3.0
C2NiPu,0.0,-0.0366139999999999,,3,3.0
Rh2Sn4Au,0.0,-0.0404403,,3,3.0
KCd4Pb,0.0,-0.0343575999999999,,3,3.0
LiCl6CaRb2,0.0,-0.0121374999999999,,3,3.0
CdLu3Ir2,0.0,-0.0574117,,3,3.0
NaSr2Hg,0.0,-0.0295306,,3,3.0
S2ScIn,0.6019,-0.0181954,,3,3.0
NiGdPb,0.0,-0.0507554,,3,3.0
O3Pt,0.0,-0.0224193,,3,3.0
MgSi2Co,0.0,-0.0108353,,3,3.0
ZnPdEr,0.0,-0.0330604,,3,3.0
F4CrIn,0.7262,-0.0136816,,3,3.0
SiNi2Dy,0.0,-0.0232686,,3,3.0
S2TlPa,0.0,-0.0489468,,3,3.0
Mg2Ga2Er,0.0,-0.0190094,,3,3.0
FeCuSe8Rh4,0.0,-0.0239734,,3,3.0
Co8Ru,0.0,-0.0191693,,3,3.0
B2O4Co,0.6199,-0.0103438,,3,3.0
