formula,FE,bg
Cs7P3S11,-19.9799,2.5093
La5P3S3,-19.4839,0.149
K7P3S11,-18.9614,2.6153
Rb7P3S11,-18.9194,2.5417
Li7P3S11,-18.0556,2.4767
Na7P3S11,-17.5796,2.665
Ba3P2S8,-17.0033,2.0182
Sr3P2S8,-16.448,2.5175
La4P2S3,-15.8805,0.3548
Ca3P2S8,-15.5122,2.4712
Li7PS6,-15.4669,1.9903
Y5P3S3,-14.5159,1.5993
La2P4S13,-14.3191,2.3193
Y2P4S13,-14.2373,1.9784
Cs7PS6,-14.1292,1.7605
K7PS6,-13.5377,1.7354
Na7PS6,-13.4649,1.8584
Sc5P3S3,-13.3524,1.4475
Rb7PS6,-13.2297,1.7524
Sc2P4S13,-13.1745,2.1487
Y3PS3,-13.1209,0.0
La2P3S9,-12.8687,1.9725000000000001
Zr4P2S3,-12.7333,0.0
Y2P3S9,-12.6899,1.7829
Sc2P3S9,-12.0041,1.3105
Ba2P3S9,-11.7041,1.4488
Cs4P2S7,-11.7009,2.5525
Ba2P2S7,-11.6671,2.6359
K4P2S7,-11.1859,2.6754000000000002
Rb4P2S7,-11.1629,2.5831
Sr2P2S7,-11.1079,2.457
Sr2P3S9,-11.0619,1.6501000000000001
Li4P2S7,-10.6433,2.4445
Ca2P3S9,-10.598700000000001,1.6033
Ba2P2S5,-10.5497,1.5409
Ca2P2S7,-10.4417,2.2293
Na4P2S7,-10.3803,2.7142
Ca4P2S,-10.2121,1.6653
Mg3P2S8,-9.9119,2.1736
Sr4P2S,-9.8085,1.5674000000000001
Ba4P2S,-9.3079,1.1076
Cs2P8S13,-8.7423,1.2281
Al2P4S13,-8.7343,2.3064
Cs3PS4,-8.555,2.9058
Al5P3S3,-8.4979,1.4678
Nb2PS10,-8.2896,1.3901000000000001
Ta2PS10,-8.1322,1.2124
Rb3PS4,-8.0915,2.805
K3PS4,-8.0715,2.8224
ZrP4S12,-7.9353,1.7231
Y2PS,-7.8851,0.0
Al2P3S9,-7.8319,2.1558
HfP4S12,-7.8313,1.7621
La2PS,-7.7919,0.0
Mg2P3S9,-7.6105,1.6275
Li3PS4,-7.6083,2.7053
Tl7P3S11,-7.5171,1.5063
Na3PS4,-7.3763,2.1123
Sc2PS,-7.3373,0.0
Zr2P3S,-7.2405,0.0
Mg2P2S7,-7.0515,2.5939
LaPS4,-7.0252,2.4165
Hf2P3S,-7.0125,0.0
V2PS10,-6.9968,0.017
Cr2P4S13,-6.7321,0.8772000000000001
ZrP2S8,-6.7273,1.4579
ZrP2S7,-6.7156,1.5676
HfP2S8,-6.6673,1.6835
HfP2S7,-6.6126,1.6823000000000001
YPS4,-6.5578,2.0938
K3PS3,-6.5328,2.3414
TiP4S12,-6.493,1.3319
Zn3P2S8,-6.3268,2.2326
BaP2S6,-6.1419,2.1212
BaPS3,-6.0542,3.0544
Ga2P4S13,-6.0513,1.8504
In2P4S13,-6.0477,1.9472
Pb3P2S8,-6.0317,2.0788
Cs2PS3,-6.0201,2.914
LaP2S7,-5.9989,0.0
SrP2S6,-5.8928,1.8591
SrPS3,-5.8731,3.0204
ScPS4,-5.8719,1.7776
Ti2P3S,-5.8599,0.0
YP2S7,-5.8135,0.0
Rh2P4S13,-5.7909,1.092
Cr2P3S9,-5.7657,0.36360000000000003
K2PS3,-5.7291,3.0121
Rb2PS3,-5.7291,2.8998
TiP2S8,-5.713,1.2122
CaPS3,-5.5685,2.9774000000000003
In2P3S9,-5.5253,1.4675
ScP2S7,-5.5016,0.1527
Li2PS3,-5.4883,2.6428
Ga5P3S3,-5.4499,1.2936
Bi2P4S13,-5.4405,2.1062
TiP2S6,-5.4316,1.4232
Mg4P2S,-5.3907,1.3481
Ga2P3S9,-5.3899,1.336
Cd3P2S8,-5.3631,2.1244
TiP2S7,-5.3233,0.8673000000000001
BaP2S4,-5.2765,1.6517
Na2PS3,-5.2503,2.9312
Zn2P3S9,-5.2491,1.715
NbP2S8,-5.2158,1.4108
Ni4P3S5,-5.1927,0.0
Zr2P2S,-5.1729,0.0
TaP2S8,-5.1361,1.1583
LaPS,-5.1001,0.23950000000000002
Ir2P4S13,-5.0817,1.2704
YPS3,-5.0661,0.0
Sn3P2S8,-5.0026,1.7496
YPS,-4.9897,0.0142
Rh2P3S9,-4.9895000000000005,1.0018
Tl4P2S7,-4.9773,1.6194
LaPS3,-4.9565,0.0
ScPS3,-4.9492,0.0
Ru2P4S13,-4.8383,0.28450000000000003
Co2P4S13,-4.8067,0.6969000000000001
Sb2P4S13,-4.7637,2.0079
Fe2P4S13,-4.7293,0.0
CaP2S6,-4.6982,1.1082
TaPS6,-4.6401,0.6366
B5P3S3,-4.5774,0.39490000000000003
Cd2P3S9,-4.5773,1.6181
Zn2P2S7,-4.5611,2.4358
Tl7PS6,-4.5434,0.6945
ScPS,-4.5288,0.5329
B2P4S13,-4.5189,1.8967
NbPS6,-4.4578,0.3951
Mn3P2S8,-4.4394,0.0
VP2S8,-4.3564,1.2364
Ir2P3S9,-4.3083,1.1841
Bi2P3S9,-4.2951,1.5487
Cu7P3S11,-4.2628,0.8707
Pb2P3S9,-4.1537,0.645
Pb2P2S7,-4.1167,1.6442
Cd2P2S7,-4.0993,2.3959
ZrPS,-4.0928,0.0
Co2P3S9,-4.0833,0.5451
MgPS3,-4.0554,2.6897
HfPS,-3.9038,0.0
Ru2P3S9,-3.8749000000000002,0.0
Rh5P3S3,-3.8649,0.0
MoP4S12,-3.7949,0.4405
Ag7P3S11,-3.7378,1.2395
Mn2P3S9,-3.7255000000000003,0.7783
CsPS3,-3.6499,1.8143
Fe2P3S9,-3.6469,0.0
Sn2P3S9,-3.6323,0.4793
AlPS4,-3.6238,2.0838
SiP4S12,-3.4922,1.1572
AlP2S6,-3.4878,0.0
WP4S12,-3.4728,0.4511
Sb2P3S9,-3.4713,1.2087
SrPS,-3.4557,1.4175
RbPS3,-3.4474,1.668
BaPS,-3.4378,1.3504
Tl3PS4,-3.4208,1.7279
VPS6,-3.4044,0.0403
CaPS,-3.3921,1.4042000000000001
AlP2S7,-3.3835,0.0
KPS3,-3.3644,1.5501
Sn2P2S7,-3.3533,1.3385
Ge3P2S8,-3.3408,1.7472
TiPS,-3.3005,0.0
In5P3S3,-3.2344,0.5731
SnP4S12,-3.2114,0.8953000000000001
SiP2S6,-3.1828,1.67
Mn2P2S7,-3.1265,0.7667
Cr5P3S3,-3.1134,0.0
Tl2P4S13,-3.1071,0.9772000000000001
Fe3P2S8,-3.0595,0.0
MoP2S8,-3.0369,0.0
SiP2S7,-2.9985,1.819
NaPS3,-2.998,1.9182000000000001
LiPS3,-2.995,1.7281
Cu7PS6,-2.9901,0.6956
Ni3P2S8,-2.9861,0.0
MnP2S6,-2.9656000000000002,1.0267
MnP2S7,-2.8973,0.8134
MgP2S6,-2.8921,0.4097
MoP2S7,-2.8872,0.4335
Hg3P2S8,-2.8718,1.1893
Co5P3S3,-2.8554,0.0
Hg2P3S9,-2.8551,1.5892
Co3P2S8,-2.8381,0.0
SnP2S6,-2.78,1.2072
WP2S8,-2.7688,0.0
NbPS,-2.7273,0.0
Pd3P2S8,-2.7203,0.0
TaPS,-2.7196000000000002,0.0
CrPS4,-2.7057,0.5053
Cu4P2S7,-2.6987,1.3106
Co4P2S,-2.6833,0.0
Ge2P3S9,-2.6651000000000002,0.6126
RuPS4,-2.6433,0.6039
GaPS4,-2.6108000000000002,2.2713
GeP4S12,-2.5998,1.0756000000000001
Cu3PS4,-2.5811,1.0783
CrP2S7,-2.5734,0.0
VPS3,-2.5683,0.20980000000000001
WP2S7,-2.5481,0.5431
TcP4S12,-2.5188,0.0
RhPS,-2.5005,1.4803
Au2P4S13,-2.4957,0.9247000000000001
MnP2S8,-2.49,0.2817
Tl2PS3,-2.4893,2.0519
Ag4P2S7,-2.4877000000000002,1.6671
Ir5P3S3,-2.4819,0.0
IrPS,-2.4809,1.6599
MnP4S12,-2.472,0.0
Mn4P2S,-2.4717000000000002,0.0
Ni2P3S9,-2.4673,0.0
RhPS4,-2.4576000000000002,0.9823000000000001
SnP2S7,-2.4557,1.3443
SiP2S8,-2.4472,0.8927
AlPS3,-2.4461,0.0
MoP2S6,-2.4445,0.0
Ru5P3S3,-2.4274,0.0
Fe5P3S3,-2.4114,0.0
Hg2P2S7,-2.4001,1.8571
PtP2S6,-2.3885,1.1746
PbP4S12,-2.3841,0.0902
RhP2S7,-2.3473,0.0
PbPS3,-2.339,2.1467
B2P3S9,-2.3325,1.3627
Al2PS,-2.3131,0.0
Ni4P2S,-2.3003,0.0
InPS4,-2.2835,2.131
Sb3PS6,-2.2761,0.6875
ZrPS2,-2.2745,0.0
FeP2S7,-2.242,0.0
SnP2S8,-2.2294,0.9208000000000001
ZnPS3,-2.2257,2.0531
VPS,-2.2129,0.0
PtP2S7,-2.2112,1.456
Pt3P2S8,-2.2061,0.26080000000000003
Ni2P2S7,-2.1853,0.0
CdPS3,-2.1758,1.7448000000000001
IrPS4,-2.159,1.3559
IrP2S7,-2.1427,0.0
TcP2S6,-2.1254,0.41100000000000003
MgPS,-2.114,1.1738
CoPS,-2.0944,1.0601
FePS,-2.0772,0.5982000000000001
BiPS4,-2.0744,1.8194000000000001
RuP2S7,-2.073,0.0
BPS4,-2.0611,2.4761
ReP4S12,-2.0606,0.0
CoPS4,-2.0605,0.4939
RuPS,-2.0532,0.6396000000000001
GaP2S7,-2.0525,0.0
GeP2S6,-2.0464,0.788
WP2S6,-2.0434,0.0
Co2P2S7,-2.0413,0.0
Pd2P2S7,-2.0411,0.1617
Pd2P3S9,-2.0361,0.0
InP2S7,-2.0212,0.0
PbP2S8,-2.0171,0.3498
IrP2S8,-2.0124,0.1905
BiP2S8,-2.0058,0.5047
Ag7PS6,-2.0031,0.9355
PtP2S8,-1.9999,1.0695
Fe2P2S7,-1.9869,0.15480000000000002
Ge2P2S7,-1.9831,0.7889
Fe4P2S,-1.9785000000000001,0.0
CoP2S7,-1.9682,0.0
CrPS3,-1.966,0.0
SnPS3,-1.9483000000000001,1.6796
FeP2S6,-1.9463000000000001,0.0
TcP2S7,-1.9461,0.0
PdP2S6,-1.9429,0.6950000000000001
IrP2S6,-1.933,0.0
AlPS,-1.8967,1.3721
