mpid,formula,BG,fidelity,bg_category
mp-7020,LiYO2,7.58,2,5.0
mp-10392,Sr3CdPtO6,3.83,2,2.0
mp-3006,P2Pd3S8,2.72,2,1.0
mp-7575,LiZnN,1.39,2,0.0
mp-1415,CaSe,4.22,2,2.0
mp-17173,Rh2S3,0.143,2,0.0
mp-18914,K2MoO4,6.12,2,4.0
mp-19387,CdWO4,4.31,2,3.0
mp-17208,K2Li14Zr3O14,7.88,2,5.0
mp-20463,CaPbF6,6.78,2,4.0
mp-31243,BaAs2,1.02,2,0.0
mp-9510,Tl2PAuS4,2.8,2,1.0
mp-3821,K2PtF6,4.13,2,2.0
mp-28944,BiTeCl,2.66,2,1.0
mp-13654,Y3Sb4Au3,0.887,2,0.0
mp-3654,RbCaF3,12.3,2,7.0
mp-7691,YB4Mo,0.605,2,0.0
mp-27455,YCl3,8.55,2,6.0
mp-9437,NbFeSb,1.32,2,0.0
mp-29567,CuSe2Br,1.95,2,1.0
mp-22142,SiSe2,4.14,2,2.0
mp-5122,Na3AlP2,3.44,2,2.0
mp-28875,Hg2P3Cl,1.89,2,1.0
mp-23549,Bi3B5O12,5.74,2,4.0
mp-468,AlF3,13.3,2,7.0
mp-23700,RbH2OF,10.7,2,7.0
mp-9844,BaAl2B2O7,8.77,2,6.0
mp-29139,NaAuSe2,1.64,2,1.0
mp-17193,Ca3GeO,1.01,2,0.0
mp-28599,Na4Br2O,5.29,2,3.0
mp-17688,CsGaTe2,2.42,2,1.0
mp-8678,NaAlPO4F,9.3,2,6.0
mp-602,Te2Mo,1.41,2,0.0
mp-9069,K2NaAlAs2,2.9,2,2.0
mp-541877,TaTeCl9,4.22,2,2.0
mp-16980,Rb2B4O7,9.15,2,6.0
mp-14501,Ba(As3Pt2)2,0.664,2,0.0
mp-20331,CuSbSe2,1.46,2,0.0
mp-15833,Zn4P6SN12,6.53,2,4.0
mp-613172,VBiO4,3.52,2,2.0
mp-2319,P2Os,1.4,2,0.0
mp-510341,Cs3Ge4Au,2.02,2,1.0
mp-28237,RbLiBr2,8.07,2,5.0
mp-27394,CsSnCl3,5.01,2,3.0
mp-22984,NaBiO2,2.83,2,1.0
mp-4609,HfSiO4,8.66,2,6.0
mp-31250,BiBO3,5.13,2,3.0
mp-541656,AuCl2,1.75,2,1.0
mp-23737,KMgH3,6.25,2,4.0
mp-541013,TiI4,1.93,2,1.0
mp-22922,AgCl,2.44,2,1.0
mp-15220,K2VCuSe4,1.71,2,1.0
mp-6599,KNb(CuSe2)2,2.37,2,1.0
mp-31593,Na4CoO4,0.165,2,0.0
mp-17240,RbNa3Li12(SiO4)4,8.56,2,6.0
mp-30161,Si2CN4,7.17,2,5.0
mp-23541,KSn2Br5,4.1,2,2.0
mp-1087,SrS,5.02,2,3.0
mp-19178,CoAgO2,1.45,2,0.0
mp-28244,TlBO2,5.43,2,3.0
mp-30056,CsCaBr3,8.08,2,5.0
mp-2008,FeAs2,0.666,2,0.0
mp-18562,Na2Si2Se5,4.62,2,3.0
mp-27849,TiBrN,1.69,2,1.0
mp-13445,Rb2As2Pt,1.96,2,1.0
mp-18741,RbLiCrO4,4.04,2,2.0
mp-510075,Cs7Au5O2,3.2,2,2.0
mp-17100,In2P2O7,5.6,2,3.0
mp-2251,Li3N,2.56,2,1.0
mp-6987,Sr(GaTe2)2,1.02,2,0.0
mp-9636,CsSbF6,9.11,2,6.0
mp-29835,K2SnTe3,1.97,2,1.0
mp-9198,Fe(SiP)4,1.99,2,1.0
mp-6023,Tl2Sn(AsS3)2,2.06,2,1.0
mp-1266,Na2Se,4.91,2,3.0
mp-463,KF,12.2,2,7.0
mp-8615,NbBO4,4.21,2,2.0
mp-28158,K4Be3O5,7.33,2,5.0
mp-27850,TiNCl,1.7,2,1.0
mp-29077,LiBiO3,1.25,2,0.0
mp-31212,K2MgF4,12.5,2,7.0
mp-27562,Na2Pd3O4,0.902,2,0.0
mp-29694,KAuBr4,2.03,2,1.0
mp-3104,BaZrN2,2.49,2,1.0
mp-22914,CuCl,2.5,2,1.0
mp-23131,Sr2BN2Cl,5.45,2,3.0
mp-2798,SiP,2.95,2,2.0
mp-927,CuP2,1.5,2,1.0
mp-5615,CaAgAs,0.22,2,0.0
mp-9029,Ca3VN3,2.04,2,1.0
mp-4387,SrZrO3,6.74,2,4.0
mp-16947,LiAlGeO4,6.09,2,4.0
mp-29657,NaGe,1.8,2,1.0
mp-510710,Cs2AgSbS4,3.16,2,2.0
mp-17048,Rb2WS4,3.17,2,2.0
mp-9595,NbInO4,5.14,2,3.0
mp-22898,KI,7.27,2,5.0
mp-504498,K2CdPb,0.5720000000000001,2,0.0
mp-20740,Tl4Te3Pb,0.165,2,0.0
mp-9752,Li2NbF6,7.87,2,5.0
mp-7117,LiAlSe2,5.16,2,3.0
mp-4584,Tl3BO3,2.79,2,1.0
mp-12957,O2,2.11,2,1.0
mp-28198,RbInI4,4.38,2,3.0
mp-541234,Cs2K4Fe2O5,0.184,2,0.0
mp-11022,ScAgO2,3.6,2,2.0
mp-31451,ZrCoBi,1.39,2,0.0
mp-23484,CsAuCl3,1.56,2,1.0
mp-3839,GaCuTe2,0.748,2,0.0
mp-23739,SiH4,11.1,2,7.0
mp-5513,Tl3VS4,3.0,2,2.0
mp-23127,Ba2BiSbO6,3.21,2,2.0
mp-8190,Tl2SiS3,4.07,2,2.0
mp-22342,PbSeO4,5.48,2,3.0
mp-22996,SbSeI,2.48,2,1.0
mp-29216,Cs2PtCl4,3.85,2,2.0
mp-12903,YAgTe2,1.66,2,1.0
mp-541291,Na3MoN3,2.72,2,1.0
mp-5380,Ca4P2O,3.0,2,2.0
mp-8147,K2As2Pd,1.85,2,1.0
mp-540707,Cs2Sn(GeO3)3,5.11,2,3.0
mp-549589,LaZnAsO,1.12,2,0.0
mp-886,Ga2O3,4.2,2,2.0
mp-12885,BaAl2Sb2O7,5.58,2,3.0
mp-28994,KLi2As,2.18,2,1.0
mp-31038,CuSe2Cl,1.91,2,1.0
mp-4691,Ag2CO3,1.35,2,0.0
mp-27228,Tl6Si2O7,3.37,2,2.0
mp-19956,Ba2InO3F,4.06,2,2.0
mp-20187,LiInSe2,2.9,2,2.0
mp-15074,Sr(PIr)2,0.5720000000000001,2,0.0
mp-504891,La3MnGaS7,0.55,2,0.0
mp-9059,KLi6TaO6,6.82,2,4.0
mp-18388,Ga7Te10,1.77,2,1.0
mp-9197,Li3AsO4,7.4,2,5.0
mp-17512,Zn(AuF4)2,3.25,2,2.0
mp-5782,AlAgS2,3.75,2,2.0
mp-8399,CsCdF3,6.44,2,4.0
mp-3167,Hg2GeSe4,0.998,2,0.0
mp-8810,SrZn2(PO4)2,7.27,2,5.0
mp-181,KGa3,0.797,2,0.0
mp-8564,CsK2Sc(PO4)2,7.56,2,5.0
mp-22855,HgCl2,5.16,2,3.0
mp-2343,Mg2Sn,0.6000000000000001,2,0.0
mp-17063,BaLaCuTe3,2.41,2,1.0
mp-11265,BaCaSn,0.908,2,0.0
mp-5450,K2ZrF6,9.92,2,7.0
mp-19440,LiVO3,4.22,2,2.0
mp-23420,Ge19(PI)4,1.95,2,1.0
mp-13133,K2TiO3,5.91,2,4.0
mp-29289,BaPt2S3,2.14,2,1.0
mp-541385,Cs6Fe2O5,0.311,2,0.0
mp-23247,ZrBr3,1.25,2,0.0
mp-766,As2Ru,0.733,2,0.0
mp-8281,Ba(CdAs)2,0.636,2,0.0
mp-7938,KNbS2,1.27,2,0.0
mp-7027,InBO3,4.92,2,3.0
mp-8446,K2CuP,2.85,2,1.0
mp-971,K2O,5.53,2,3.0
mp-20027,FeP2,1.03,2,0.0
mp-7914,NaScO2,7.03,2,5.0
mp-4360,NaCdF3,6.93,2,4.0
mp-6384,RbSO2F,6.74,2,4.0
mp-12558,LiMgAs,2.74,2,1.0
mp-14069,CsAlO2,7.91,2,5.0
mp-2176,ZnTe,1.81,2,1.0
mp-8405,Li3LaSb2,0.243,2,0.0
mp-9919,LiZnSb,0.682,2,0.0
mp-22976,Rb2(NbCl3)3,1.55,2,1.0
mp-543024,Cs2Pd(IBr2)2,1.65,2,1.0
mp-21855,VCu3Se4,1.49,2,1.0
mp-4514,NaNbO3,4.69,2,3.0
mp-19449,NaVCdO4,4.45,2,3.0
mp-18921,NaCoO2,2.38,2,1.0
mp-3448,KMgF3,12.7,2,7.0
mp-8479,Tl4SiS4,3.58,2,2.0
mp-29266,CsS,3.98,2,2.0
mp-541487,TlPt2Se3,0.968,2,0.0
mp-18875,MgWO4,4.85,2,3.0
mp-30111,BaLaI4,1.19,2,0.0
mp-22858,TlI,3.83,2,2.0
mp-10695,ZnS,3.65,2,2.0
mp-8314,Cs2NaAsO4,7.16,2,5.0
mp-23067,K2PdCl6,2.28,2,1.0
mp-28364,Rb2CdO2,3.69,2,2.0
mp-1029,BaF2,12.5,2,7.0
mp-984,BN,7.59,2,5.0
mp-9509,K2PAuS4,3.29,2,2.0
mp-545500,BaSbClO2,4.93,2,3.0
mp-8278,Ba(MgP)2,2.52,2,1.0
mp-6633,NaCSN,6.77,2,4.0
mp-14285,CoP2,0.618,2,0.0
mp-20352,Ba3In2O6,2.63,2,1.0
mp-1394,Rb2O,4.89,2,3.0
mp-5588,BaSiF6,12.9,2,7.0
mp-21276,PbS,1.54,2,1.0
mp-22988,CsGeCl3,3.94,2,2.0
mp-14039,K2NaRhF6,3.72,2,2.0
mp-17612,Ba2SiO4,8.41,2,6.0
mp-8921,Cd4P6SN12,5.06,2,3.0
mp-2979,ZnGeN2,2.92,2,2.0
mp-9778,K2AgP,2.87,2,2.0
mp-540839,CsPbI3,4.28,2,3.0
mp-540636,WOF4,4.17,2,2.0
mp-13660,Ca4Sb2O,2.22,2,1.0
mp-4135,RbPO3,9.4,2,6.0
mp-1818,SiF4,14.0,2,7.0
mp-19727,PbCN2,3.54,2,2.0
mp-15217,Rb2TaAgS4,4.11,2,2.0
mp-7611,Li2CaGeO4,7.26,2,5.0
mp-2418,PdSe2,0.969,2,0.0
mp-8931,Rb2SnAs2,2.26,2,1.0
mp-9251,TlTe3Pt2,0.355,2,0.0
mp-2076,ZrSe2,1.13,2,0.0
mp-9755,HfGeO4,6.69,2,4.0
mp-23259,LiBr,8.3,2,5.0
mp-9579,AlTlSe2,1.87,2,1.0
mp-6788,La3Ga5SnO14,6.2,2,4.0
mp-17518,Sr2TaN3,4.42,2,3.0
mp-24433,KHSeO3,6.77,2,4.0
mp-13984,CdPdF6,3.12,2,2.0
mp-547792,KSbO3,5.28,2,3.0
mp-23309,ScCl3,6.69,2,4.0
mp-11718,RbF,11.3,2,7.0
mp-542812,GaTe,1.99,2,1.0
mp-17490,Rb5SiAs3,1.86,2,1.0
mp-28782,Na3PS4,4.22,2,2.0
mp-28171,K3IO,4.26,2,3.0
mp-2858,ZrO2,6.46,2,4.0
mp-28505,Ba(AlTe2)2,2.93,2,2.0
mp-8961,Ba3NaTaO6,6.42,2,4.0
mp-981,SrF2,12.7,2,7.0
mp-9383,SrHfN2,0.96,2,0.0
mp-17566,Ba5P4,2.35,2,1.0
mp-29463,LiBeN,5.28,2,3.0
mp-29662,TlBiSe2,0.846,2,0.0
mp-17035,K3Sc(PO4)2,7.78,2,5.0
mp-8804,Li6MoN4,4.12,2,2.0
mp-7910,Al2HgTe4,1.93,2,1.0
mp-22313,Na2PtO2,2.86,2,2.0
mp-31621,Co(ClO4)2,2.1,2,1.0
mp-27774,NClO6,3.73,2,2.0
mp-29716,TaTeBr9,3.35,2,2.0
mp-7310,ZrPbF6,8.31,2,5.0
mp-4192,Ca3AsN,2.59,2,1.0
mp-7752,Sr3SbN,1.62,2,1.0
mp-9915,LiBeP,2.26,2,1.0
mp-5962,NaMgAs,2.72,2,1.0
mp-29584,K4BeAs2,2.9,2,2.0
mp-27230,As2SO6,6.9,2,4.0
mp-16253,BaCaSi,0.929,2,0.0
mp-27175,InOF,3.15,2,2.0
mp-22880,FeBr2,2.08,2,1.0
mp-18308,CaZn2(PO4)2,6.84,2,4.0
mp-6984,K2SiAs2,2.51,2,1.0
mp-4964,YSbPt,0.152,2,0.0
mp-28251,Ta2Zn3O8,6.09,2,4.0
mp-8932,Cs2SiP2,2.93,2,2.0
mp-29993,TaAgF6,7.22,2,5.0
mp-29454,Na3TlO2,3.89,2,2.0
mp-8624,K2Sn2O3,2.76,2,1.0
mp-23536,SbI3Cl8,2.34,2,1.0
mp-505297,NbSbRu,1.11,2,0.0
mp-17830,Rb3Ge4Au,1.94,2,1.0
mp-2340,Na2O2,4.63,2,3.0
mp-7988,Cs2O,2.37,2,1.0
mp-30532,Tl2ZnI4,4.8,2,3.0
mp-29443,PI2,3.41,2,2.0
mp-2697,SrO2,5.52,2,3.0
mp-4187,Ge2N2O,4.47,2,3.0
mp-17133,Ba3(AlN2)2,3.62,2,2.0
mp-5377,YTaO4,6.38,2,4.0
mp-5967,TiCoSb,1.39,2,0.0
mp-27764,K4I2O9,4.31,2,3.0
mp-8212,Cd(PtO2)3,0.608,2,0.0
mp-8262,K2P3,1.91,2,1.0
mp-23176,SbCl5,3.93,2,2.0
mp-29403,GaCuI4,3.32,2,2.0
mp-18673,CsZnPO4,7.22,2,5.0
mp-540787,K3V5O14,3.33,2,2.0
mp-7956,Na3Sb,1.89,2,1.0
mp-17918,Ba2SnS3F2,4.22,2,2.0
mp-27314,SbClF8,5.67,2,4.0
mp-20397,Sr(InTe2)2,1.76,2,1.0
mp-19026,Na4FeO3,0.903,2,0.0
mp-18139,Na5SiAs3,2.39,2,1.0
mp-6361,NaSr3NbO6,5.64,2,4.0
mp-4531,NaNO3,5.37,2,3.0
mp-5222,ReTeS,0.434,2,0.0
mp-2490,GaP,2.55,2,1.0
mp-10485,BaLiSb,1.79,2,1.0
mp-7908,Al2ZnTe4,2.74,2,1.0
mp-27385,KTlCl4,4.4,2,3.0
mp-7198,SrPSe3,3.74,2,2.0
mp-28266,P2Pd,0.876,2,0.0
mp-19717,TePb,1.71,2,1.0
mp-29398,Cs2HfI6,3.74,2,2.0
mp-10246,Na2PtS2,2.36,2,1.0
mp-18509,KBe3ZnF9,11.2,2,7.0
mp-28373,BaP3Pt2,0.588,2,0.0
mp-7188,Al2Os,0.687,2,0.0
mp-28384,GaBr2,4.7,2,3.0
mp-28395,B6P,3.84,2,2.0
mp-8184,Li2ZnGeO4,5.78,2,4.0
mp-541899,CsCdBr3,5.05,2,3.0
mp-8224,CaSnF6,9.93,2,7.0
mp-28109,SbAsO3,5.66,2,4.0
mp-21166,SrCaPb,0.772,2,0.0
mp-553243,YBi2BrO4,3.06,2,2.0
mp-17539,KAsOF4,6.79,2,4.0
mp-20694,K2Pb2O3,3.5,2,2.0
mp-27438,TlBiTe2,1.0,2,0.0
mp-12286,Sr2Ta2O7,4.78,2,3.0
mp-22853,MoCl3,0.277,2,0.0
mp-3996,GaAsO4,5.85,2,4.0
mp-30988,KBiO2,3.79,2,2.0
mp-22939,BiClO,4.63,2,3.0
mp-17586,CdS2O7,7.06,2,5.0
mp-17085,Rb2Zr3OF12,9.14,2,6.0
mp-7786,CsCu3S2,4.02,2,2.0
mp-5001,Li3BN2,5.92,2,4.0
mp-10368,CoPSe,0.897,2,0.0
mp-30239,Sr3(BS3)2,4.24,2,3.0
mp-29903,TlTeF5,7.21,2,5.0
mp-8256,ZnPtF6,3.48,2,2.0
mp-7461,Hg2SO4,3.74,2,2.0
mp-7643,K2AgSb,2.68,2,1.0
mp-241,CdF2,6.12,2,4.0
mp-17101,CaNb2O6,5.66,2,4.0
mp-17088,KBaPS4,4.49,2,3.0
mp-30091,MgB9N,2.94,2,2.0
mp-2857,ScN,1.26,2,0.0
mp-23074,BiOF,5.64,2,4.0
mp-9570,Ca(CdP)2,1.74,2,1.0
mp-23324,BiSBr,3.55,2,2.0
mp-7017,NaNbN2,1.87,2,1.0
mp-29008,Li6MgBr8,8.03,2,5.0
mp-542116,CsAl(MoO4)2,5.44,2,3.0
mp-14289,Ba3P4,1.24,2,0.0
mp-3889,NaBO2,8.04,2,5.0
mp-8901,Rb2VAgS4,2.27,2,1.0
mp-29402,KGaI4,4.27,2,3.0
mp-9010,RbAuS,4.02,2,2.0
mp-11719,K4ZnP2,3.05,2,2.0
mp-22766,CaIn2O4,4.25,2,3.0
mp-29455,Ga4GeO8,4.21,2,2.0
mp-19134,CaCrP2O7,0.7000000000000001,2,0.0
mp-505366,AuBr,2.98,2,2.0
mp-6459,CaMg(CO3)2,8.59,2,6.0
mp-7943,LiAs,1.07,2,0.0
mp-28295,CsIO3,5.04,2,3.0
mp-5012,Li2SiO3,8.78,2,6.0
mp-9254,Al2Te5,2.12,2,1.0
mp-6800,KLiSO4,9.99,2,7.0
mp-14983,Si4P4Ru,2.48,2,1.0
mp-23057,CsLiBr2,7.62,2,5.0
mp-27370,P10Au7I,1.34,2,0.0
mp-5020,BaTiO3,4.66,2,3.0
mp-21781,Sr(InS2)2,3.91,2,2.0
mp-8962,Rb2HgF4,4.47,2,3.0
mp-541037,CsCuO,3.29,2,2.0
mp-505431,K2LiInAs2,1.84,2,1.0
mp-21705,K2In3AgSe6,2.35,2,1.0
mp-17315,Zr3Tl2OF12,7.09,2,5.0
mp-539,Ga2S3,3.28,2,2.0
mp-21511,K2NaInP2,2.86,2,2.0
mp-31755,Ta2FeO6,2.35,2,1.0
mp-13798,K2NaTlF6,6.66,2,4.0
mp-8140,AsPO4,7.59,2,5.0
mp-27647,AuCl3,2.61,2,1.0
mp-28453,CsAuI3,1.34,2,0.0
mp-9230,KAlAs2O7,6.02,2,4.0
mp-5860,K2HgO2,4.56,2,3.0
mp-15312,Ca4Al6TeO12,6.33,2,4.0
mp-10694,ScF3,11.0,2,7.0
mp-1581,As2O3,5.94,2,4.0
mp-15571,K3AuSe2,4.27,2,3.0
mp-9273,K3Sb2Au3,2.29,2,1.0
mp-17060,NaAlSe2,4.6,2,3.0
mp-3481,KSnAs,1.03,2,0.0
mp-30158,Sr3Ga4O9,5.85,2,4.0
mp-27891,Bi2SO2,2.06,2,1.0
mp-5769,Li3SbO4,5.58,2,3.0
mp-7457,SnF2,5.29,2,3.0
mp-4627,CoAsS,1.18,2,0.0
mp-29238,TlAgSe,1.4,2,0.0
mp-23273,TeI,1.9,2,1.0
mp-5045,SnGeS3,2.62,2,1.0
