mpid,formula,BG,fidelity,bg_category
mp-777318,Li3V2NiO6,0.0,3,0.0
mp-559067,KNa2AuO2,3.404388,3,3.0
mp-7128,Cd(AsO3)2,3.330355,3,3.0
mp-11734,Sr2MgReO6,0.0,3,0.0
mp-773367,LiMnNiO4,0.7939350000000001,3,0.0
mp-10811,NaSr4(BN2)3,2.983965,3,2.0
mp-612,PS,3.538506,3,3.0
mp-27173,P4Ru,2.100934999999999,3,2.0
mp-31999,Na2MnO4,0.0,3,0.0
mp-191,YRh,0.0,3,0.0
mp-1008688,Ti2Sn,0.0,3,0.0
mp-978281,Mg3Ga,0.0,3,0.0
mp-1431,MnSi,0.0,3,0.0
mp-542605,Se,2.228698999999999,3,2.0
mp-24860,Co2P2O7,3.883949,3,3.0
mp-9382,SrZrN2,1.20765897,3,1.0
mp-1247,Sb2Ir,0.972135,3,0.0
mp-18878,LiFeAs2O7,3.579614,3,3.0
mp-11770,CoCu2SnS4,0.8300139999999999,3,0.0
mp-6494,K2Ca(CO3)2,6.010925999999999,3,6.0
mp-25589,NiPO4F,0.04252365,3,0.0
mp-11658,Cu2SnSe3,0.058669,3,0.0
mp-973935,OsN2,0.0,3,0.0
mp-11251,Mg3Au,0.0,3,0.0
mp-2008,FeAs2,1.096374,3,1.0
mp-755505,Li2NbOF5,5.65105,3,5.0
mp-7705,NbFeB,0.0,3,0.0
mp-774093,Li2MnV3O8,0.0,3,0.0
mp-28505,Ba(AlTe2)2,2.38452,3,2.0
mp-504510,MgV2O6,4.06701,3,4.0
mp-773344,Li2CrCuO4,1.247585,3,1.0
mp-771609,LiTiV3O10,2.935233,3,2.0
mp-544,Ti3Ir,0.0,3,0.0
mp-13946,Rb2ZrF6,8.824315,3,7.0
mp-12735,KAg2,0.0,3,0.0
mp-560902,MnF2,3.632337,3,3.0
mp-972752,Si3As,0.0,3,0.0
mp-371,La3Tl,0.0,3,0.0
mp-554560,Li4Be3P3BrO12,7.25201007,3,7.0
mp-10445,Sc6FeTe2,0.0,3,0.0
mp-27577,Cd2As3I,1.222031,3,1.0
mp-7434,NaCuTe,1.815834,3,1.0
mp-1008873,MnCoSe,0.0,3,0.0
mp-20220,CaInRh,0.0,3,0.0
mp-554765,BaSb2F12,5.883263,3,5.0
mp-2633,GeO2,1.976237,3,1.0
mp-27606,ZrAs2,0.0,3,0.0
mp-7251,Ba2YNbO6,4.30548,3,4.0
mp-1253,BaSe,2.84514581,3,2.0
mp-768023,LiV3Zn2O8,0.0,3,0.0
mp-1581,As2O3,4.782090999999999,3,4.0
mp-1009695,CaB2,0.0,3,0.0
mp-5528,Ni3(SnS)2,0.0,3,0.0
mp-4009,BaPdS2,1.393819,3,1.0
mp-1329,LaTe2,0.0,3,0.0
mp-754118,Sr(AsO3)2,4.760739,3,4.0
mp-551203,Sr2I2O,4.501868,3,4.0
mp-9720,Rb3BP2,2.209896,3,2.0
