mpid,formula,BG,fidelity,bg_category
mp-775110,Li2Ti3CoO8,1.7291,0,2.0
mp-556212,K4U5Te2O21,1.7541,0,2.0
mp-643023,Mg2H4Ru,0.8613000000000001,0,1.0
mp-6331,Na2Y2B2O7,4.3727,0,5.0
mp-569320,Sm3Ge5,0.0,0,0.0
mp-569037,Y3H2,0.0,0,0.0
mp-26585,Li5Sb2P5O18,3.5081,0,4.0
mp-560386,In2Ag2GeS6,0.9558,0,1.0
mp-2775,SrAl4,0.0,0,0.0
mp-1019091,LaSe2,0.0,0,0.0
mp-768030,FeOF,1.742399999999999,0,2.0
mp-569512,SbICl8,1.5838,0,1.0
mp-30404,Li2SbAu,0.0,0,0.0
mp-1634,MoSe2,1.4177,0,1.0
mp-753662,K2Mg2O3,2.888,0,3.0
mp-755714,SrEuO2,0.0,0,0.0
mp-764555,NaCr4O8,0.0,0,0.0
mp-645317,Li4CO4,5.307,0,6.0
mp-765322,Li5MnCr3O8,2.0957,0,2.0
mp-541550,Mg16Si8HO32,0.0,0,0.0
mp-572456,YbGeBiO5,0.0,0,0.0
mp-4701,CuSnF6,0.1778,0,0.0
mp-776756,Li4TiMn2Ni3(PO4)6,2.2646,0,2.0
mp-542842,KMnP3HO10,0.7785000000000001,0,0.0
mp-554876,AsCS2N2OF5,2.828299999999999,0,3.0
mp-772939,Li5Cu(PO4)2,2.038899999999999,0,2.0
mp-581419,K3Nb2Cu3S8,1.8673,0,2.0
mp-12492,CsLuCdTe3,1.545399999999999,0,1.0
mp-700135,Cs2U2Mo3O16,2.4489,0,3.0
mp-29404,La2CCl,0.0,0,0.0
mp-542515,Gd2Te4O11,2.8974,0,3.0
mp-1003636,NaMn4O8,0.080299999999999,0,0.0
mp-865912,LiZn2Rh,0.0,0,0.0
mp-29770,Na3(Mn2Te3)2,0.0,0,0.0
mp-22084,Zr(MnGe)6,0.0,0,0.0
mp-555093,CuB4O7,0.1877,0,0.0
mp-766108,Ba3LiTi5(SbO7)3,2.3975,0,2.0
mp-851006,Na6V2B4PO16,0.0,0,0.0
mp-31454,TaSbRu,0.6669,0,0.0
mp-28997,Y2AlGe3,0.0,0,0.0
mp-9821,RbSbF6,4.8849,0,5.0
mp-570873,Nb(Te2I3)2,0.7654000000000001,0,0.0
mp-767859,Li12CrCo3P4(CO7)4,1.2044,0,1.0
mp-30139,BeBr2,5.1775,0,6.0
mp-22739,BaFe2S3,0.0,0,0.0
mp-604996,CuH12N2(Cl2O)2,0.6548,0,0.0
mp-639741,SiO2,5.659499999999999,0,6.0
mp-697774,Li2Cr(PO4)2,0.0,0,0.0
mp-561523,NbTlCl4O,2.1768,0,2.0
mp-6428,Ba2YRuO6,0.089999999999999,0,0.0
mp-867174,SrLi2Pb,0.0,0,0.0
mp-1027451,Te4Mo3WS4,0.0,0,0.0
mp-569704,Tl2Ni(CN)4,2.2822,0,2.0
mp-978993,Th3S,0.0,0,0.0
mp-557395,LiC2S2N(O2F3)2,5.9283,0,7.0
mp-850158,V3OF11,1.5725,0,1.0
mp-698206,Ba5Re3O16,0.5103,0,0.0
mp-770068,NaVO2,1.4045,0,1.0
mp-2216,Ce2Co17,0.0,0,0.0
mp-866807,TiZnH12(OF)6,3.3476999999999992,0,4.0
mp-707955,Ru4C12N2O13,1.57,0,1.0
mp-933,YAs,0.0,0,0.0
mp-989468,B2(CN2)3,2.669499999999999,0,3.0
mp-770106,Li4MnCrO6,0.9946,0,1.0
mp-706566,Co6C13(SeO6)2,1.5538,0,1.0
mp-756909,TlGaO3,0.2334,0,0.0
mp-673020,Bi(PO3)4,0.0,0,0.0
mp-866819,Ca2SnS4,0.0,0,0.0
mp-769800,SrEu4O5,0.0,0,0.0
mp-9950,BaLiSi,0.0,0,0.0
mp-768360,Li3(FeS2)2,0.0,0,0.0
mp-974662,Rb3Pr,0.0,0,0.0
mp-775064,VCu3(PO4)4,0.0,0,0.0
mp-19746,NbPbS2,0.0,0,0.0
mp-696949,Li3TeHO4,3.5927,0,4.0
mp-30839,Th3Pd5,0.0,0,0.0
mp-684944,In2S3,0.4851,0,0.0
mp-778892,Li8MnFe7(BO3)8,3.1706,0,3.0
mp-754134,HfZrO4,3.5612,0,4.0
mp-29431,LiDy2Br5,0.1202,0,0.0
mp-25071,MoPb2O5,2.9254,0,3.0
mp-20692,MnGeN2,0.2126,0,0.0
mp-759280,LiZr2(PO4)3,4.4162,0,5.0
mp-10854,Tb(BC)2,0.0,0,0.0
mp-29090,Rb4Au6S5,1.698,0,2.0
mp-764280,Li2MnF4,4.013199999999999,0,4.0
mp-17577,Ca6MnN5,0.7347,0,0.0
mp-764920,LiVF5,1.9047,0,2.0
mp-8566,Ag,0.0,0,0.0
mp-676168,Ag8GeTe6,0.0,0,0.0
mp-19147,NiCO3,3.4031,0,4.0
mp-569017,PdI2,0.8733000000000001,0,1.0
mp-568062,DyTlSe2,2.1858,0,2.0
mp-718,SnPd3,0.0,0,0.0
mp-683919,C,1.104699999999999,0,1.0
mp-1806,RbO3,0.8712000000000001,0,1.0
mp-7440,NaP,0.8684000000000001,0,1.0
mp-752753,SbO2F,1.426699999999999,0,1.0
mp-14107,NpF3,0.0,0,0.0
mp-23720,BeAlH5,3.601,0,4.0
mp-757074,BaCa2I6,3.8624,0,4.0
mp-558096,Zn2SiO4,2.3636,0,2.0
mp-19921,PbO,1.4694999999999991,0,1.0
mp-571433,NaB(CN)4,6.4949,0,7.0
mp-565633,CaMnB2O5,2.9771,0,3.0
mp-556689,KZrF5,5.5642,0,6.0
mp-769833,Li3Fe4SnO8,1.0881,0,1.0
mp-559373,Ge4PbO9,3.4876,0,4.0
mp-738680,ZrH27C8N2Cl5O2,3.926,0,4.0
mp-9783,Ba3(AsO4)2,3.906,0,4.0
mp-1016144,MgMn3O6,0.0,0,0.0
mp-865091,HfMnRh2,0.0,0,0.0
mp-556858,Al2P3H9(CO3)3,4.7339,0,5.0
mp-3165,RbMnSb,0.0,0,0.0
mp-5109,Y(NiGe)2,0.0,0,0.0
mp-765102,LiTi(PO3)4,0.1854,0,0.0
mp-763104,Li2MnF4,3.5855,0,4.0
mp-30107,RbNb4Cl11,0.444999999999999,0,0.0
mp-865341,Tm2InOs,0.0,0,0.0
mp-30360,TmAg3,0.0,0,0.0
mp-557376,S,2.14,0,2.0
mp-15622,HfSe3,0.317099999999999,0,0.0
mp-16801,GdSO4F,3.178,0,3.0
mp-780503,Li4Cr7(PO4)6,1.6815,0,2.0
mp-1028414,MoWSe4,0.944099999999999,0,1.0
mp-861479,PrYMg2,0.0,0,0.0
mp-510752,CuO,0.146599999999999,0,0.0
mp-505465,As2Pb2O5,2.9362,0,3.0
mp-546082,TmBi2ClO4,1.4059,0,1.0
mp-1028683,TeW2Se2S,0.0,0,0.0
mp-13344,YbB4Rh,0.0,0,0.0
mp-767876,Li3MnPCO7,4.1411,0,5.0
mp-1708,YTe,0.0,0,0.0
mp-3666,LiTaO3,3.7003,0,4.0
mp-753055,TbBi5O9,1.610199999999999,0,1.0
mp-779376,Na2V2O5,0.9734,0,1.0
mp-772617,Zn(NO3)2,3.406,0,4.0
mp-707323,LaH16C2N11O17,3.5553999999999992,0,4.0
mp-7364,Ca(SiAu)2,0.0,0,0.0
mp-984700,CeY3,0.0,0,0.0
mp-580503,V2Cd6Se5O21,2.340099999999999,0,2.0
mp-556421,NdVO3,1.034099999999999,0,1.0
mp-989406,LaTcN3,0.0,0,0.0
mp-652318,CrFe2C10(Se2O5)2,1.5163,0,1.0
mp-771806,Li2Fe(NiO3)2,0.0,0,0.0
mp-28695,KSiH3,2.5736,0,3.0
mp-642795,PHSF2,4.5687,0,5.0
mp-25006,MnSO4,3.6106,0,4.0
mp-763103,LiMnF3,3.6206,0,4.0
mp-760490,Mg7Cu2O9,0.0,0,0.0
mp-675835,Dy2Zr8O19,2.3535,0,2.0
mp-510453,Ag3RuO4,0.0,0,0.0
mp-30957,Pr(PO3)3,5.4756,0,6.0
mp-18622,Hf7P4,0.0,0,0.0
mp-689834,NiP2O7,0.0,0,0.0
mp-631353,MnRePt,0.0,0,0.0
mp-27727,CCl2O,4.5857,0,5.0
mp-763436,FeOF,0.8246000000000001,0,1.0
mp-505365,Mg3Nb6O11,0.2437,0,0.0
mp-23071,CCl3F,4.8988,0,6.0
mp-559200,Cd(InS2)2,1.0509,0,1.0
mp-759962,PH5NO3F,5.3482,0,6.0
mp-21140,CeSb,0.0,0,0.0
mp-16516,TbAl2Ni,0.0,0,0.0
mp-559432,CF2,4.9033,0,6.0
mp-25076,Nd2MoO6,2.6647,0,3.0
mp-862687,CuH6(NCl)2,0.050999999999999,0,0.0
mp-38417,Ba(CeS2)2,0.0,0,0.0
mp-621964,K2RbBiSe3,2.1256,0,2.0
mp-569271,Cr3(P2O7)2,1.3983,0,1.0
mp-40502,CsTiCoOF5,2.3608,0,2.0
mp-763544,LiVPO5,2.6757,0,3.0
mp-851070,Li3V3P8O29,1.194599999999999,0,1.0
mp-20145,TiGaCo2,0.0,0,0.0
mp-11833,UCuGe,0.0,0,0.0
mp-769708,Li3MnPCO7,3.6578999999999993,0,4.0
mp-975665,Nd(Ge3Pt)4,0.0,0,0.0
mp-561974,Zr7(NO2)4,2.7922,0,3.0
mp-760060,Sb(SO4)2,0.0,0,0.0
mp-553921,Pm2O3,3.766599999999999,0,4.0
mp-30146,CaSn2F6,3.5026,0,4.0
mp-973894,LaNdZn2,0.0,0,0.0
mp-654105,RhC2ClO2,1.7196,0,2.0
mp-654,Ce2Fe17,0.0,0,0.0
mp-755621,BaNb3NO7,1.5507,0,1.0
mp-1019253,SmSe2,0.0,0,0.0
mp-1028478,MoW3(SeS)4,0.6242000000000001,0,0.0
mp-1019557,BaS4O13,4.6756,0,5.0
mp-560947,Ag4S(NO)2,0.670199999999999,0,0.0
mp-1027391,MoWSeS3,0.597399999999999,0,0.0
mp-29764,RbHF2,6.6904,0,7.0
mp-980206,TmScRu2,0.0,0,0.0
mp-27947,Sn(SbTe2)2,0.259,0,0.0
mp-778827,LiMn2(BO3)2,0.5357000000000001,0,0.0
mp-977439,Ce2ZnPb,0.0,0,0.0
mp-849325,SbH4NCl6,1.9250999999999991,0,2.0
mp-5348,MgCO3,4.9603,0,6.0
mp-778928,Fe6O7F5,0.0,0,0.0
mp-562182,ZnSiO3,3.4371,0,4.0
mp-17747,Y3CuSnS7,1.4826,0,1.0
mp-640889,Tm(CuTe)3,0.3841,0,0.0
mp-27608,Be4TeO7,1.280699999999999,0,1.0
mp-763518,Mn2Ni(PO4)3,0.0,0,0.0
mp-1019724,LiEuO2,0.0,0,0.0
mp-554351,SrHg2(ClO)2,1.6485,0,2.0
mp-1002117,TcN,0.0,0,0.0
mp-16513,NdAl3,0.0,0,0.0
mp-776770,LiFeF5,0.4237,0,0.0
mp-29628,Na4SnS4,2.0692,0,2.0
mp-769944,Li3FePCO7,4.0809,0,5.0
mp-776921,Ti3CrFe2(PO4)6,0.107199999999999,0,0.0
mp-976588,HoTh3,0.0,0,0.0
mp-5944,MnSbAu,0.0,0,0.0
mp-2172,AlAs,1.5036999999999991,0,1.0
mp-554056,Ca2B5BrO9,5.2036,0,6.0
mp-973788,Ho2CuTc,0.0,0,0.0
mp-559627,LiP3PbO9,4.7126,0,5.0
mp-706657,Al13Si5H18ClO38,4.2833,0,5.0
mp-863062,LiSiBiO4,3.4051,0,4.0
mp-758742,KY(H2N)4,2.6892,0,3.0
mp-562065,PO2,4.5682,0,5.0
mp-1688,ErAs,0.0,0,0.0
mp-118,P,3.605,0,4.0
mp-7068,Sr3(AlSi)2,0.0,0,0.0
mp-863703,Pm2MgSn,0.0,0,0.0
mp-865168,Be3Ni,0.0,0,0.0
mp-510456,Zr(MoO4)2,3.115199999999999,0,3.0
mp-675525,InGaSe2,0.0,0,0.0
mp-989602,LaReN3,0.0,0,0.0
mp-561448,Na4Ce(As2O7)2,1.5515,0,1.0
mp-676319,Dy2Zr2O7,2.742599999999999,0,3.0
mp-14169,Li4UF8,0.3374,0,0.0
mp-761482,Li2FePO5,2.5086,0,3.0
mvc-5076,Ca2FeWO6,2.3313,0,2.0
mp-14134,Lu3Ga5O12,2.3544,0,2.0
mp-773396,Cr4P2O9,2.018599999999999,0,2.0
mp-862794,K2Pu2O5,0.0,0,0.0
