mpid,formula,BG,fidelity
mp-866007,DyMgTl2,0.0,0
mp-1774,ErB2,0.0,0
mp-7826,HgO,1.3101,0
mp-605663,AlPd5,0.0,0
mp-17768,Nb3Cr3C,0.0,0
mp-7703,DyTaO4,4.0605,0
mp-861988,PrAgHg2,0.0,0
mp-864951,MnAlOs2,0.0,0
mp-942702,LiMnSO4F,3.9043,0
mp-554508,KYP2O7,5.065,0
mp-765124,LiV2F7,2.2507,0
mp-675541,K2Sn5Cl12,2.4961,0
mp-2661,SrSi,0.0,0
mp-3698,SrAlSi,0.0,0
mp-572537,K4CO4,2.9688,0
mp-1795,NbF3,0.0,0
mp-771576,LiMn2(PO4)2,0.0,0
mp-781767,Li3Fe2(CuO4)2,0.0,0
mp-676461,Ca2La2MgTi3O12,2.014900000000001,0
mp-7427,Ba(ZnAs)2,0.298799999999999,0
mp-763522,Li3V3(PO4)4,1.8697,0
mp-2406,Mg5Pd2,0.0,0
mp-7592,AgF,0.0,0
mp-642428,Y3Al19Ni5,0.0,0
mp-7876,Ba(MgGe)2,0.0,0
mp-540990,Na2Li3CoO4,1.4597,0
mp-989602,LaReN3,0.0,0
mp-4782,CaSnF6,5.4068,0
mp-676024,Li27Sb10,0.0,0
mp-505743,GaBPbO4,3.371399999999999,0
mp-850486,LiVP2O7,2.5161,0
mp-780591,Fe4O7F,0.0,0
mp-689963,CrPO4,2.0446,0
mp-755988,Hf3N4,0.9216,0
mp-10049,MnAsRu,0.0,0
mp-642735,Rb2H4Pt,3.2877,0
mp-9251,TlTe3Pt2,0.0,0
mp-29778,Nd4Ge7,0.0,0
mp-12678,TaMn2,0.0,0
mp-626417,CsH3O2,4.0949,0
mp-18754,DyCrO4,0.2492,0
mp-31046,Ho3CrB7,0.0,0
mp-761916,NaH4Au(Br2O)2,0.9742,0
mp-1020670,SrB4O7,5.175899999999999,0
mp-542208,Ba3NaOs2O9,0.0,0
mp-676723,Li2SO4,5.55,0
mp-1013584,Ba3BiSb,0.0,0
mp-6495,BaEr2ZnO5,3.3171,0
mp-541234,Cs2K4Fe2O5,1.5864999999999991,0
mp-10204,MnSe,0.0,0
mp-15059,GdSnF7,4.4455,0
mp-581488,SbTe7SXeCl(OF4)9,1.4909,0
mp-11361,MgCuSn,0.0,0
mp-695831,CaH4(N3O)2,4.184699999999999,0
mp-769978,CrFeO4,0.1255,0
mp-767192,Sn(PO3)2,3.0537,0
mp-1415,CaSe,2.0802,0
mp-775084,Li2SiNiO4,3.2176,0
mp-743600,ZrFeP3PbO12,2.3786,0
mp-862966,PmTlAg2,0.0,0
mp-542426,CuHgSI,0.444599999999999,0
mp-16521,Al3Os2,0.0,0
mp-561251,Rb2Y(NO3)5,3.3341,0
mp-745016,MnH(CO)4,2.793999999999999,0
mp-773340,Li2TiMnO4,0.3901,0
mp-772681,Cr(PO3)2,2.3932,0
mp-10683,Ca,0.0,0
mp-978289,Mg3Np,0.0,0
mp-752734,LiAg2F4,0.031,0
mp-19171,Y(FeO2)2,0.0,0
mp-763149,LiMnF3,3.293,0
mp-4196,NdFeSi2,0.0,0
mp-631352,NbSnRu,0.0,0
mp-866538,Ca6Sn5S16,0.0,0
mp-862887,LiSc2Os,0.0,0
mp-767395,Li3CuSbO5,0.4336,0
mp-560407,KNbSi2O7,3.431,0
mp-5001,Li3BN2,3.367599999999999,0
mp-23507,InSn2Br5,2.305,0
mp-770909,CrCo3O8,0.375399999999999,0
mp-2363,HfMo2,0.0,0
mp-771938,Mn5SnO12,1.466799999999999,0
mp-39167,CaScAlSiO6,4.8888,0
mp-985299,Ag3N,0.0,0
mp-12769,YSi2,0.0,0
mp-571310,ZrInPt2,0.0,0
mp-20836,Nd(NiAs)2,0.0,0
mp-779366,LiCr(PO3)4,2.606099999999999,0
mp-22522,ZrCuSi,0.0,0
mp-30252,Na10CaSn12,0.664899999999999,0
mp-775796,Li2Ti3NbO8,0.0,0
mp-639160,Gd2InGe2,0.0,0
mp-864995,DyAl3,0.0,0
mp-573697,CsCl,4.8492,0
mp-757636,NbTlO3,0.7458,0
mp-769074,Na2LiTi3Al(PO4)6,2.5088,0
mp-770497,Fe3CoNi2(PO4)6,0.0,0
mp-755777,Ce2S2O,0.0,0
mp-631468,SrScBe,0.0,0
mp-29154,Hf2CoP,0.0,0
mp-34081,NaYF4,6.936,0
mp-677238,Th10N9F13,2.0872,0
mp-1018678,CsHSO3,5.8302000000000005,0
mp-3701,Sc(Al2Fe)4,0.0,0
mp-776068,LiVCrO4,1.3665,0
mp-35591,LiErS2,1.988699999999999,0
mp-777050,NaNiPO4,3.5944000000000003,0
mp-540301,Ni(PO3)4,0.0,0
mp-32028,Mn(PO3)4,0.435799999999999,0
mp-24614,BeH8(NF2)2,6.648,0
mp-771046,Mg(NO3)2,3.7225,0
mp-763902,Mn3OF5,0.0,0
mp-13008,NdCrGe3,0.0,0
mp-556078,MgAs2(XeF8)2,2.9713000000000003,0
mp-557589,TlZn(PO3)3,4.5196,0
mp-762391,Li2(NiO2)3,0.0,0
mp-542630,P4S9,2.6953,0
mp-570556,Sr(InAu)2,0.0,0
mp-669382,Co,0.0,0
mp-721182,PH11(NO2)2,5.3405,0
mp-995219,H4C2O,5.4072000000000005,0
mp-3618,Sc2FeSi2,0.0,0
mp-29005,U(Cr3P2)2,0.0,0
mp-5910,CaCuSb,0.0,0
mp-504554,Ba5Ta4O15,3.0865,0
mp-696308,B3H7CO,4.0448,0
mp-1008376,CeH3,0.0,0
mp-779654,Na3Nb6O11,0.0,0
mp-3804,Sr(PRu)2,0.0,0
mp-30362,Zr3Ag,0.0,0
mp-767597,LiMnF5,1.9944,0
mp-4524,ZnGeP2,1.1667,0
mp-990432,H6PbCI3N,1.6393,0
mp-772700,LiCrPO4,1.9808,0
mp-763397,LiV(PO3)3,2.3404,0
mp-772341,Ti3MnCr(PO4)6,0.0,0
mp-862672,LiY2Rh,0.0,0
mp-13287,BaCuTeF,0.9836999999999992,0
mp-643701,TlP(HO2)2,3.9882,0
mp-8627,SmBO3,5.1718,0
mp-557584,K4Ba(GeO3)3,3.2293,0
mp-781015,La2WO6,3.1375,0
mp-556627,K4GeS4,2.7133,0
mp-770973,Li24MnCr11O36,1.001599999999999,0
mp-866829,Ca2SnS4,1.0664,0
mp-989195,ScClO,3.922799999999999,0
mp-975872,K3Pr,0.0,0
mp-779078,Na2CoO3,0.0,0
mp-753388,Li2Cu2F5,0.0,0
mp-973675,Hf9AsW4,0.0,0
mp-765961,LiFeSi3O8,3.143599999999999,0
mp-755650,Gd3YO6,2.9924,0
mp-764518,LiFe8(BO3)8,1.3962,0
mp-13938,Sr2DyReO6,0.0,0
mp-765952,VF5,3.3069,0
mp-995181,SnGe,0.219999999999999,0
mp-973022,ScRu3,0.0,0
mp-16116,RbSm2CuSe4,0.8441000000000001,0
mp-30681,YGa6,0.0,0
mp-865119,NaPrHg2,0.0,0
mp-554560,Li4Be3P3BrO12,5.864999999999999,0
mp-23497,Li2ZnI4,3.1982,0
mp-27622,Na2PbO2,2.4071,0
mp-977414,ZnCu2SiS4,1.2780999999999991,0
mp-1019097,SiC2,0.0,0
mp-743974,MnH12C2NCl3O2,3.9672,0
mp-861170,Ti5Fe11O24,1.1496,0
mp-768281,Ho2Ge2O7,3.31,0
mp-768002,LiTi2Mn3O10,1.4676,0
mp-673807,Na3Sm7Cl24,4.31,0
mp-707406,Rb6Te3P6(H13O20)2,3.47,0
mp-1252,ZrBe2,0.0,0
mp-41,Zr,0.0,0
mp-19364,BaDy2CoO5,1.843599999999999,0
mp-30540,V(NiP4)4,0.0,0
mp-768208,Li3SbS4,1.4459,0
mp-974948,Rb3In,0.0,0
mp-130,P,0.0,0
mp-562345,Cs2Si2O5,4.2397,0
mp-676072,Ce2PbSe4,0.0,0
mp-505322,CsTa(CuTe2)2,1.243699999999999,0
mp-760417,Rb4I2O,0.8507,0
mp-560843,Na4Zr2Ti(CO4)4,3.1442,0
mp-555129,La3S3N,1.3357,0
mp-762852,Na2P2H12O11F2,5.3551,0
mp-30133,Ba(CuTe)2,0.600699999999999,0
mp-622491,Pb13(Br3O5)2,2.0074,0
mp-9274,Rb3Sb2Au3,1.222,0
mp-690536,Sr4Fe4O11,0.0,0
mp-5940,CeB2Ru3,0.0,0
mp-769715,LiVBO4,2.5334,0
mp-20859,DyCuSb2,0.0,0
mp-18662,Ho2Si2O7,5.0286,0
mp-765378,LiMnVP2(HO5)2,0.8283,0
mp-755328,ZrSn2,0.0,0
mp-694982,Sr2La2MgTi3O12,1.8857,0
mp-23304,Rb3Bi,0.0,0
mp-669540,K2PtN4(ClO4)2,2.079,0
mp-689927,Na3DyTi2Nb2O12,2.515499999999999,0
mp-581425,ZnS,2.0194,0
mp-685157,IF7,1.469099999999999,0
mp-559426,Pr2Zr2O7,3.462099999999999,0
mp-767869,Li3NiPCO7,2.8839,0
mp-23885,SrH12(ClO3)2,5.047499999999999,0
mp-554912,BaMnFeF7,2.1283,0
mp-863755,KYGeS4,2.4167,0
mp-632672,LiHF2,8.2933,0
mp-13496,ZrPd,0.0,0
mp-5737,TbCuS2,1.1823,0
mp-13154,Fe3C,0.0,0
mp-776787,V2(OF)3,1.5224,0
mp-3050,Y3Al5O12,4.4951,0
mp-5939,PrB2Ru3,0.0,0
mp-757218,K4Na2H18Pd(IO10)2,1.6804,0
mp-20647,Nd2ScSi2,0.0,0
mp-774539,LiTi2(PO4)3,2.604999999999999,0
mp-542063,Rb4H6C2O9,3.9628,0
mp-566768,Ca2VClO4,3.4607,0
mp-21381,ThPb3,0.0,0
mp-581419,K3Nb2Cu3S8,1.8673,0
mp-775398,Li4Mn3V3(NiO8)2,1.007099999999999,0
mp-4426,Li4SeO5,2.4442,0
mp-541168,RbTm(PO3)4,5.4715,0
mp-775830,Na3Bi(BO3)2,3.1380999999999992,0
mp-557375,NaLiCO3,4.4576,0
mp-674508,RbPbF3,3.791499999999999,0
mp-979964,YbH2ClO2,0.0,0
mp-696275,SnH8(NCl3)2,2.5482,0
mp-541867,CsRe3(O3F5)2,3.0448,0
mp-769049,BaLaCl5,3.785,0
mp-1018706,GdS2,0.0,0
mp-758063,LiTiP2O7,0.2824,0
mp-866873,Ca3Sn2S7,0.0,0
mp-510475,Y2Cu2O5,0.091,0
mp-772131,Li3Fe3SbO8,0.7864,0
mp-698329,ZnH16C6(N3O5)2,3.3406,0
mp-865985,CdPd3,0.0,0
mp-698206,Ba5Re3O16,0.5103,0
mp-1102,LuN,0.242099999999999,0
mp-3077,SmAlGe,0.0,0
mp-767816,LiMn2(PO5)2,0.005599999999999,0
mp-706386,ZrH6O3F4,5.383,0
mp-20176,DyPb3,0.0,0
mp-28757,Nd(AlBr4)3,3.3848,0
mp-541745,Rb3Nb2S11,1.510099999999999,0
mp-779551,Ba4Br6O,3.3563,0
mp-973300,Lu3Ga,0.0,0
mp-151,Tl,0.0,0
mp-554821,Tb(IO3)3,3.4104,0
mp-571363,YbSbPd,0.0,0
mp-626755,SrH4O3,4.1764,0
mp-10785,RbLuSe2,2.0335,0
mp-863739,ErCdRh2,0.0,0
mp-640447,Ce5NiPb3,0.0,0
mp-771477,Li6Mn3Sb3O16,0.2781,0
mp-4867,CaAl4O7,3.9982,0
mp-677234,Ce8Gd2O19,1.6528,0
mp-10046,V2AsC,0.0,0
mp-976080,Ge3B,0.0,0
mp-771474,V4FeCoO12,0.0,0
mp-570873,Nb(Te2I3)2,0.7654000000000001,0
mp-10955,Sn(HgSe2)2,0.2722,0
mp-91,W,0.0,0
mp-6336,Na3In(PO4)2,3.3646,0
mp-684663,I,0.0,0
mp-15999,Li3AuS2,2.0985,0
mp-676338,MgIn2O4,1.2957,0
mp-570752,H2,6.593999999999999,0
mp-542178,Nd2Zn15Ge2,0.0,0
mp-29432,NaScCl4,3.8115,0
mp-33322,LiHoSe2,1.5785,0
mp-644280,GaCuPt2,0.0,0
mp-1020615,Y2SiP4O15,5.5755,0
mp-14226,Ba2YSbO6,0.0,0
mp-703305,Na2PHO4,4.7475000000000005,0
mp-619488,Ba2NbCrO6,1.5823999999999991,0
mp-6813,KCa10(PO4)7,5.241,0
mp-559482,Ti2Bi2O7,2.6108,0
mp-867309,TbVB4,0.0,0
mp-22035,KFe2S3,0.0,0
mp-24784,Mg16Si8HO32,0.0,0
mp-20856,Eu(FeP3)4,0.0,0
mp-850186,Li4Mn2Co3Sn3O16,0.0,0
mp-15551,Sr2LiSi3,0.0,0
mp-35493,Zn2SnO4,0.8250999999999991,0
mp-764463,Li3Co2Si3O10,0.7240999999999991,0
mp-510018,Rb2CuH12(SeO7)2,0.5613,0
mp-781504,Li2CrP2O7,2.5196,0
mp-767862,MnCu4H14(SO9)2,0.0,0
mp-698579,Co5Te4(BrO6)2,2.2494,0
mp-11971,HoSnRh,0.0,0
mp-28387,PAuCl8,1.3333,0
mp-769171,SiGeO3,2.8185,0
mp-771578,Ti3Ni3(TeO8)2,0.281699999999999,0
mp-756137,Li3Nb6O11,0.0,0
mp-30232,Tb3SiBr3,0.0,0
mp-18933,Li2WO4,4.3259,0
mp-971684,C3N4,1.181499999999999,0
mp-505571,Mn3SnN,0.0,0
mp-3323,SrZrO3,3.2114,0
mp-776168,AgRuO3,0.0,0
mp-636827,TiO2,2.7733,0
mp-505306,Eu2Sn2O7,0.0,0
mp-23730,NaMgH3,3.103,0
mp-770867,Li2VBO4,1.8957,0
mp-17418,SmSnF7,4.9483999999999995,0
mp-1016886,MgVO3,0.0,0
mp-686572,NaPr9Si6(SO12)2,3.121499999999999,0
mp-21141,Fe2CuGe2,0.0,0
mp-35690,Co5RuO8,0.0,0
mp-705476,Ba2La3Ti2Cr3O15,1.487199999999999,0
mp-773748,Li2MnF5,1.619,0
mp-4297,U(GePd)2,0.0,0
mp-763458,V2GaO5,0.4402,0
mp-30430,Ba10Ga,0.0,0
mp-778639,NiTe(PO4)2,2.9147,0
mp-999485,ZnN,0.0,0
mp-772034,Ba3LaI9,2.228099999999999,0
mp-767656,Nb4VO12,1.857599999999999,0
mp-771928,Li3Ti4MnO12,0.0,0
mp-755678,Ca(LaI4)2,2.4684,0
mp-979940,Yb3Zr,0.0,0
mp-975394,RbBeO3,0.0,0
mp-865130,Hf2MoRh,0.0,0
mp-24214,KPH3O4F,5.727499999999999,0
mp-32534,NaPWO6,3.745,0
mp-755132,Zr3N2O3,2.677,0
mp-560240,K2SbPO6,2.5161,0
mp-690567,BaLaMnRuO6,0.0,0
mp-767433,LiV2OF5,1.7501,0
mp-770605,ZrCrO3,1.3886,0
mp-24263,KP(HO2)2,5.2175,0
mp-29279,CuClF10,0.0247,0
mp-22537,Er3SnC,0.0,0
mp-28263,KH3O2,4.3804,0
mp-771967,BaLaCl5,3.400899999999999,0
mp-975531,RbCr5Te8,0.0,0
mp-585397,LiCo3P3O11,2.567999999999999,0
mp-973992,Ho3Pb,0.0,0
mp-10714,TmRh3C,0.0,0
mp-30003,AuSO4,1.65,0
mp-14552,Ba2SrUO6,2.2434,0
mp-550751,BaBeSiO4,4.5484,0
mp-862676,LiHoIn2,0.0,0
mp-773740,Fe6O5F7,1.0872,0
mp-778038,Li8Mn3Fe5(BO3)8,3.0954,0
mp-769129,Li3SbN3(O3F)3,3.337799999999999,0
mp-29170,Hg(AuF4)2,1.5592,0
mp-759812,Li4Ti11O24,2.2962,0
mp-655586,NaClO3,0.5132,0
mp-677611,TlAgAs2PbS5,1.587999999999999,0
mp-17985,Ca5(GaSb3)2,0.0,0
