mpid,formula,BG,FE,e_hull,fidelity,BG_category
mp-753722,LiCuS2,0.0,-0.8477293170312503,0.0739447085416671,3,0.0
mp-19035,BaFeO3,0.0,-2.2543792287499995,0.0,3,0.0
mp-31002,Rb2Te5,0.851788999999999,-0.5420094285714286,0.0,3,0.0
mp-541013,TiI4,2.030618999999999,-0.7302077473333337,0.0,3,2.0
mp-1008755,SrB2,0.0,0.1818954622222222,0.532806651111108,3,0.0
mp-549565,Li4CO4,5.534479999999999,-1.8813343869444443,0.316174547777778,3,5.0
mp-11473,TlHg,0.0,-0.0260825325,0.0,3,0.0
mp-1734,CaZn5,0.0,-0.2171912208333332,0.0,3,0.0
mp-119,Se,0.0,0.5892225214062496,0.5892225214062496,3,0.0
mp-504723,Ba2NiWO6,4.006725,-2.508088385750001,0.0,3,4.0
mp-9839,K2LiAlF6,9.675288,-3.486183801714,0.0015046900000008,3,7.0
mp-422,BeS,4.277042479999999,-1.3911467395312505,0.0,3,4.0
mp-4678,Zr2AlN,0.0,-1.171814743095,0.022928426041668,3,0.0
mp-15607,Ca(BC)2,0.0,-0.1831838546666674,0.1454579640000011,3,0.0
mp-122,Ba,0.0,0.0,0.0,3,0.0
mp-24237,ScH2,0.0,-0.7661974590799995,0.0,3,0.0
mp-973948,LiHf,0.0,0.3159904175000001,0.3159904175000001,3,0.0
mp-775295,Li2MnCr3O8,0.0,-2.236183077925714,0.0086316924999945,3,0.0
mp-11609,Sb(MoS)2,0.0,-0.7891650486249999,0.0012794045000008,3,0.0
mp-754840,TaAsO4,4.017742,-2.585996628333333,0.0548233445833297,3,4.0
mp-19362,KFe(MoO4)2,2.913658,-2.1209256575000004,0.0,3,2.0
mp-19279,Li2MnO2,3.703741,-2.0364883526919995,0.0090248296666652,3,3.0
mp-557257,KVF3,3.019863,-3.0519392957139995,0.0,3,3.0
mp-773543,Mn2O3F,0.0,-2.053454468643336,0.0513051089583367,3,0.0
mp-776672,Li2NbV3O8,0.874189,-2.562503582857143,0.0934636554910604,3,0.0
mp-554218,Ti4P6PbO24,4.44779243,-2.9944909790068035,0.0,3,4.0
mp-753160,BiOF,4.275277,-2.208004943313333,0.0345681274999991,3,4.0
mp-778022,Na3VO3,1.249801,-1.9356528855357151,0.0651927228571427,3,1.0
mp-675926,LiBH4,6.8804110000000005,-0.3611924935244441,0.0714630316666649,3,6.0
mp-5470,AgPS3,2.462072,-0.5624810390565486,0.009844980333332,3,2.0
mp-767367,VOF,2.937946,-2.8072199658133337,0.0387889166666681,3,2.0
mp-31441,Li2GaIr,0.0,-0.4211003574999999,0.0,3,0.0
mp-753131,Li3Ti4O8,0.0,-3.0590506211111115,0.0590354823333481,3,0.0
mp-10000,Hf2S,0.0,-1.2532243846875015,0.0,3,0.0
mp-975524,InGe3,0.0,0.2980520912500006,0.2980520912500006,3,0.0
mp-19082,TiMnO3,3.571827,-2.9666905962753334,0.0,3,3.0
mp-10110,SiRh,0.0,-0.5376057600000008,0.2812660137499998,3,0.0
mp-546449,BaCu3O4,0.5175529999999999,-1.0937800543749994,0.3844905754166694,3,0.0
mp-485,ZrNi3,0.0,-0.4554116062500002,0.0,3,0.0
mp-16421,Zr2CuSb3,0.0,-0.4660511541666672,0.0517222689583345,3,0.0
mp-1558,SrPd2,0.0,-0.6439056050000005,0.0,3,0.0
mp-557296,Sr2MnSbO6,0.784862,-2.582901559346,0.0039747392499673,3,0.0
mp-8688,V4GeS8,0.0595039999999999,-1.2450468644230772,0.0,3,0.0
mp-973655,LuSiO3,0.0,-2.73235523275,0.8765454669999926,3,0.0
mp-3653,Mg(SbO3)2,2.21456,-2.2438996375,0.0,3,2.0
mp-640079,Mn3Au,0.0,0.3005126858333338,0.341062600833335,3,0.0
mp-1008873,MnCoSe,0.0,-0.0597020461979163,0.1804737583333313,3,0.0
mp-10341,SrGeTeO6,4.448523,-2.2907829669444464,0.0,3,4.0
mp-13132,LaN,0.0,-0.9130786311899994,0.5932459100000003,3,0.0
mp-2323,BeCu,0.0,-0.0910555524999994,0.0112955900000004,3,0.0
mp-976772,NiAg3,0.0,0.1955088700000007,0.1955088700000007,3,0.0
mp-771740,Mn3TeO8,0.0,-1.6767246052400004,0.0692965397135383,3,0.0
mp-37153,AgAsF6,3.412765,-2.2224290377675,0.0,3,3.0
mp-743541,MnPH5CO4,4.57700072,-1.4918939278879375,0.0318887584374953,3,4.0
mp-956096,HfFe2,0.0,-0.3363458016666669,0.0148101766666659,3,0.0
mp-15987,Hf3(Cu2Si)2,0.0,-0.5003773205555552,0.0,3,0.0
mp-540957,Cs2TeI6,2.004958,-0.8312510088888891,0.0,3,2.0
mp-25142,V2Pb3O8,4.0278100000000014,-2.0756805784615384,0.0031253176923007,3,4.0
mp-2410,SrAg5,0.0,-0.187141185,0.0,3,0.0
mp-975140,RbZn4P3,0.792828,-0.2991410305357145,0.0,3,0.0
mp-34903,MgGeP2,2.204503,-0.308858616547619,0.0130066039999992,3,2.0
mp-715514,V2O3,1.144519,-2.5174590087499995,0.0131447752499997,3,1.0
mp-976892,Na(TeMo)3,0.0,-0.4010473485714284,0.0,3,0.0
mp-12673,Lu2SO2,4.271801,-3.6720827393124993,0.0,3,4.0
mp-755463,Li3SbS3,2.698202,-1.2057906231696427,0.0380107971428573,3,2.0
mp-549,ScSb,0.0,-0.9360072524999996,0.0,3,0.0
mp-1008872,MnFeTe,0.0,0.0329748866666671,0.1201819658333338,3,0.0
mp-770101,Li5MnO5,0.0,-1.9956122470190905,0.0616610590909099,3,0.0
mp-8857,Cs2As2Pd,1.72166,-0.5251159070000007,0.0,3,1.0
mp-541238,KTi2(PO4)3,4.20403602,-3.0521527809788376,0.0,3,4.0
mp-18939,LiCo(CO)4,5.368479,-0.9913932224999996,0.3955496038333326,3,5.0
mp-561224,TeO2,3.834484,-1.4966747616666662,0.0126515579166595,3,3.0
mp-32449,VH2O3,2.802177999999999,-1.9168557309983345,0.0206981329166868,3,2.0
mp-7142,OsC,0.0,0.9108525087500006,0.9108525087500006,3,0.0
mp-770601,Fe2HgO4,2.047736999999999,-1.5064558121428564,0.025561923214286,3,2.0
mp-7285,HfNi3,0.0,-0.5349500837499997,0.0020662647499998,3,0.0
mp-757872,Li2Ag3F6,1.414766999999999,-1.9398643206490904,0.0491880454545459,3,1.0
mp-13276,SrLiP,2.115859,-0.9818813243650796,0.0,3,2.0
mp-975204,Rb,0.0,0.00487891,0.00487891,3,0.0
mp-1007761,HW,0.0,0.081810160689999,0.081810160689999,3,0.0
mp-771247,CoTeO4,1.858647,-1.3899457125,0.0197482919444533,3,1.0
mp-774736,LiCuS,3.014453,-0.9604683971874994,0.0009006560416668,3,3.0
mp-973540,LuAlB4,0.0,-0.4949211411111101,0.0035342241666675,3,0.0
mp-24409,PH4I,4.882956999999999,-0.1902976804292061,0.0,3,4.0
mp-775622,Li3MnCo3O8,1.534349,-1.7888155427306658,0.0236386576666634,3,1.0
mp-770037,LiMnSnO4,2.314001,-2.1455867444228565,0.0012798347321263,3,2.0
mp-560586,RbTi2(PO4)3,4.26177975,-3.0434080851455025,0.0010886044444422,3,4.0
mp-1861,Cu2Te,0.0,0.0924015550000003,0.1341654799999991,3,0.0
mp-19029,RbCr4O8,0.875548,-2.1465254284615387,0.037179869711533,3,0.0
mp-10887,HfAlCu2,0.0,-0.3328876687499997,0.0,3,0.0
mp-2772,ZrAl2,0.0,-0.5385220875,0.0,3,0.0
mp-100,Hf,0.0,0.1811112450000003,0.1811112450000003,3,0.0
mp-442,RhPb,0.0,-0.0814543416666673,0.0,3,0.0
mp-7080,Li5(NiN)3,0.0,-0.4741750688309084,0.0,3,0.0
mp-1008489,CdN,0.0,1.15739577631,1.15739577631,3,0.0
mp-3395,SrSeO3,4.995143,-2.3305087614687507,0.0,3,5.0
mp-9205,KSeO2F,4.6583,-1.9533473124567495,0.0,3,4.0
mp-13369,Ba3CaIr2O9,0.0,-2.3668338474166672,0.0209795436666659,3,0.0
mp-973878,Lu3Ga5Ni,0.0,-0.6491236555555561,0.0,3,0.0
mp-771272,MnTlO3,0.0,-1.4456760189420002,0.1273714110625006,3,0.0
mp-753539,SbOF,4.311811,-2.146972081646666,0.0714902218750026,3,4.0
mp-976592,K3Ag,0.0,0.10653116,0.1111439721874998,3,0.0
mp-7392,Na2AgSb,1.301012,-0.3684137000000005,0.0,3,1.0
mp-10769,BaSbAu,0.0,-0.3193084649999995,0.6061747900000003,3,0.0
mp-973599,Hg3As,0.0,0.2841174700000002,0.2841174700000002,3,0.0
mp-542769,Sn(CO2)2,4.088753,-1.5915258157142844,0.0835690999999974,3,4.0
mp-1746,MgF2,8.97804,-3.7804633332933335,0.0667704274999998,3,7.0
mp-10365,MnCoSi,0.0,-0.0444306783333334,0.4128504570833336,3,0.0
mp-26446,Sn4(PO4)3,0.032697359999999,-2.2600826928571425,0.0887391050657768,3,0.0
mp-12071,Ti3As,0.0,-0.4958289962500011,0.0255397555555543,3,0.0
mp-541912,ZrBrN,2.366482,-1.7354825674599998,0.0,3,2.0
mp-974337,RuPbO3,0.0,-1.315138853750001,0.1771851198888896,3,0.0
mp-4406,CaSO4,7.671567,-2.794158568177083,0.0,3,7.0
mp-705604,BaLaFe2Cu2O11,0.0,-1.5054433213970593,0.2812285964338219,3,0.0
mp-32542,Hg2WO4,2.681165,-1.4528048178571424,0.0,3,2.0
mp-961720,ZrAsRh,0.0,-0.3590899716666662,0.5244673593333369,3,0.0
mp-766154,VF5,4.980753,-2.7948810176583336,0.0309618866666667,3,5.0
mp-23289,KCl,6.205380509999999,-2.1729582116299997,0.07788268,3,6.0
mp-559752,CsZnPO4,5.65718433,-2.5266390940136056,0.0017113110714284,3,5.0
mp-752927,LiAgF2,3.420537,-2.174356994345,0.0150030537500001,3,3.0
mp-1009009,LiF,9.734968,-2.907769368095,0.2731108300000002,3,7.0
mp-4233,KMnSb,0.564157999999999,-0.1438782949999998,0.1450502812500005,3,0.0
mp-18900,MgV2O4,0.0,-2.627354183571429,0.090033945714282,3,0.0
mp-20119,PtO2,0.0,-0.1526995541666664,0.7875174433333338,3,0.0
mp-3717,LuBRh3,0.0,-0.835530253333333,0.0,3,0.0
mp-135,Li,0.0,0.0,0.0,3,0.0
mp-20139,Mn3Ge,0.0,-0.0253716087499995,0.0865267675000005,3,0.0
mp-31140,BaBiAu,0.0,-0.279551136666667,0.4053735779166674,3,0.0
