formula,bg_1,fidelity_id_1,bg_2,fidelity_id_2
F6NiTl,0.0156,2,0.5497,3
Br7Zr3Te,0.0915,2,0.5732,3
ScAs2La2,0.0,2,0.0,3
Pd2Ag3Nd,0.0,2,0.0,3
O6Ba2NdTa,3.5271,2,4.0423,3
Cl2Rb,0.0,2,0.0,3
O6GaTeTb,3.1384,2,3.746,3
MgNi2Lu3,0.0,2,0.0,3
O3F3KRb2Mo,2.6112,2,2.987,3
CuTe2Nd6,0.0,2,0.0,3
YAgCd2,0.0,2,0.0,3
Mg3P2,1.7980999999999991,0,1.6257,3
AsTeSm,0.1468,2,0.2753,3
NiRuPt,0.0,2,0.0,3
LiAs2NdIr2,0.0,2,0.0,3
Fe2Co4Tb3,0.0,2,0.0,3
ZnGd2Tl,0.0,2,0.0,3
Sn4P6O24Ca1,3.575865,0,5.452784,5
RuLa3Pt2,0.0,2,0.0,3
SeSbU,0.0,2,0.0,3
SiPdTm,0.0,2,0.0,3
Li2SrPb2,0.0,2,0.0,3
PrDy3,0.0,0,0.0,2
Al3Si2Sc3Ir,0.0,2,0.0,3
RbSbBa,0.8533,2,1.3133,3
Ag5Ce,0.0,2,0.0,3
TiRh4,0.0,2,0.0,3
MoTc5,0.0,2,0.0,3
H2Ho3,0.0,2,0.0,3
LiCO3Cu,1.4878,2,1.7711,3
NaCa3Pd,0.0,2,0.0,3
La4Ba4Sb8Se24,0.615239,0,1.13567,5
LiO4SiMn,0.0,2,0.1537,3
SiMnCe,0.0,2,0.0,3
H6CNI,4.2092,2,4.7659,3
Zn3CeIr2,0.0,2,0.0,3
Mg2Fe1H6,3.016096,0,4.191875,5
BGa2Pd6,0.0,2,0.0,3
Rh5Ta3,0.0,2,0.0,3
SbILa2,0.0,2,0.0,3
Fe4SrSb12,0.0,2,0.0,3
O6Sr2YSb,3.9337,2,4.6749,3
Br2CdHg,1.4789,2,2.1116,3
Sr8Pd4D16,1.691652,0,2.500052,5
CoNiGe,0.0,0,0.0,3
Pd3Hf,0.0,2,0.0,3
O4MgS,5.6037,2,6.4049,3
B2CPt2Pu,0.0,2,0.0,3
Al3CrGe2Tm3,0.0,2,0.0,3
AgTe3Cs,0.0482,2,0.2028,3
Sc3Zn,0.0,2,0.0,3
Ti2FeOs,0.0,2,0.0,3
HSb3Sm5,0.0,2,0.0,3
Zn2As2Y,0.0,2,0.0,3
Be2AlNb2,0.0,2,0.0,3
Be13Pa,0.0,2,0.0,3
Ba6Ru3In3O18,0.3760159999999999,0,2.382611,5
Al3Ge2Hf3Re,0.0,2,0.0,3
H6FeSr2,1.0288,2,2.1028,3
Sc2As2Zr,0.0,2,0.0,3
Li2GaNd,0.0,2,0.0,3
SnTe2Pb,0.4107,0,0.2225,2
ZnGa3Ge2In3,0.0,2,0.0,3
OSCe,0.0827,2,0.2161,3
Fe4ZrAg,0.0,2,0.0,3
Li4Pd2F12,1.974883,0,4.03632,5
AlAgLu2,0.0,2,0.0,3
FeRh7,0.0,2,0.0,3
SiCl2Y2,0.0,2,0.0,3
ONb,0.0,2,0.0,3
H6NO2P,4.9118,2,5.5637,3
Cu4YTl,0.0149,2,0.2161,3
LiGe2Ir,0.0,2,0.0,3
OICs3,1.6602,2,2.0973,3
Fe2Ti2O6,1.505624,0,1.93644,5
Mg2CaCu4,0.0,2,0.0,3
Co4ErHg,0.0,2,0.0,3
Nb2Cl20P2,2.247366,0,3.367105,5
P4CuRu6,0.0,2,0.0,3
Be2FeRh,0.0,2,0.0,3
Cu3Pd,0.0,0,0.0,3
H4CrFe3,0.0,2,0.0,3
H3PdEr,0.0,2,0.0,3
Ga2Ge2Gd,0.0,2,0.0,3
CaAsIn2,0.0,2,0.0,3
Li2CaTl,0.0,2,0.0,3
BNNiLu,0.0,2,0.0,3
CeIr5,0.0,0,0.0,2
Mg2InPb,0.1118,0,0.0,3
In2Tl2Bi,0.0,2,0.0,3
NaAgTl2,0.0,2,0.0,3
CdPtAu2,0.0,2,0.0,3
O6ClAs4Rb,3.3178,2,3.9499,3
SrTe2Pb,1.0585,2,1.2365,3
Na3CsHg,0.0,2,0.0,3
KHgPb2,0.0,2,0.0,3
LiAg4,0.0,2,0.0,3
RhHfIr2,0.0,2,0.0,3
TbPb2Ac,0.0,2,0.0,3
K2Sn4Se8,1.148814,0,1.876288,5
Ga2Rh2Pt,0.0,2,0.0,3
BEr3Tl,0.0,2,0.0,3
NiZn3La,0.0,2,0.0,3
C20N6B6,0.2461749999999999,0,0.665159,5
O6Cu2SrBa2Hg,0.0,2,0.0,3
Li3Cl4Cs,5.3852,2,6.2441,3
Al5Sr5In,0.0,2,0.0,3
GdHoBi,0.0,2,0.0,3
Ca2Ni2Ge,0.0,2,0.0,3
Na3Co4Ge4,0.0,2,0.0,3
GeTe4Tm,0.0,2,0.0,3
Hg2I6N2H12O2,1.658334,0,2.596929,5
NiRhSn,0.0,2,0.0,3
FeCo3Tb2,0.0,2,0.0,3
GaAs3Zr2,0.0,2,0.0,3
ZrInAu,0.4412,0,0.7348,3
ScCu4Pt,0.0,2,0.0,3
In5BaPt,0.0,2,0.0,3
Gd2HgPb,0.0,2,0.0,3
F6EuHo,0.0,2,0.0,3
Mg1V2O6,2.51727,0,3.679003,5
GaIPr,0.0,2,0.0,3
Cu7Pt,0.0,2,0.0,3
Sc2ZnCd,0.0,0,0.0,2
RuPm,0.0,2,0.0,3
Rb3Sn4Pt4,0.0,2,0.0,3
NaBr6Rb2Dy,4.0699,2,4.8302,3
LiSn2La,0.0,2,0.0,3
ScSbIr,0.0,2,0.0,3
Pa,0.0,0,0.0,2
LiZn2Y,0.0,2,0.0,3
O4BrSb2Nd,0.4085,2,0.7783,3
LiPdAg2,0.0,2,0.0,3
Li2Ge2Pd,0.0,2,0.0,3
TiCuAu2,0.0,0,0.0,3
Sc2AgSn,0.0,0,0.0,3
N8C6,3.212543,0,4.88632,5
CoGa3Sn2Dy3,0.0,2,0.0,3
InSbEu,0.0,2,0.0,3
Ge2Rh3Sm,0.0,2,0.0,3
O6MgNbPr2,0.1754,2,0.722,3
Bi4I4O16,2.365632,0,3.503567,5
FRb2Au,2.7114,2,3.2376,3
Si4Sc3Ir4,0.0,2,0.0,3
As3Pb,0.0,2,0.0,3
MgPd2,0.0,0,0.0,2
NdDyBi,0.0,2,0.0,3
MnSe3DyPb,0.0,2,0.0,3
Cu4InHg,0.0,2,0.0,3
Co4Sn6Er,0.0,2,0.0,3
N2MgPa,0.0,2,0.0,3
LiAs2Pd2Hf,0.0,2,0.0,3
S3Cs2Ho,0.0,2,0.0,3
B2N3Fe2Sm3,0.0,2,0.0,3
Al4CoBa,0.0,2,0.0,3
S2CuGd,0.949,2,1.1045,3
CoPdLu2,0.0,2,0.0,3
Ni2Mn2O6,1.694365,0,2.599927,5
Sc3Nd,0.0,2,0.0,3
Na2Pb,0.0,2,0.0,3
Be4MnPt,0.0,2,0.0,3
Al5Si,0.0,2,0.0,3
NaSi2Pd3,0.0,3,0.0,6
AsSe2Cs,1.4925,2,1.687,3
Mg2CuIr,0.0601,0,0.0,3
K2Br6Ru,0.0,2,0.0,3
Se3Te3Bi4,0.1051,2,0.1182,3
O11Cl2Sb8,2.1277,2,2.4319,3
Sb2LaPt,0.0,2,0.0,3
Co2Ga3Ho3,0.0,2,0.0,3
LiAs2TmPt2,0.0,2,0.0,3
Sc2Cd,0.0,2,0.0,3
MgYCd2,0.0,2,0.0,3
CuPd,0.0,2,0.0,3
Rh2OsPt,0.0,2,0.0,3
Ru2Sm3Pt,0.0,2,0.0,3
