formula,BG,fidelity
ReTeS,0.43433999999999995,3
CoAs2,0.13480899999999998,3
YB4Mo,0.604931,3
Sb,0.20533500000000002,3
SiSbPt,0.6640900000000001,3
FeSi,0.371471,3
SrMgSi,0.125268,3
Si3Ag3(SnP3)2,0.638344,3
Zr3Ni3Sb4,0.600432,3
Mg2Sn,0.600111,3
InAuO2,0.6248279999999999,3
Li2ZnGe,0.24651900000000002,3
CsIn3,0.23932900000000001,3
CuSe2O5,0.218453,3
As2Rh,0.327985,3
GePtSe,0.549749,3
TaAgS3,0.13591399999999998,3
P2Rh,0.46259300000000003,3
V4As2O13,0.107207,3
La3MnGaS7,0.549651,3
YNiSb,0.21818,3
TiS2,0.527308,3
CsMnBr3,0.205371,3
LiScI3,0.507667,3
As2Ru,0.733107,3
ScSbPt,0.714997,3
YP5,0.684787,3
Sr(CdAs)2,0.667467,3
Sr(As3Pt2)2,0.288128,3
HfSnPd,0.32134300000000005,3
CaPAu,0.30335,3
LaP5,0.29002300000000003,3
C,0.40206000000000003,3
TlBiSe2,0.846076,3
KSnSb,0.827656,3
KGa3,0.797207,3
TaTe4I,0.824226,3
YSbPt,0.15152600000000002,3
OsS2,0.566686,3
Cs2K4Fe2O5,0.184158,3
AuSe,0.642749,3
Li2AgSb,0.176788,3
CoP2,0.6183200000000001,3
CdSb,0.197137,3
P3Au2,0.749558,3
CsScCl3,0.756112,3
Tl(TeMo)3,0.7536349999999999,3
Ag3Te2Au,0.809125,3
FeSe2,0.938316,3
Si3P2Pt,0.892968,3
BaCaGe,0.924236,3
AuSeBr,0.9181950000000001,3
KZnSb,0.867049,3
BaCaSn,0.90796,3
Ca2Sb,0.861769,3
Bi3ClO4,4.14301,3
Nb2O5,4.05586,3
K2PtF6,4.134810000000001,3
Na5ReO6,4.05241,3
BaLaCuTe3,2.4095500000000003,3
Cd(GaTe2)2,1.75764,3
GaP,2.54732,3
WBr6,1.7549100000000002,3
MgSiP2,2.49363,3
KYO2,1.81354,3
KAg2PS4,2.53049,3
Ga7Te10,1.76638,3
CdP2,2.52556,3
