formula,BG,fidelity
Bi,0.080799999999999,2
Hg,0.0,2
O2,2.7203999999999997,2
O2,2.285,2
N2,0.0,2
O2,0.0,2
Cs,0.0,2
H2,10.5229,2
K,0.0,2
Bi,0.0,2
Rb,0.0,2
O2,2.6679999999999997,2
Nb,0.0,2
Sc,0.0,2
C,1.621,2
Na,0.0,2
Mg,0.0,2
N2,0.4634,2
Bi,0.0655,2
Br,1.6873999999999991,2
I,1.2444,2
Si,0.0,2
CrO,0.0,2
Gd4Sb3,0.0,2
MoF4,1.189099999999999,2
FeCl3,1.3509,2
U11Se20,0.0,2
Mg3Si4,0.0,2
Mg5Si9,0.0,2
TeI7,0.0,2
Ca16Sb11,0.0,2
HfIr,0.0,2
CeI3,0.7358999999999991,2
EuCl3,0.025799999999999,2
VI3,0.4114,2
SrF3,0.0,2
Mn3Ir,0.0,2
BaF3,1.4012,2
YbO3,0.347399999999999,2
Co23O32,0.0,2
CuI4,0.0,2
Ge22Rh17,0.0,2
Np3Se4,0.0,2
VTe2,0.0,2
TbCo3,0.0,2
CdHg2,0.0,2
Na2O,1.666699999999999,2
MgHg2,0.0,2
Cu2S,0.9229,2
MgPb2,0.0,2
Y2Co7,0.0,2
Sr5Mg,0.0,2
V5Te4,0.0,2
TmMg5,0.0,2
Nb2Te3,0.0,2
MgGa,0.0,2
VF4,1.5689,2
Tb2Co7,0.0,2
Mg4Zn7,0.0,2
TmMn12,0.0,2
Yb5Se7,0.0,2
YbGa4,0.0,2
Yb2Mg,0.0,2
PuSb,0.0,2
ZnCu,0.0,2
SrMg,0.0,2
Yb2Te3,0.1067,2
Ag2S,0.6684999999999991,2
Te2Au,0.0,2
Tl5Se3,0.0,2
Pu5Rh3,0.0,2
K2O,1.390399999999999,2
YbO2,0.0,2
WO2,0.0,2
BiPd,0.0,2
NaO2,0.7083,2
Ag2S,1.5694,2
BiF5,2.438799999999999,2
BiI3,2.808099999999999,2
VF4,1.531399999999999,2
VF5,3.425899999999999,2
WF4,0.7174,2
HfMn,0.0,2
