formula,BG,fidelity
Nb,0.0,0
Si,0.0,0
Rb,0.0,0
O2,1.277299999999999,0
O2,0.0423,0
C,0.0797,0
C,0.106,0
Ti,0.0,0
Al,0.0,0
C,0.0724,0
Si,0.003099999999999,0
Zn,0.0,0
Si,0.027599999999999,0
Fe,0.0,0
Ti,0.006299999999999,0
C,0.0,0
B,0.0,0
Ta,0.0,0
U,0.0,0
Bi,0.0,0
Sb,0.0,0
C,0.244099999999999,0
Pu,0.0,0
Cu,0.0,0
O2,0.0,0
W,0.0,0
O2,1.426,0
Pr,0.0,0
Si,0.2735,0
C,3.4876,0
Cs,0.0,0
P,3.0938,0
Mo,0.0,0
Bi,1.5046,0
Au,0.0,0
P,3.5354,0
O2,1.0933,0
F2,2.3942,0
Ce,0.0,0
Hg,0.0967,0
Te,0.0,0
O2,1.314299999999999,0
Hg,0.0,0
K,0.0,0
H2,0.0,0
Sr,0.0,0
As,0.0,0
Ca,0.0,0
Ba,0.0,0
Sc,0.0,0
Np,0.0,0
P,2.1942,0
Be,0.0,0
S,0.0,0
Cr,0.0,0
Co,0.0,0
N2,6.739,0
O2,0.464299999999999,0
P,1.8454,0
B,0.5081,0
S,2.748,0
C,2.243399999999999,0
Br,0.0,0
In,0.0,0
Mg,0.0,0
C,0.371799999999999,0
C,2.5933,0
Rb,0.110299999999999,0
C,4.1977,0
Ga,0.0,0
Sn,0.0,0
I,0.0,0
Pa,0.0,0
H2,9.3289,0
H2,8.8499,0
H2,8.5338,0
Na,0.0,0
Si,0.439799999999999,0
Cl2,2.6476,0
Si,0.1508,0
S,0.0097,0
Hg,1.0394,0
Os,0.0,0
Se,1.5703,0
Se,1.390199999999999,0
S,2.3783,0
S,2.4187,0
S,2.496299999999999,0
Se,1.7696,0
S,2.4672,0
C,1.8765999999999992,0
S,2.5729,0
Mn,0.0,0
Ge,0.0,0
Se,1.5329,0
S,2.1651,0
S,0.310899999999999,0
S,0.8323,0
Pb,0.0,0
S,2.2718,0
Te,0.5606,0
Ac,0.0,0
Se,0.8765000000000001,0
Te,0.1856,0
F2,0.0,0
Si,0.998499999999999,0
F2,0.4797,0
S,2.0442,0
S,2.1627,0
F2,2.8962,0
O2,2.3448,0
O2,2.764199999999999,0
Ni,0.0,0
Si,0.8932000000000001,0
C,0.012399999999999,0
Eu,0.0,0
N2,6.9553,0
Se,0.0,0
Tm,0.0,0
Li,0.0,0
Dy,0.0,0
Ho,0.0,0
Tb,0.0,0
Cd,0.0,0
Er,0.0,0
Pm,0.0,0
Y,0.0,0
Xe,6.2294,0
P,0.0,0
B,1.4333999999999991,0
C,0.094599999999999,0
C,0.181999999999999,0
Hg,0.4089,0
C,0.0148,0
C,0.1056,0
C,4.5686,0
C,4.4229,0
Gd,0.0,0
O2,1.3227,0
Hg,1.7611,0
C,0.7159,0
Sm,0.0,0
Xe,6.1673,0
Tl,0.0,0
Yb,0.0,0
Lu,0.0,0
Nd,0.0,0
Re,0.0,0
Kr,7.174799999999999,0
Xe,6.1713000000000005,0
Ag,0.0,0
C,0.260699999999999,0
S,2.574799999999999,0
H2,9.7197,0
Hf,0.0,0
C,0.0001,0
